cleaned_text,label,username_encoded
the one thing which pakistani partnership would allow however is having relationships with both of the states sandwiching the wakhan corridor at the very least it would allow for a very defensable stronghold in light of its remoteness at the very most if china does come around to backing or building a road through wakhan the new trade resulting from that could be taxed the way some taliban taxed the ring road back in the day between those two ends of the spectrum a secure wakhan would provide a narrow but immediate front for expansion along the remainder of the tajik border i only worry about pakistan connecting with any resistance orgs as a sting operation to sell them out to the emirate,r/afghanconflict,Z0FBQUFBQm0yeGJjV3d4TG9HUmx1Nm1IdkxwaXhQWVUwV1Z3clhrcXhLYnlTR21MVHZZR0VYMzl5QjNpU0dUanZxNlluaEtrRGFJMmE2SGpXNENnaTdpSTF6eWN5THRjcVE9PQ==
assuming the allegation concerns the nrf aff and not iskp it would be the first time that pakistan chose the nonfanatical and nonpashtun side in the fight i think the bigger concern is whether this would be if true a sting operation on the part of the isi to get good with the taliban if not i only see this as an improvement especially if the leadership isnt going to switch out and no new groups seem to be forthcoming in the foreseeable future if nothing else any intensified nrf or aff activity could grant new groups the bandwidth to form beneath the emirates shadow,r/afghanconflict,Z0FBQUFBQm0yeGJjOVU5cXk4M2JUZzlQVWxEZXhUSTY5X2J5bVpnNG1VelkxWFgwd1k3bm53eGdRaU96Vl9YWGJ4YWVhTWdvZEZjVzdyLXhjMUdjNFRFQ3RSejNySnduYWc9PQ==
hope this number increases,r/afghanconflict,Z0FBQUFBQm0yeGJjN0RLU3czb3lGWnpVSWJQVldnV1JpZVBrMjlPQTRjQXRpSnRzZGdMT0RRSGJBSHplWjVuLS1UUHVTZ01BcXZQcmtSQjlranJtTXN0XzVHNFJjTjI2RUE9PQ==
as of recent their casualties have been fairly high in waziristan,r/afghanconflict,Z0FBQUFBQm0yeGJjMGtiZWFJTEFCSl9VM1lreVowaG5CQ0NNWHlCZDVmUFVMa2dDamtuUGxwQVMwenFOcTlfWTF5Qkt5ZFFGSDZMZHhsX2FLMl9FckgxSGU5MW1EejFFWFE9PQ==
rest in peace why did i get downvoted,r/afghanconflict,Z0FBQUFBQm0yeGJjTkVGZE9US3ZPQnRsT0JjOGRMYXUxdjZSM1Awb2oydDhtNGFyRDc1a3kta2tkalk1Rk82dlVnUjZwZWNnYzJJM3BucGl1WkhCaUwzYy1tVEFVRlgwQmc9PQ==
interestingly pakistani analyst page the khorasan diary only mentioned three deaths for the first group of soldiers killed and ignored the second soldier naik saeed who was killed in datta khel entirely however smaller social media pages acknowledged their deaths and were mourning their loss this may suggest there is pressure on the khorasan diary page to play ball in downplaying pakistani military casualties the first attack in tirah was a joint lei and ttp attack<url> and <number> militants were also killed the third man was an assistant sub inspector and gunned down<url>,r/afghanconflict,Z0FBQUFBQm0yeGJlYkd5Nzd3UWVKRWdZV01EXzVBWGYxZWcxblFVc01FR0dTN3pjdGU5djhPRkNUZmJ6bXRCMEtvVzNUb1h6UF8wenRLWC1obHhEMW9abnBmVmlOODJZLVdIdU5BbDc2bjctTEhxVGI5dTBzMUE9
<url><url> <url><url> <url><url>,r/afghanconflict,Z0FBQUFBQm0yeGJlZHF4WlNfRkdoUmRwVGlLQVF4bE1xRU1vMV80NkYyNDFOY3dRamlUdF9tQnlFaURCSlNoUC14SFM2RTBmWmc5aEx2VE9mbmQ1WmNRZ3duUXhGUG94WFRqM3VoaFpmWVBjckhWck5uT0Y5QjA9
im starting to notice a pattern of news every week about pakistani forces being killed in random attacks,r/afghanconflict,Z0FBQUFBQm0yeGJmZ25mWUFIaTBiYmd6RU1hZGJJcFJqS0FCZGNSZkhNYUluV28yX0FwNFM2WkJxSS1Kc3paY2tlS0dNSXRVQlk4a3NqOWxnY1J0bWh3eXFUdEwwOUl5Z0E9PQ==
iftikhar firdous and ihsan tipu really do have a pro paki bias if you see their urdu interviews its almost as if they dont wanna mention pak army meddlings,r/afghanconflict,Z0FBQUFBQm0yeGJmRlJLbjE2VEo0RTNVdmVrdm9GVUd6a2diaWZCNEludHRPQm5wOVhFZ3ZqNkRsRThNbFpzazZpbFJyaXo0bG43Rlo3Ung5djlmNXdvYzlwNWc4TXhqUWc9PQ==
about <number> taliban militants were also killed in the same exchanges,r/afghanconflict,Z0FBQUFBQm0yeGJmWEdnT253TG9VRHBhU3FRcTR4V3lwM2lOakZEQVJhd0ZsWVpjajZMVEZWaW9qaWZUNUx2T3RERDlmanp6R2dWSGVmS0pFOGtRUi1jaGRxYlJyUFUxaDVlVV94X2ozY29uXzB5Sk03aE02LW89
good,r/afghanconflict,Z0FBQUFBQm0yeGJmbnp3TGRjc2xWTDZMaExjZWtocTRhTVZ1TFBnbDUxZ3cxU2JGSXBTY0JWVEk0N0hNcWQ4eVY5MzhNck1DQ2FUc3VwTk9kRG53QmxHb3h6ZnJEWVpCRG5RZUdTMUdnVDZrUkRPN1ZSYjFPcEk9
