cleaned_text,label,username_encoded
hi mind if i dm you too,r/commodities,Z0FBQUFBQm0yeGNYaDRHbTM1dzV2b1BqeHhiQlYtVFgyeExYSFZOV3BaVTlrYzh3TEctckhDZTJON3A3OTJoRWtPWG5IZFpIX2NEeF9SaVUxQWdmR0Q1MkJpOUFDUUtvalpLdnlRQ19uUXRVdWk2SGsyYmZGRXM9
hi do you mind if i send you a dm to pick your brain,r/commodities,Z0FBQUFBQm0yeGNYRS1ObDdHOUhscVozaXdMOUVhMENjZ2NBOXFVQnh2VncweVFFQm02WTh5YXctaERqaHlTNjZVdVZ6OXNWNmxGX1BiQ2RNVWMxZjBJTzRrdEVzYy14b203U3BDZFFIRmI4YlZVTFBZckk0VnM9
hi do you mind if i send you a dm to pick your brain,r/commodities,Z0FBQUFBQm0yeGNYMXEwT21HN1NhU3hZNWlWVHdxNlhoYmlPTVYxcGMyVVZNMkJwcDF2NXZhM1luQmJMS0poM3RlR3BZeGJWRjBNclpqMzBIQm53M2xxZjUxME9kb3V2MDR0NDFQTTFpUmcxU0hFNnBBNFlpeG89
hi do you mind if i send you a dm to pick your brain,r/commodities,Z0FBQUFBQm0yeGNYZ2JYOS1Dd1lNMm1qR3hoMFBZMF8zbV9uY2hTbFlZRGplOXB3M0FGaFlpN2poT1ZzbEZZVGFhTmREMFlmSHBGQzJaVzNBUHVzSU54WFlMaS02RDB6OGJpTUdYeUxRcml1MzlJeHZaRXphNkU9
correlations are sporadic and inconsistent but you can try if you think its worth the investment of your time,r/commodities,Z0FBQUFBQm0yeGNYTmYxODRoZWFpbHBKZVhSVUVPdG8wbTRHWk1FVms2cnNrNW81VGxtUnNCMGF5alpybGwxUEloRGZVd1JzQVlkUUtDZjZwaGhpR2M0SGdNb0dIUmFTRXc9PQ==
youre not off base theres a big correlation between both stocks and commodities in july of <number> i announced in my newsletter that the mjor <number> year cycle and pendulum shift took place between the two the bottom of the commodity cycle happened exactly that month with the bottom of hogs and crude oil ,r/commodities,Z0FBQUFBQm0yeGNYNHZrR09ZSVBMUDdVcGhmb19OX0pDRXM1SU5tVVpBTTIwdjRHTGlFeFR1cmh6ZTgxSnYzVW1SSFh5ajRFMUExbXF2MThZNHpHS055NWdsZS01ZGxkOHc9PQ==
im no expert man but i would assume they can somehow monetize a portion of the outstanding obligation they can transfer the guarantee to a financial institution which then advances the money at a discount divisible sblcs makes the process easier keep in mind that currency fluctuations can be an incentive say the dollar is overvalued as compared to the local currency they can monetize part of the obligation on a high,r/commodities,Z0FBQUFBQm0yeGNYUDRfN2ZQZTY0VXBuR2xWTGF4RXFCd2hudV9SbUJ2N2NpdjRObzRBRExwZ1dFb0RxV1pTTU1TSXp0SUg0MUFneHQ3UWVNaU1CeGNmR0piXy1PSmswWlE9PQ==
i wonder how the lc can be monetized before the obligation is completed and funds are released by the bank is this a standard practice,r/commodities,Z0FBQUFBQm0yeGNYSTEwRm12NlY4ZFQ1cWtpMTVTWjlkaXVFWXVPR092cmpqdnhrckotTktSRWIyekJoNzFIU25OOExVanFXaFJTWDNzVVVtN2RESVVQOExhdXlCTXRiY1E9PQ==
if this is a persistent request then there must be a reason for transferable + divisible guarantees specifically monetizing them is the only explanation that comes to mind again im no expert and i cannot confirm whether this is standard practice by before the obligation is completed you mean before exporter has fulfilled total contracted quantities this could be why theyre insisting on divisible snlcs financial institutions can with some due diligence confirm exported has fulfilled his obligation with regards to a partial quota,r/commodities,Z0FBQUFBQm0yeGNYYmZRVTNXVTVGd2d4SEpHRHItdVA3SkZVcFc1UW5aYjhfTnZMWnFwZWxVMXJkS252WjRtNUU5aUVrcndFN3dNMnpzNDZqUEJEWWNjZWhwYW9mYVB2bFE9PQ==
>i sort of have experience in energy as a sales rep for a downstream company they sell fuel cards what is a fuel card,r/commodities,Z0FBQUFBQm0yeGNYcl9UR1B1RUdOSUNZdjBlVWhLRnVsLWNUYW96UkZFd3d3Z1ozVDJENFByUEI0cUdIMzFwbkktQXB4d3NfZE94SC1lUXp0THBhdm95eDFuM2dEUEdSbnc9PQ==
apply for trader programs at majors seems the easiest route for folks straight out of school,r/commodities,Z0FBQUFBQm0yeGNYdFE2MjRDOU5fRlZwWng1RWZBNlpnRVJ5VkdFQVROeVg0cC1NNjRwYjhYaHUtbHdlSUR1TmhtdmlhYmo4OTFYQkpCQjZoRDcyUkNlcERiNHE5QWF2clE9PQ==
trader programs typically require experience,r/commodities,Z0FBQUFBQm0yeGNYZEdGcURtaU9oRVF1d3M4MGsydnNZWGFaWV96alRocGRicFlVRjdUX25GZVVZbTNxSW5aWlctWExtNjIycHQ3X01sZDhnX0Nzc29oUTNlcV9BUDFVaVE9PQ==
am also curious to see the comments,r/commodities,Z0FBQUFBQm0yeGNYWHNPS3p0RFhhYUtUSFN0dWVkVXRUSm5PaldmOHpvZHA4cENHX3pYc2RYa1ZaQUJsRDROSTI4OHQ4UFZrSGE0M0hYUHM4VWVaRFlYWjlGVVpTY1JHLVE9PQ==
gas cards that companies typically offer sales reps as an incentive rather than the sales rep paying for gas out of their own pocket they use the company fuel card,r/commodities,Z0FBQUFBQm0yeGNYMlllbGt5QUVzXy0xaUNhRDlsR2dfaWZidzhGUjNyT0t1NjZDRjdWSFktSzJFN19IUk9JY2x3SHFkOFZYM3Z5V1RfaEprU1NXdWpnZHNWeldHQ2ZmbTNUOHlULW1WOUM2Y0EwNDF3ZDcyOGM9
please,r/commodities,Z0FBQUFBQm0yeGNYcDR2d3F5M3pIRVVQWU1VbnphdTR1TUtGNW5ET1JFRExiMkVRM2E1N210VE11cTFzYVY4WGZ4QUt5bjB3cEFNdE9XcFpfb0xrMThvaHozbmFuLXdQMmJRQkFZS0plVG1Ia19SSkN3UThKbTA9
no you dont,r/commodities,Z0FBQUFBQm0yeGNYLVk0WC1KS1VVczJoSEYxc19yQWhMRmVISWxHa1hvMlBsMGRqX1hnUHo1bU8waDlHSUdreWFiekxtSFg4WVN6b0JkQ28wdUd2OTZCYV9yMVJReW9oSlE9PQ==
ng schedulers sets you up to progress to becoming a ng trader but ng schedulers are at the bottom of the food chain at least in the company that im at being a gas analyst allows you to see the broader picture and also gives you the progress to becoming a trader understanding fundamentals is as important as understanding how operations work but you will learn a lot more as an analyst vs operator,r/commodities,Z0FBQUFBQm0yeGNYTktnUXZwQ2pZUG81NVFEX3VDWUNIXy1jUFRNV18xbEY2ZzlBNUZWbUpOWjZvS3NOcm9PQjBfdDg2TXQ4N1dnYXo4bzV4aHFNTmpkaUlzYVNPWWVBSnc9PQ==
what do these programs entail,r/commodities,Z0FBQUFBQm0yeGNYOU95OHdWdXVZNU1wT2pSdlBsWndkSTN3WVF0MlJ3SkRsMTFOMGNWQnNqeHpqbDBkX29uZjl4VXZtT3dUSlJ5VkdYdlB2Tk5fTzNBaGYzSkN5TlZQa3c9PQ==
reuters,r/commodities,Z0FBQUFBQm0yeGNYQWNHSERMc0RjT0t2b0Y1OVFuVmZnTVo5VTR4ejVyVUQyOHRtNjlwN081a0ZyaFdJTFJuWS05alA2N2JjN2hUcC1ta3g5eG5YaFpBajhEME9GemlsX0E9PQ==
thanks for the recommendation sources like reuters and bloomberg are good for news and data im looking to filter through the noise and get deep dive into the analysis of the implications behind the news,r/commodities,Z0FBQUFBQm0yeGNYTWlJR082eG1PV0hCSjN0cUdNVERKeFM3aGpJTEl5bUh2Qi1RRzJILTNXbWZBbTZIdktuVmg2MWdGRl9MNlQ0S2U1QXZ3STFDSWlfMWN4T1RneTlBX3c9PQ==
sent,r/commodities,Z0FBQUFBQm0yeGNYRDFjV3NSWC1lVXFwaHZPVnB3SzFsTmNmdHMtQmtBeF81cUkycXdIZ1l3ckg3a3VSbDlDVmtMaGVQRWtseGE4RkdSa1UyaU1OTWFJNXNZRVJ6RnRSWVNiV19DektpbG5Ld055azYtdFZlSUk9
enelyst,r/commodities,Z0FBQUFBQm0yeGNYNVhnYi1xN0ZiaVhIa3NKUTJ0eFVHbF9ja3lkQzdmUkFxVnU0b0hoVlZ0ZVh2SlEtdGlzRHNUVGxoTVVJSWJDdE41OE8xYlRVREl5VzFoWG5pSHh3NVlhaERjUjNBaXlsbEx2UUNpcDRLMmM9
bps didnt when i was starting in the industrythat might have changed,r/commodities,Z0FBQUFBQm0yeGNYaTZqdlhIU1h1S3QzSHpXOWh5VDRkZGZ1Mld3cHlVa2szNF9ic0NqRlRQcXdxZTUtLTBMb3lkSWQ3RndhbHJjdURkY0FsM0hwWEM2STJpRkswbGt2T0E9PQ==
ive tried linkedin but most connect request go unanswered,r/commodities,Z0FBQUFBQm0yeGNYMnMzMWlhWkZqWWJORDZacFQzLXZZLTF4a1ZJcjlCUDNjV1FoZ2Q0Q0FJWFE0M2xoN1Q2NWxZWHRrZklTZTZOUkNrbmZHTHR2T0xHV1lrUFlVYWpOanc9PQ==
i see well i would not classify selling fuel gift cards as having exp in energy the same way i wouldnt classify buying gas for my car as having exp,r/commodities,Z0FBQUFBQm0yeGNYWlZKTGRpNk1xeW9PNHY3YUF6c0szZFg1X3M2ZFZzMmxPNnhWWU94b29CMDU5MTVkbVBsSHVVSi05V0dYS0xBUW1zbU5LQzlVQ0dHVVhBdUV5RW1ZWEE9PQ==
going into a trading support role like scheduling or analyst is a good route especially if you want to get started right after school a lot of trader training programs draw from existing employees to go straight into trading or even a trader training program without experience or toptier education is a low probability i wouldnt focus on that if i were you have you considered more education theres a masters of commodity trading program at the university of geneva if i could wind back the clock to age <number> i would go do that before starting my career that would open up a lot more interesting doors,r/commodities,Z0FBQUFBQm0yeGNYbEhHYUR2QmpyMW8xZUk1RFF0V3V3U3FQQVRodTQxQ3FlMGEwQUR4enBaWkdiSzh3QnFxSGdvVXVneFY3RWY5OFdJZ2pOb3lDamNRbGtwVmJFdWJEVUVBd2NCTFJ0WUhDYUhXRUhWX2xTc1E9
rejected at already lol,r/commodities,Z0FBQUFBQm0yeGNYWmhDbVlfbFowYjctSi1wQ0N1NzZRaUh5c0ZoYndHa0JBNkNzY3RDN01HM1Mxc1p1dGZSbFJ4clFoRVo2dlRIQVRxX2t5amVibGYzbWxIZHk3cXNpckE9PQ==
there was a post here the other day about a trader training program i think it was shell sounded interesting,r/commodities,Z0FBQUFBQm0yeGNYUVdjZXg2TnlXVmhwOVVlUzRnVHE0YVdyOHBoeDBYSk9Zd0tUWmxySXlDT2p6ZWlfV0NXcDRha1l5b0lLOXBhcTE4Y0pXSWpJdXAwbWFuTjNNay1ua1E9PQ==
sure,r/commodities,Z0FBQUFBQm0yeGNYTTVHWE91YmZRWWRvcHRWVnFFYWpsZ0xnOFBGQk5qeHpuNnlHblNXNDExdzkzOENjNllvRGRtbm5QMUpCcnpZcWc4Vi1QNThZYkhja1h2RFFrOWZ5Z0E9PQ==
sent,r/commodities,Z0FBQUFBQm0yeGNYS3RmOENDdDliTHJrLWdpb2VReTUyOXZDRHpMXzZtOUpYeUdvZWY4NWhHNGxtclI0dkxSZnpPWUp0SGdXemVTUk8yOXRuSDlSVDdBSTNaYTU2YXBrbjNTa0pyUDBHMTZrNXFreXNpUF9xcG89
ng scheduler here houston tx i wouldnt necessarily say bottom of the food chain every time i talk with traders in the ng industry overwhelmingly their previous position was scheduler this is anecdotal but we have roughly <number> traders and <number> of them scheduled for years prior to trading out of about the <number> schedulers we have on the desk roughly <number> at any time are being trained to trade on their pipeline our gas analysts are promoted to scheduler the analysts mostly come from risk settlements where theyre actualizing accounting or theyre new graduates i would think i could be wrong my company is structed similarly to others as we were the supply department for a large energy company that was acquired by private equity,r/commodities,Z0FBQUFBQm0yeGNYbEFRWE9VOE9fOXpxNUdNSlpqUVV5OS1sMVhvcHJNT1BjM3NxV3BfRmY5b1RCNExiNjlXOURnQjJPVVJWREJjR3BKNW9lYVYteDRYWVdleE82REhaZ1E9PQ==
shell almost always lists their salaries in the post now im in ng scheduling i applied and have the same worry while i would love an opportunity to trade for shell i dont want to take a pay cut which based on the text below could potentially happen if i somehow by the grace of god get an offer the base salary range for this position is <cur><number> <cur><number> per year individual pay will be based on various factors such as relevant work experience education certifications skill level seniority and internal equity,r/commodities,Z0FBQUFBQm0yeGNYZ1lvVWFITElBS2FSalhvWG1LWDdYT0Vjb2lMQmR4b0FMeFpXTW93MUJNT3RobjZGTGZmbVU2b2YxUWhHOG50Q2cwZGp5LVBYMkZaSDZOTXZlbTdrOXc9PQ==
i would apply for analyst roles but depending on your current salary that could be a pay cut depending on the trading desk size,r/commodities,Z0FBQUFBQm0yeGNYSjZDM18tUlVtZWtjYmo0UWtCRnc0YVltNVJjSUlaZkdtaEYyT05jbTlVa2hlc1NFNjh4NDJqVWVvNkVOZWJFVm9tcC1DbmxVaExfejIzM3ViMmRuNEE9PQ==
liquidity energy brokers publishes a daily update on linkedin,r/commodities,Z0FBQUFBQm0yeGNYUklOLTAtSVphdURWN1J1Z09zMjlGRGQydVZ0TmFwekF0MHA0OUZaOWxYbFZxejN0MTVZTDVBRnpkNGZBWkVDR2VxSjJBeTAybl9Db3VBcUNjb2xlUUE9PQ==
i know nothing about energy trading but i work in ag trading by no means are you behind the curve i went into corporate finance for <number> years before transitioning to trading when i was <number>,r/commodities,Z0FBQUFBQm0yeGNYSjB5Z3BVTllxZTFZbVd3Mk5PQ3llODFpUEZmY3FoOTlvYjFFRlJVME5MdTdmWHZRTG8xVm15UzBod0pSSEppRzZxS2prN2dLc2g4R25IRDVUVTczZXc9PQ==
they arent gift cards they are fuel credit cards but yes i agree,r/commodities,Z0FBQUFBQm0yeGNYZVB6LTNadGxRTEFKU3NCRFdONWRfX0xfc0o2R3VsZ3dqcV85Y2ZGTjdHTE9jd25mdExzdXdFWlZ6eEkwekRoaklSdTE3VnlrSWZiVDJKX1k3R3lEbXM2cmFyQW1ydko5YTFsX1hZa21oU2s9
set up a meeting with the head of the trip program at tamu and ask his advice he can put you in contact with hiring managers at dozens of energy companies,r/commodities,Z0FBQUFBQm0yeGNYamRfbEpDQkl3MWRoczI0STliamFMRnNCUXg2RkFmMEFKcll3c2pXc2hKZU9udWpTOEtPTzVVY3lfR0tUY2FnVzIyaUc2N0JrMUo3SkJKWllRMmxpY0E9PQ==
what do i need to become an analyst is the endgame any different,r/commodities,Z0FBQUFBQm0yeGNYNE1iRGdmMW9VUUV3cGplTUJ6MnJydFdWbWJ5MTNWRGphdFowd2RGWXNDd2pDNEtSYXluVXIxVnlkZU9yZW45RzJBT1Q2UlRrWGRjUXpzanN6MkQzQlVtbVNOV0IzSmsxZFFabXF2cTBwQ0k9
theyre used to make gas payments they arent gift cards i agree that its not necessarily something in energy but it is technically downstream honestly,r/commodities,Z0FBQUFBQm0yeGNYV0tDeXh0MlRCMzFfRHU5aktEOXpJVFhpWE50U05Va2dmcnMxMmczOVlfVXlSNmY4QlJzME9CNHN2Yk8yMFJSVDVfWDVaUi1FMklMcVk1MnQ4NkNoWlNXYVNBbkMteUhGOEhGX2tEY055b2M9
what was your path if you dont mind me asking,r/commodities,Z0FBQUFBQm0yeGNYQmplMUU4VlV0aktQQWlkY1ltYmR6VUtfTm1vbS00YWxKZXhGVjdWanlWVDRfbGc4UUZFX2RkZ01qUDZ5cGNhbWxweEs1bzlHR0tZN19ZY20yd1ZCVmdTVUxuTXBzMThRWnZWQTBxZTBhV3M9
why would any serious player in the industry reply to a random in their linkedin dms i ignore every message i get from people trying to do business with me via linkedin,r/commodities,Z0FBQUFBQm0yeGNYb21ENmpQT3Jma2VtV3ptVWIwR1F5ck16SU1NRTJINkw5YTZnNUcyX19CbXRqeVFGNEtnajE1U1dPOFJzZkFYNk13akxELWFybnBDWkdmS2JtQ0VwSVE9PQ==
yes i am ready for my quarterly rejection email from shell,r/commodities,Z0FBQUFBQm0yeGNYX2Z1YW5fODFCMlBWeFVOLVl4WnJVeFhoTVFfbkRId1NtU2pLZ2RFd1lkRGlxcEUyXzNOb0JxUEthNjN6bURRaENiQkp0VDRGM2RaRUVwcTFBTklFbmc9PQ==
do you find such requests sketchy,r/commodities,Z0FBQUFBQm0yeGNYMG41X19RaFN2aTdiZ2hnYVcxbTBGSVFUQzlxM1Bldy1yLVlvRC1TaVdZaU5nbFJqbjAyVGtLeU1PVE9iQ1VzUUU2a2VsTU5vLXBoM1BhbkdrLXhvOFE9PQ==
yeah its an avenue i will actively explore,r/commodities,Z0FBQUFBQm0yeGNYaTcxVldjYjZfRnhrYkU4aXFuekc5NWp5SE9KSmtNV0hSQkhJXzBoSklacmpFZXZOQVRLUUtHSGdrRVlCd0ZiSXRodmtoLUhsTmVKWEhCZW1FaFNockE9PQ==
