cleaned_text,label,username_encoded
ah cool cheers was more curious if there was some strategic advantage being in london vs the founders just preferring it,r/deepmind,Z0FBQUFBQm0yeGJSN0VpSWFLZ2o0M0VUS2pfYVV1Q2wyQV9NYjBKSUhnQmVhTlFya1ZWTFFyelVyU2RRcVlVcVVqWWR6Yy1aN0JfVktoNEZzaDVFOF9ucExHNEF0TktrUkE9PQ==
nope just a matter of the founders wanting to stay in england it was actually one of the terms of the deal when google bought them that their hq stay in london according to demis hassabis i think its cool to have such an influential tech company not be inside the silicon valley bubble,r/deepmind,Z0FBQUFBQm0yeGJSV3Y1RnBwek5oZHJhaUZfWHVueGk1djRBZEowV0RrNmZ3bzRUOU43bVRvWGYzd0o3amY2c05Kek5QRGFlWXF2MnUtbGlvLVpSRFc2dDd5UVBJZzF3UkE9PQ==
demis hassabis shane legg and mustafa suleyman those are the dudes demis was near to best chess player in the world for his age at age about <number> or something like that,r/deepmind,Z0FBQUFBQm0yeGJSSHE5S0RlanJJSkdjcnI3UjJoTWhXa2ZNbEdYNGZrM0E5cnA5b0FtbVZ2VnNVV25VRjlFVkN6VFdIRG1wMHVMYktuVkpxcXMwdVVyc21vVW1Nc2JHSFE9PQ==
dont forget arm holdings started n cambridge and its worldwide hq still there one of the most influential tech companies n the world today,r/deepmind,Z0FBQUFBQm0yeGJSSllQS1B2NmVjN3dyODZab0NEbnkwLUJDc3JTNzF2QmlfQXM3S0tDb3Z3Z0x2QzZVYkVXZVRieWNpVno3VFdYTUx1SW4tcDZmbkRxdUlETEE3ZWR4c2c9PQ==
there is a bit of this in that the founders started recruiting their professors from ucl notably david silver the main guy behind alphago etc the professors could continue to lecture at ucl because of the colocation,r/deepmind,Z0FBQUFBQm0yeGJSNk9aamJPakVTVGlOTk5CY1IwTmRvMWlGR1VDZFFnY1M5MmNSNGlGVlRNMlhuWi1LQTBUeklNc3l6UWhDaVNzbklNUnlTQ3RzM1NzRFFUeU93Z1NfRlE9PQ==
london is safer than usa too,r/deepmind,Z0FBQUFBQm0yeGJSeWFXNlNiX2N2ZDA3VkpxYkM1eDhRQ1lhOVV3dmhELVhScVZGYlF5UGxuUXRTM2h5M0FXdkhoTUNQSnI5YWY4Nkw5LXA5S1dJV2VaRGRobE5xNkJyUHc9PQ==
ok thats a weird coincidence i guess i just got a mail telling me they wont proceed with the application googling the name of the recruiter it seems to be an outsourced recruiting agency in asia this hurts i hoped my cv was strong enough to get through that phase at least all the best to everyone who hasnt got an answer yet,r/deepmind,Z0FBQUFBQm0yeGJSSDIxeDVfQk16TjhiVlEteDFIZXFHblRDZm1nWXdwWkI2ZFRKLXNSN2NKY29BMlRtRXhfUmVCY2ZRQkZ3bXd0aWxBb0tteTNLazVZNjJtcXlaNjJ1Zmc9PQ==
im interested in the emea applications how long exactly did it take between your application and their response,r/deepmind,Z0FBQUFBQm0yeGJSdm8yRllTUlVidUM1UWJqRGxzbVl3UHREdVBMS2x5cWEwTG5MQWZ6RU9KdUVoTXAySFVfWmhIcTZyU2U5VGRhOFd0eGRrTjM1dVN5OTRHNVJMNExPLVMyeEVzTXF6SWc5SC1SdG9wdDZfQkk9
hey i think i applied end of last month so it took about <number><number> weeks,r/deepmind,Z0FBQUFBQm0yeGJSd1Zkd01MQXNiWC1SOHlRWVUyZXZ5TDhCd1U5MmUxZkl2b1FwbnNtVXZGZWRrRXRsa2IxVlFKXzVaM3Z1RWxCcHotd0JfaWFuMndZU1dEU2FnaGF6MkE9PQ==
how did you apply i cant find any links and the recruiter i was in touch with last year seems to have left,r/deepmind,Z0FBQUFBQm0yeGJSYjI1cGZKUTc0ajRNRXZvSUhKazNmX2JlYXU5TGVEbUVVeXhjQjVUM09ZQlZvM2h3WVg3NGpGMnljdjNlTFJ6OUxES0hxYjlaanZkbVhfakZyUVE0LXc9PQ==
they likely took the listing down so soon because they found enough qualified applicants to move onto interview,r/deepmind,Z0FBQUFBQm0yeGJSZHRBbGtnS2UxdDVmSnRDa1ZnNFlRTEZ6YmJFWEw0S2N5VXBSWDdhYjFBR1MwSll3YWpsTnpUekJESjhpMEl4MDB0TDZRRTE0WURxQXZFQjItanBjdUE9PQ==
> to empower teams to pioneer responsibly and safeguard against harm the responsibility and safety council rsc our longstanding internal review group cochaired by our coo lila ibrahim and senior director of responsibility helen king evaluates google deepminds research projects and collaborations against our ai principles advising and partnering with research and product teams on our highest impact work our agi safety council led by our cofounder and chief agi scientist shane legg works closely with the rsc to safeguard our processes systems and research against extreme risks that could arise from powerful agi systems in the future weve also signed public commitments to ensure safe secure and trustworthy ai statements urging mitigation of ai risks to society and pledges against using our technologies for lethal autonomous weapons,r/deepmind,Z0FBQUFBQm0yeGJSOWFzOFRIWFQtcEJPdVI4eTNQWUN5aWhvWUJHdHZKM3RfdVRQYlJ5R0U2MUxvajE0UkY4TF9PRnNZcHVsV01VNmY4LVQxekhVNmttUFdmRjVVcUZMWVE9PQ==
thats a good question following,r/deepmind,Z0FBQUFBQm0yeGJTeFBuTUJBZ2U1bGhHR0VVZUJ0Z2Y1Z1R5UnBQZTg3UVFDV0QyWmxPMUlfSGZBN1ZOemJXMURVdE8zaENZUzJRdkNuUURDcXZkM1NvSkhTb25UUDVfUFE9PQ==
