cleaned_text,label,username_encoded
i read a lot of articles in the trade magazines in google alerts you can put in the topics you are interested reading about and each day you will receive an email with articles or posts about the topics you are wanting to read about,r/energystorage,Z0FBQUFBQm0yeGJTT0pWZ0xEZ0I4WUZrUW92eUJaMmJPQTFhRnNCTEV3N1dnVDg5ZE1KNkg2YUxvNnY0WjZlWXhad2lzXzd0WDhFTVJOLV9yMXYtM0VUTHQyMzJsM2pZZFE9PQ==
you have a few options but selecting the best option depends on many factors such as design life load profile seasonal variation electricity tariffs etc i do consulting in this space feasibility studies design procurement etc usually li ion flow or sodium sulfur batteries have a similar levelised cost of electricity lcoe with <number><number> year life but flow and nas are even better for <number>+ years usually a hybrid solution grid connection plus renewable system provides the lowest lcoe if you are expect to install ev chargers then that changes the game again ev chargers are relatively high loads this means you might max out your grid connection limit and you need a battery that can handle the higher power requirements,r/energystorage,Z0FBQUFBQm0yeGJTb04yWER5a3BJeFFKM1hfVnZNWExsT3FqMXJkdmN3S3JPc2JLT3Jja1pCcEpYWTA0WW9hSnFTLTZoNndYQ1Q0NXFRR3pEUnFiaWJPbkZELUVIa3MyTVE9PQ==
the bms is the brain of the battery pack and the component that enables energy scheduling is the ems which is responsible for monitoring and controlling the energy of the entire solar system if you are looking for such an energy storage system you can contact bslbatt<url> and we can provide such a solution,r/energystorage,Z0FBQUFBQm0yeGJTU0pITEFoeTIwVmN2U09qdVliWU1rSkExZnl4T1FuUUZfUW5yekRUcEpoaUxnVEVvVGNNWWZQTXVZUHVaV0ZLNlh5dHY3cTJuLVNRa3ZZWUlIb0RQREE9PQ==
also the state license board decided the contractors that have installed a vast majority of batteries can no longer do so,r/energystorage,Z0FBQUFBQm0yeGJTcHZNTGU0OVJIblgzTXZRSTZtMHhIWVUzXzZ1TEp6c3BfLVFyc3JNaTFPMTFOUVM1MjZ2Y2JHSmJXcVpBU2dqZUNqM3c1WEVuckpXbll0VzBzNmxaRlE9PQ==
wow making vogtle look like a good deal impressive,r/energystorage,Z0FBQUFBQm0yeGJTYTJpTFBJSjN1U0NLSVBzMkw0cWFLRW5hRmNyWUFLSmlpVUdFM2xHaDVTUnREby1mendBUlE3TDVpaEs0bjhRTlpyOHZ4RnpzbkNDdHFYYU9lS2R0bnVsN1dzUTRRaGhHSy0zaEVpZVZTLW89
the article gives no details about the batteries other than new ironair type what capacity and how long will they be able to supply the normal grid load enough to last thru a long winter night thru several overcast days seems a better fit for a less seasonal location like hawaii the amount of solar panels needed for a mn winter day might prove excessive in summer,r/energystorage,Z0FBQUFBQm0yeGJTVlg4aGRvTjBocWVEMXFzQkJpMWtzNTFUNkxwSk1tRzlGOWNGT1RQTERwb2FsZmRYVUNydk52QVJYQzJMZE81Q0FXVVdpNy11eFdha3JkR1RGcS15REE9PQ==
theres a ton of info online about form energy im sure you can find the answers to these questions which are of course central to the whole idea of battery storage,r/energystorage,Z0FBQUFBQm0yeGJTLXlPNVFNNWJVUG03OU94UkJzYXJnR2d5a3RiZ3FsS1Z1a2hWTGZDcmJmNjVPdERRYno4SzV5UU10R05MUFNFa3pDSnhiS0NCZXlsSXF1eFBxT1VyclE9PQ==
my question wasnt about the tech of the batteries rather the capacity and how well they will smooth the fluctuating solar output re batterybackup of grid power elsewhere i have only read of one site in w australia which claims a few hours to support the local grid when the green energy fails solar + wind,r/energystorage,Z0FBQUFBQm0yeGJTLUY1Tlo2UUZsazNaa1A4SV9pcWQ2Ulo2UmpPeW02NkMxUC1ObjVjdWdtMjYyc2VBVWY0VmZrNHVYTG1PcFo0dFZUcU1oQXdPT2MwVXR5c0hVZzlPaUE9PQ==
the official website doesnt go into that although im sure it could be found in filings with the state regulatory folks if youre curious forms pitch is that its iron batteries can do major output for three or four days <number> hours is the eyecatching claim at less cost thats the pitch anyway sherco solar project xcelenergycom<url>,r/energystorage,Z0FBQUFBQm0yeGJTUlFtYU5pcjA2YmZxUW9hQmVidG9qQnVqYVdsOXhQd1VqcTkyU0hmNEgxQmdNaDRvQ0kwUW53M3g4enBtb2JDUE9Ybi1tb2xjUEliZ1Zub1h0R3lMZmc9PQ==
possible if the older style iron nickel batteries they are huge but very effective and last much longer same as used in subs i think,r/energystorage,Z0FBQUFBQm0yeGJTWWd2Q3U2WmNIVGlLNGpOc0VELTdudUFQMjVZcFk4S1FYNzVTbURncXNBNmZ0VjBwQlNmbnd2Q1BaMkVNS0ZYWWFRWEdoQlg5NFhwZENtVVR3eHlQRloxRGh4MUFWT2tBNDRGYlU3aXJGWGM9
