cleaned_text,label,username_encoded
every single taxi driver in poland told me how they hate ridesharing companies but i think its great taxi drivers lost their monopoly,r/europeanpolitics,Z0FBQUFBQm0yeGNENnJPZC1sTkV2V3lJVFE4ZGtjRWprQkt3SmJIQkdTRHVmdjdSdDFHM1N4X1hJaTRRY0NCSDc5SkFxZ09xYnVUelZHZnpCRUFiSnNVSWZMdjN2Y3lEdldiY0VmUS05aTJwNkg1Nkw2bmRjM0U9
clean air in warsaw,r/europeanpolitics,Z0FBQUFBQm0yeGNERllSNEo5UEtUZXNtQ0oyRXZjb19ZZ0oxV3AtemlocTdWNUQ3SWNVazVJVGZTQVNKT0FQTXlLZWE0aE1LQ3Ixc2dBZGx0U0t5dEMzVDB2c2lpWTJ3ZzhjOFBKZ2F2VnNhbFpvSDg4Y1Fkek09
as long as its not abused to shoot unarmed migrants and really in selfdefense,r/europeanpolitics,Z0FBQUFBQm0yeGNEMkJOX1RmaGJJWVVRYk83NG9WZnNscHZzaDdjbHZPZmI4cE9wUlM1UEYzTzRVdlpobDJVRm5TZFlkNWdXZFBqLU9NVVFYSTE1aERVRURwVENmVEswR05QSWstZWJLWnRxWXZhejRITWN6X009
its in polands security interest to have independent democratic eumember natomember ukraine on its border how much longer the world has to wait for it,r/europeanpolitics,Z0FBQUFBQm0yeGNEbEh5d2VBdmJjVzNvWlU2WXEyRHRnYXZZSTkxeG5fb3NhUzZCU0loZzlkX19yUVVEZ19Jd3ROUGM4OUszQUUwSkJaTmtVbUVsaTE5ZkhhZlpCSWZzV2gwVURWWGpLdGRsNUxDa21CanQ1a1k9
>polands constitutional court has ruled that a bill was passed unconstitutionally due to the exclusion from parliament of two opposition politicians who lost their parliamentary seats after receiving criminal convictions >the politicians in question from the nationalconservative law and justice pis party argue that they were illegitimately excluded and still hold their seats due to being pardoned by president andrzej duda a pis ally >the constitutional tribunal tk has now endorsed that view its decision may have further consequences as it seems likely similar rulings will be issued regarding all bills passed without the involvement of the two politicians including vital budgetary legislation >however a deputy speaker of parliament has indicated that they will ignore the tks ruling as they have withothers in the pastbecause the tribunal which is stacked with appointees from when pis was in office is acting on political orders > >in january duda beganreferring all bills passed by parliament to the tkdue to his doubts that they were legally adopted given the exclusion of pis politicians mariusz kaminski and maciej wasik >the pair who served as ministers in the pis government during its time in power from <number> to <number> were in decemberhanded jail sentences and banned from holding public officeafter being convicted of abusing their powers >they argue that those sentences were illegitimate because duda had previously pardoned them but those pardons are themselves disputed with the supreme courtfindinglast year that they were issued illegitimately but the tkrulingthat the supreme court had no right to rule on that issue > >in december szymon hoownia the speaker of the lowerhouse sejm andone of the leaders of polands current ruling coalitionexcluded kaminski and wasik from parliamentdue to their convictions they appealed against that decision >in january one chamber of the supreme courtruledthat the decision to end wasiks parliamentary mandate was invalid but a week later another chamberupheldthe decision to end kaminskis mandate however he argues that that decision was made by a chamber not authorised to rule on the issue >subsequently kaminski and wasik wereforced to begin servingtheir twoyear jail sentences in january before being released soon after when dudaissued them with new pardons,r/europeanpolitics,Z0FBQUFBQm0yeGNEVWRvVndiMUtzWjYtcEV6TFRhcUZCdjlhVmlRSzI3VW9vQW9zM3VaWG9kX3IyNnZsLWc0U1RadDI5ekVpbHYza0dyUXN6dFpBMmt5ZHBUVEtKcG5WTnc9PQ==
not really the tribunal not too long ago was also declared a legally nonbinding entity thanks to judgesdoubles being partially in charge,r/europeanpolitics,Z0FBQUFBQm0yeGNEeDV6WFJCekstNHk5a1hLZHVXclcybEozRUQ2Ty1HdV9fT0t1SW00UWNUX0VmWlFndmQ2Zi1ySi1FT3ppWGV1U0NrVURlS0oyZnlSanZ0OHN0eV9wN0E9PQ==
>on thursday the tk issued its first ruling on a request by duda to assess the constitutionality of legislation passed by parliament while kaminski and wasik were excluded >it found the bill in question relating to research and higher education to be invalid due to a defective formation of the composition of the sejm which passed the examined law >the unconstitutionality of the reviewed law is causedby the fact that two mps as a result of arbitrary actions of the speaker of the sejmwere not allowed to participate in the procedure said tk in a statement after the publication of the judgment >the illegal actions of the speaker of the sejm had the effect of undermining the will of a particular group of voters who considered that mariusz kaminski and maciej wasik should represent the nation it added >in view of this the court ruled that the bill under review was incompatible with article <number> of the constitution which requires the authorities to act on the basis and within the limits of the law article <number> which states that mps are representatives of the nation and article <number> which stipulates that the sejm consists of <number> mps > >the verdict was reached unanimously by a panel of five judges two of whom krystyna pawowicz and stanisaw piotrowicz are former pis mps who served alongside kaminski and wasik in parliament another was the courts chief justice julia przyebska who is a close personal associate of pis chairman jarosaw kaczynski >the current ruling coalition in the past hasarguedthat it has an obligation to ignore tk rulings passed with the involvement of pawowicz and piotrowicz when they have a conflict of interest as former pis mps and with the involvement of przyebska whoseterm they argue has legally expired >in response to yesterdays verdict a deputy speaker of the sejm piotr zgorzelski told polsat news that no one will care about the ruling of the tk which has lost its impartiality and has acted for many years on political orders >at this months european electionskaminski and wasik stood as pis candidatesfor the european parliament and both were elected,r/europeanpolitics,Z0FBQUFBQm0yeGNEZVA4OHVta0Q1cVFPRDFYZnB0S3N6Y2RhOTF1OWlXLVN2VWhhcjhsTmw3U1NWUnl2QXJJV0hnVHd4dzdxOFprS3dvVUxwUnotbzhWb0didDltajBMdXc9PQ==
>two alleged members of russian private military company the wagner group will stand trial in poland on charges including terrorism if found guilty the men who are both russian citizens face up to ten years in prison >prosecutors announced on friday that the pair who can be named only as andrei g and alex t under polish privacy law had been indicted for crimes including participating in the activities of foreign intelligence and participating in an international armed group aiming at committing terrorist offences > >the suspects were firstdetained in august last yearby polands internal security agency abw with the interior minister at the time saying they had been distributing propaganda materials of the wagner group in krakow and warsaw >before that posters encouraging people to join the wagner group had appeared in public places in those cities shortly after being arrested the two russian men were charged and placed in pretrial detention where they have remained since >in a statement today the national prosecutors office said that the defendants recruited polish citizens and foreigners residing in poland for mercenary military service prohibited by international law the pmc wagner group >for this purpose they put up at least several hundred recruitment stickers that enabled direct contact with other people responsible for recruitment and organisation continued the statement > >additionally the pair are accused of working for russias foreign intelligence service svr they were tasked with conducting the socalled hybrid war including propaganda activities aimed at destabilising the political situation and causing damage to poland >hybrid war is a term often used by polish and european authorities to describe a range of nonmilitary tactics used by russia and its ally belarus such asspreading disinformation carrying outcyberattacks and orchestrating amigration crisis on polands borders >in recent months a number of people suspected of carrying out espionage and sabotage on behalf of russia havebeen detained in poland >in response to such threats the polish government has recently announced increased spending onborder fortificationscybersecurityand thesecurity services > >the wagner group founded by yevgeny prigozhin once a close ally of vladimir putin played a prominent role in russias fullscale invasion of ukraine in <number> it has also been used as a proxy force by russia elsewhere notably in syria libya mali and the central african republic >after leading a failed rebellion in russia itself last year the wagner grouprelocated some of its forces to belarus where its mercenaries becameengaged in training exerciseswith the belarusian military including near the border with poland >in august last year prigozhin died in a plane crash after which leadership of the wagner group was assumed by his son pavel,r/europeanpolitics,Z0FBQUFBQm0yeGNEN1NXRVptSndpWWthME82SlFUVmxlTVZ1bVNXS0hqc0ZFSGtLNXhPbUh5bG5ucl9qVWlOR0E5V0wtd0g2a3FiMVV3Ykl4bjl1X19kcFg1bVJnc3Q4Qmc9PQ==
thats great it will be in part produced na miejscu,r/europeanpolitics,Z0FBQUFBQm0yeGNEbnNPRmtvZjgzSDlkRHZnU2x0M2FKTmlwRXpKQWg5Sk1GT205SGxaTkZ1MkxDQXRwRnRLWktlWWN4Umpfd2QzNE4zVEM4aHJONjVyajZaaTNCZVJHMzlUdUZMaEZNeHVaVWNKY1B6Rkk3dWc9
wow they got them i remember posts on x with pics of stickers a while ago,r/europeanpolitics,Z0FBQUFBQm0yeGNETGZsalZuUmNnYUJKcmxzbFRsWEtSOU51SVhETERKb1dRZ3Y2WDUtZWxDSzVlQXgzaTRmN0xWaFltbHRmVHp5R2pWNG9mbS1kdkY2RGk3T0JqbklxT3dIeG5pRmVvMDhfbjlmX1N4LTM2Tmc9
