cleaned_text,label,username_encoded
the price is right,r/filecoin,Z0FBQUFBQm0yeGJTNlM0T0twbmt1SWpNM2ZNenNnbmNCQlVQOXE0NEtUVy1fdU9MYkpKdWpZUGdZSXN6YkRIQ0JsSU4xOElxRnBQcHptaERnLUliRzZySUN0a1haa1ZSUXc9PQ==
i was already on board with filecoin well before reading your breakdown after reading your comment i might move a fairly sizeable postion into file coin ,r/filecoin,Z0FBQUFBQm0yeGJTMGJiNF80aDQtZ0dTZEdnbWVhbi1KMFhQc0FJOUpiWlJ2QWNCUXQ3RGdMLTEza3FJT1FCTXRkeDRJWE0zQnVFRWtDbEdVZDdIWWtfOW1SSkE3cVRFN2c9PQ==
i have no idea at this point this coin did hover around <cur><number><number> before exploding to <cur><number> and literally no one thought that was possible at that time i would say however that at this point with btcs price and the history of fil you would expect us to be at <cur><number><number> at this point and we are sitting around <cur><number><number> the amount of inflation the coin has undergone is extreme but it was also inflating at an extreme rate when it blew up before its also why people thought it wouldnt rise before idk its also hard to know the exact market cap because i read conflicting info on how its accurately depicted coin market cap doesnt account for burn rate which is built into filecoin and my previous research indicated anywhere from million million have been burned its hard to find <number> accurate info on this so its not x inflated its <number>x inflated depending the real question to ask is if its insane and unheard of for a coin to do <number>x its previous marketcap because thats what we would need to do hit the previous all time high again or come close to it id say its very normal for coins to do <number>x what they did before but who knows dogecoin and shiba and pepe would have made anyone rich and they have <number> usecase outside of being memes no logic or rational seems to matter at all just hype and despair,r/filecoin,Z0FBQUFBQm0yeGJTUWRoMkxiMzNyT1J1NUMzel9sMnlnTG9sZHVGRVFyTGxISnhfaVpTb0NQMWhDTWdrSFZYOFltUzZTR1laeUtEcUszdl9telFLWjEweGs5TTFQdDRLOWc9PQ==
very helpful thank you,r/filecoin,Z0FBQUFBQm0yeGJTMEo2Smw5UWI4bG1HazBpeHFYcXFqcUJNWFNObGhWalJYa0ZBQlpkQlhxbmtQQ1N1VjJnYTU0MWkyM0lZYVlvZF92MW5hTjhieXpvOHRxdFdkZWdjWnc9PQ==
you cant stake it can you i just mine it by running the filestation app on my desktop,r/filecoin,Z0FBQUFBQm0yeGJTOTFkS3JaX3lNN2ZrZWpyamt6UFJPYXpzMHlWNGp6QTNkOTU1N3RhOGxVZTFTb1ZDLWpuaHpqQXRtSEVvUEZ5YVlLM0ZHWllfNnJCNXFrNWlEZnp0Y1lka2toVXVBQUpMT0ZvOTU2VWpDckU9
usually new coins are more profitable of price than old coins if i had money i would divide my money into four parts and buy them aptos apt optimism op arbitrum arb internt computer protcol icp,r/filecoin,Z0FBQUFBQm0yeGJTeENPMGpiLW5GNTRKQVUzQnNCRkNFVjB5LWRtcWRDcG5NbDdLSGpENklyVDVmeWh4MWhJaXNSQ3ZDeHplcE52UmkxWTNNWmt0OEFTXzJQa1hCNWZMSFE9PQ==
staking as a loanlending scheme has always ended badly,r/filecoin,Z0FBQUFBQm0yeGJTQXN4YkZPdm5oWk5oanV4UDZXZ0FIamVPcGtHcnA4UnZUUFYxODhWVFJSLVVPVkJYcFhodjl2c19CR25hYUtldkpISWNvYVltYzFpRU9GZDd0R0JKbHc9PQ==
you can stake via glifio its probably the most secure fil staking platform though for me i only stake sol because it actually never leaves the wallet,r/filecoin,Z0FBQUFBQm0yeGJTOGZnd2hIdldWaDRfQThWYzZmbWt6U2ZkZzZsQ2gxSnEza3g0amRSSzUtZURMVXJpdEFIcWpITHFvVmJkNDFtbElfOENtTHNFZjU3ck5uYnJaU1gyTHc9PQ==
what return do you get aprox,r/filecoin,Z0FBQUFBQm0yeGJTc25xUXQ5SVV0eFFVemdnOVk0SVRqTXpxNDk3MENNRWFlVzRmaklLV1dwaHJJaV8wQXRsQXE3RVc4UGNSckc2NWVrQjhXZHFjYnh6ZzU0b3g4QXVXSHc9PQ==
yeah you are right badly like stfil,r/filecoin,Z0FBQUFBQm0yeGJTV1ZIeGNJRVVtV3JjR3FGMnV0eWRsdTlHRWlqWUtMcWQ0WnV2RnlXYVFBcGNPaGQ2S3pPOXhnQkNJWks2RjRfRUJueS1TSUg3b2FpS0Y5QVFZa0RKS2c9PQ==
