cleaned_text,label,username_encoded
how do you spew your lies with a straight face,r/foreignpolicy,Z0FBQUFBQm0yeGJTWFBQdk9VQXhZbjZFMjg4akE5UWlIYWs0XzVLTjZBQ0FnMGdFOGhOS3NKbEhoNUZScURkT2NvdnBlSlRuRGlIQzU3VUZER1FzYzltN0owdEc2NWVYbmc9PQ==
if anyone can clarify for me the warrents request by the icc chief prosecutor still need to be formally approved by the icc right,r/foreignpolicy,Z0FBQUFBQm0yeGJUVnowQ2pWYjdBMUtYdFRvU281ZHZHUkJkenJoc29SS2ZiT2xxWVVzZk90R0lqWlFRMDZwbEVvamN0THB2X0d2eTA5XzhUbGpCMG5vWURzY0RhVHFITHk5bXVSTmxqX0pTRXgxWkZjaFMwSXM9
very edgy nice,r/foreignpolicy,Z0FBQUFBQm0yeGJUR2IwQ2hCbGFubjAwcG9HUFpsQTQ5T2xYaXdCdDlXaU9Bdk9xTEgxdnNJWkw4aWpEQkdiU3lISU0zYkRJUUlmWno1NmVzUFN6d0stNE9GZGl1ME5FWEE9PQ==
why do you keep a dracula looking vampire as your spokesman for so long,r/foreignpolicy,Z0FBQUFBQm0yeGJUb1drZ25xMnVoak9yQzJGcFcwRWhMcF9QNW1UTUNSZHdlZlNvb0ZUaEQteExBUHRLVk5McVpuT2I0SUxPUmRmRzNNQVpjTjdraEVQaUVFX0xVZG8xRHc9PQ==
please improve the digitalization of applications for visas and legal immigration little to no paperwork should be required same with passport renewals,r/foreignpolicy,Z0FBQUFBQm0yeGJUZ0M2VG1DUnJkWTE0VHZOZjktOXNqOHZqS0VvMkYwdXBlY0xvV2ltcTJRUW9zVDVDZ1BMb1FKY3l3YURjRjZSc3lueHBjaGlyMHhfSjgxS1o0M0dQeHc9PQ==
the russian state seems determined to press on with the war despite our sanctions and its terrible losses in ukraine the latest rounds of support from the us may or may not halt the russian advance in either case what is the ultimate long term goal in terms of relations with russia and china we outwardly declare a desire for peace and we dont want to placate wars of aggression against neighboring states what policies are we implementing to draw china and russia away from conflict other than sanctions and threats iow what carrots are we offering other than sticks,r/foreignpolicy,Z0FBQUFBQm0yeGJUVFZuRHMwVHEzVWJKOEp5ZkxSLTBQU2d5OVNYOWF1a3lnNzJ0TWU2dXlhZnRvc2F6QXcyQ3I2MmZNNzJaVGxLcWEtSHNNbHV1YXZoeXZnOFlLbDVYemc9PQ==
there was a failed coup attempt some americans were captured whether or not the cia was involved in any fashion will be very difficult to prove heres the wiki on the coup leader who was killed if youre interested in knowing more about his ties to the us and other nations <url> heres a couple articles from different perspectives <url> <url>,r/foreignpolicy,Z0FBQUFBQm0yeGJUb1RCZ2dtcmtEbTdtMzFYTldmd1ZhT3NGZkw1eS1WWXFRbHRYbzg0YXdWcnFTVVFXS2ktNXhGckpmYmtJZ3o3ZmpyTU9WQk1jQVBaX2pVUGJ6eXdabXc9PQ==
what a sick joke with what men i hate this war and the propagandists keep doubling down ukraine has lost it was relatively inevitable what an aful war no offense to op just my <number> cents,r/foreignpolicy,Z0FBQUFBQm0yeGJUclRaTEEySWI5b3B1UGQzaF9WQmJEcy1JNkFMUW9MMS1xekc5dWRHV0Jqb1h4czFYbDJ5RkJ5UTFkMzhZazdmZmNRMW4wbUNVaXhqNlZlVXJxbEttRFE9PQ==
how many more ukrainians have to die for you to admit we lost and negotiate,r/foreignpolicy,Z0FBQUFBQm0yeGJUTDdNWm9lcllDR3BIYVN1OUFka3hJRVFwMDFrbnlVYjFwNTJvR1F4eFRmdVVpeGJzWVBXVXBJTUdTOWs3dGZiY2htSjVCODJBNVJydi0xQTB5NFlsMXc9PQ==
ironic coming from a man who supported the sadanistas <url>,r/foreignpolicy,Z0FBQUFBQm0yeGJUM2RPclJockN4OTQtWEppS1llYVRXdUd4NWR3Rk04NGNVSExFOXFqTzk3UUFUcnYzbWs2VmdhX0FzbEdpbGNPMDB5czZLbk91dmptX0hZLVA3cmpTTmc9PQ==
