cleaned_text,label,username_encoded
still large numbers of not only refugees but migrants in north africa all of them are subject to labor exploitation and also to hunger and loss of housing,r/libyancrisis,Z0FBQUFBQm0yeGJSNGtzUTVvY3luWHY4OU1QYVNHZUdxYWtSdmRBWmd5ODJHN05KazZ6ZzFwaVRadTNjaTR2dlBPcmpoWlRDQjZmVXhoVXpzVmhTdHg2UFliRUp5dWxzcXc9PQ==
it just is not clear from the article if this is the current chairman or the prior at one time point also is this a company or authority or corporation sounds pretty much like a multi national,r/libyancrisis,Z0FBQUFBQm0yeGJSLUhmNk1YbFg3RkoyaFI1dmZXS1J1cXBYdXlFajE5Qzc2ZDV4dmdITFU0U2hmazNmaE5sZUpEQjMwTUxqZ2hUTGI0dVdtMFhsdU5ieDNHemtJUVdITkE9PQ==
even more complex here that the libya government got mixed up with ied s in europe,r/libyancrisis,Z0FBQUFBQm0yeGJSNzNUR3I1WFBWYTgzWEV3QkVvMkRIU21hbDFZeDFUQUlVbDdfWjRPamRuaFpMMFVudHZZUzlfck1NXzFFWDM0Sks0M0NoeFFSdjBSS1AtUWotRjZEV3c9PQ==
>political manoeuvring has intensified among factions and leaders from across libyas fragmented political spectrum since last months failed presidential election,r/libyancrisis,Z0FBQUFBQm0yeGJScnpGQmJkekxhaTFvQy04RzY3ajVsNkVXbWhEQnZlcEczNzJvWHZtZkNhUlBEc0V4MlVQekx0d1NiX1FPb00zWnZ6QUVLTmxkTmVsbGFsN0NVR3luTnc9PQ==
>libyas parliament said monday it will name a new prime minister this week to head the transitional government a move that will likely lead to parallel administrations in the already chaotic nation >two candidates former interior minister fathi bashaga and ministercounsellor khalid albaibas have submitted their bids to replace prime minister abdul hamid dbeibah they appeared in a parliamentary session monday in the eastern city of tobruk to present their plans,r/libyancrisis,Z0FBQUFBQm0yeGJSZW9tZVVUNXRhdDR0bS1yVEdRaTk2b3dGb0RZLVBUd3VPSGNEWW02UjZsZjAtMDJocm9LeGdLd3lpcndKSFBPM1lvTndTSmRpVjlRcTlBakhBVkNXUVE9PQ==
>bashagha and dbeibah both from libyas third city misrata and both candidates for the aborted presidential poll have the support of rival armed groups in the west >armed groups converged on tripoli from misrata on saturday to support dbeibah an afp journalist reported raising fresh fears of armed conflict wonder who is supporting bashagha maybe tobruk and parts of benghazi and parts of misrata who is sirte supporting pretty much sounds like egypt is supporting bashagha also see attached post looks as if maybe towns near tunis are also supporting bashagha or are they simply trying to cover their bets,r/libyancrisis,Z0FBQUFBQm0yeGJSSWxDaU45cVF2cm9rQlRFRFU3NlBPSWtQQTNWZHNrYTVrSDhoWGRSTzIwZUFkSXlPQVlnZVF1aEJISHpDcVA5Q1M1R1R4QndGcjdwR2hhRWRoQ3NGMmc9PQ==
>libya on thursday appointed a former interior minister as prime minister a challenge to interim premier abdulhamid dbeibahs administration,r/libyancrisis,Z0FBQUFBQm0yeGJSWm80UUFzYkpWRTNMaHc1VWlsVjMxYjVUcEh1VW45bjhoT2Z4THg5c3ZZQlpJVFdCV3RJY1V3TXRwUDZjajBScnFLTUdpazgzQVJWcnFkQmt2U3pjLVE9PQ==
almost a set up for bashagha and dbeibah picking sides in the current wars in donbas donetsk and sevastopol very tough unfortunately in a spot like this both will have to rely on very unreliable information from the major private banks in london new york city and paris <url> yahoos info on the major private bankss strategies at this juncture,r/libyancrisis,Z0FBQUFBQm0yeGJSb1FCcEQyczN6aVRobkUwTWc0eTluZHh6WTE1NktDdURCeUlmdUpEQmM5YzNCczJUOUU0WFNwZ3JueFRDTUkzRzk1SXNwMW5nMVJ1R0VTUmZaRlJsTlE9PQ==
russia isnt banned from using cluster munitions as they did not sign the convention on cluster munitions ukraine didnt sign up to it either so cluster bombs arent banned however it might be argued that using cluster bombs is a war crime in contravention of rule <number><url> if an attack was so inaccurate it was incapable of targeting a specific military target ie indiscriminate this was the legal argument used in the martic case<url> the attack with cluster munition on zagreb was judged to be a war crime because it was indiscriminate >in terms of answering the question of whether the cluster munition in a given attack was an indiscriminate weapon one needs to examine the specific cluster munition that was used in that particular attack a practical example of how this has been done can be found in the ictys martic case in this case the court examined the use by serb forces of an unguided projectile m<number> orkan containing a cluster warhead with <number> bomblets with each bomblet containing <number> pellets of mm in diameter the rocket had a maximum firing range of <number> kilometres and was designed to explode and disperse the bomblets at a height of <number><number> metres above the target areas it was calculated that the weapon had been fired on zagreb from its maximum range which gave it a dispersion error of around <number> metres in any direction the expected area of dispersion of the bomblets on the ground was about two hectares and each bomblet had a lethal range of around <number> metres the court concluded that by virtue of the particular weapon being unguided and the fact that being fired at the maximum of its range made it incapable of hitting specific targets and therefore an indiscriminate weapon <url><url> lots of weapons were developed during the cold war designed for battles out in the open field between nato and the warsaw pact but more wars are being fought in cities and urban areas and these weapons are not designed for urban warfare,r/libyancrisis,Z0FBQUFBQm0yeGJScVJFR0lHUV9iN2ppd2hBLWpqajF5aU55dko5VDJQeEVIcjJwUU9USkVwcl83Q05mLU1Xa3BFbzgtVVBJZ19QZkQzTGZMTTM2X3FFNUo4T2ZhUXVLN0E9PQ==
post in rukraineconflict not rlibyancrisis,r/libyancrisis,Z0FBQUFBQm0yeGJSOGliY2cxbXVXcUQyaFFKdVFXWFBTb0J5S3o0WFByd3J5VWFvdjFWRFRZVVdTbk5WRlMzRWxYNU8zM1p6czMtQkhhdW51OFU0OHE2LUZOakVuNFBnSFE9PQ==
wonder who is paying the wages of these follow the money trail,r/libyancrisis,Z0FBQUFBQm0yeGJSWTNuTFVxZEZfRjgwTE5NakJZczh6THJNdks5dk9jRVJzd2twbS1oV0xaUi1sbHh2ZDE0SEE4V1BMYUlrd3U5RDFLb01PS3ZTZmF4RFpVUG05R1BTbVE9PQ==
very predictable once the attacks on ukraine were scaled up this was guaranteed to occur timed exactly with the blockades in aleppo,r/libyancrisis,Z0FBQUFBQm0yeGJSNi0wdUN0N3BBWlI2S0V3MEd0OVhZZFZIcjVtbE9FZXNoRkRhaGs0QWdPU1hDa1Y2bkt3MVpKUTd5RnBGTXYzUmlCem5ydVR1ZVRvN3VoMGJoNVpDRkE9PQ==
kind of interesting especially in terms of the recent shut down of oil and gas exporting by the lna the rf the wagner group the uae and kuwait very consistent with the role of the joe biden and kamala harris factions in the obama administration,r/libyancrisis,Z0FBQUFBQm0yeGJSQ21lNmE4MTR5OGotcG1ua2hQVl9aVWlpcGdjS1hXYTlDenBMT0toNjg3LWp0Y3ZBLTlxbTFGZ05rRkNhTkI3OExxbm04R3RVNHR4aEJ5aHI1N2JBTlE9PQ==
creepy pedophile he owns and loves artwork by biljana djurdjevic <url><url> anyway aside from that stuff podesta and the podesta group were under federal investigation regarding compliance with the foreign agents registration act for their work for a ukrainian group tied to the prorussian former ukrainian president viktor yanukovych beginning in <number> the investigation was closed in september <number> without charges being brought hes worked for egypt bank of america bp sudan saudi arabia the list goes on he will probably be pretty effective for the gnc,r/libyancrisis,Z0FBQUFBQm0yeGJSaHNiYmYxVWEtRUZDTWVuVTNRYm40ekxrV1l1cUZWeHZ6RmtzMDVCaU5wVFh5aFA4ZThuZExQLWd6ZnFMWE5CUkdZUnFtVGRhZ1I1T3h5VEdPUlY0OWJMRkhHWnJ0ZmZJZEUzcWZOMlFqUEE9
much more likely that these are from sudan maybe even ethiopia chad niger mali burkina faso who were told that going to ukraine would facilitate immigration into germany france then the uk more mislead people with a terrible and tragic end,r/libyancrisis,Z0FBQUFBQm0yeGJSdTJLSUhFRldzcDBYbHdTTWpXR1dFUHpndGJ4bWE0MTdFQVh2SG9KMjhiV0gzaWpFLURlWTRnRkFReHFvUzlMdFZiMHVmZjFTMkFWYjFEa2JTU1h5a0E9PQ==
>the russians are trying to involve cadets from libya and participants in hostilities in syria and chechnya in the war against ukraine >according to ukrinform the main intelligence directorate of ukraines defense ministry reported this on telegram >students of the mikhailovskaya artillery military academy st petersburg who are undergoing internships in libya may soon join the occupation army the command of the academy is taking measures to return students to the russian federation and involve them in hostilities against ukraine ukrainian intelligence said,r/libyancrisis,Z0FBQUFBQm0yeGJSREg4WkF5SHJGSDc4OXozcWp1OGhJazdzdzd0Mmx5QXJXZ3dEdjBsSWhJWFRjbTUtMkdwLW1ZSjFqWFV1M1k5MVZ4NjNwdEZRX0dla0xpZ2txU2RjYlE9PQ==
>who are undergoing internships in libya internships like getting coffee and donuts or helping set up mint apps or making copies of publicity materials and washing whiteboards,r/libyancrisis,Z0FBQUFBQm0yeGJSVHRmeXh6Uk9zbEhmaFJtQnp6NFhGN0RlNWJ5TXA4T3VvVU9YcWJxbkZ1MlU2SDd5N29EdDVGa1BIVTVyWUNUTVdqYnpMMG1vaEN3NFVfS000WXZpU1E9PQ==
probably will be a disruptor to the local municipal government does he plan to lay claim to the local municipal revenues,r/libyancrisis,Z0FBQUFBQm0yeGJSNy1yQVBUcFVLaFUxeE5VZkg1QWJMckF2YWRjRk5md1h1TVp4cHlPT19tUEpST3hMdFM1RnBlVzNTbGt0NTBxYzNxNlFYOXVjV2hqOFk4VnAyT2RlbGc9PQ==
if dibaiba is a reliable source for getting municipal safety and public safety in tripoli,r/libyancrisis,Z0FBQUFBQm0yeGJSWW9LM3I2ZV9kc05aZl9Lb21NMXVVTmctNGswT1JiS2Z1RlBDaV9oU19zZG5PcGtSM09BOFN4QjBXelA2QUVRaUZ5U1IzbE9kLUVXYkRoRTQ5SFhLNGc9PQ==
east lna vs west gna starting again,r/libyancrisis,Z0FBQUFBQm0yeGJSb1FWUkxmZG43SVRoQ2JIaklfc2F2eWdscVdoX1ZqRURuRE42OTZOSG5NQ0U2TE5wVkxNQXVXb3k1Ml9jZ3liV011XzZWeFRXSTdJdlVjbjl2MC1LQUE9PQ==
not in the slightest lol the guy who tried to take a seat in tripoli was the fighting face of the gna hes now licking hiftars boots the misratis dont seem interested in stepping in here no matter which way it goes a misrati will be pm and they would rather not fight between themselves bashaga relied on having local tripolizawiyah militias flip and side with him if he entered abruptly with nawasi that didnt happen so he is now sitting in sirte,r/libyancrisis,Z0FBQUFBQm0yeGJSdTM1UGRnUXZxRGRJdjM4N3JjdlFrQ1VaNHFSVHRZTEpNWDRfX000c2k1YkhrS0d4TEhtTzlUbFlYQ2VSZFJBeUVmNWFGdWZTaHlqQlBtelNkYWNzNEE9PQ==
a lot of local narcotics and drug gangs shooting it out for control of local trafficking routes the poor people of tripoli just a little better off than acapulco or cancun those neighborhoods need a little real self policing,r/libyancrisis,Z0FBQUFBQm0yeGJSMEJha0U3RUhRX1l4RVVJenFDQzVIbDZ4QV83X1ptYjFsSlJoc05Od3lEWmpqeFk4TndyX3pEZU1WdS1mSi14T2FWMVN1Y3N3bW01UmJNV0trcnI5aFE9PQ==
<url>,r/libyancrisis,Z0FBQUFBQm0yeGJSc1JiQ3VYTHpkRlFVbmR0R0VyWmNDOHdlWVFLMW1ES2pESS1iZGRkcndmYU5Oei1LV2haUF8yZ0R4WUhPb0Zwcll5ZkNuWTMzUlNtdjFBMjN2U2VxbUE9PQ==
>when the shooting began this month at souk althulatha park near tripolis historic centre families were enjoying the cool sea breeze as a weekend night brought relief from a hot summer day,r/libyancrisis,Z0FBQUFBQm0yeGJSbjdYNElndmd3X1diQmFMUDQ5Q2p4SEMzRmE0MTBVc3o3ZWpJb0YyVWQ2UDQ1RFY0eFFPcGVwN0tMSG1hSEdPTzFtOVFDZkdNUU1kaTZIeGd1eVF3Wmc9PQ==
introduction summary more problems with the courts not just in sirte and tripoli but maybe even in misrata changes to the way the courts are set up and legal process for those courts needed soon,r/libyancrisis,Z0FBQUFBQm0yeGJSSlhrOEkzQ2ZMUmtHSndKcTg5QTFlR3lKRW5RejNfc1FuejdleVR6a3lzOVNCM3lUbXR3VXRBa3RxZDljSGVDYmdESjVDRzFVcEJvZlRSNTlqdVItb2c9PQ==
summary the people in tobruk must have been pretty darn unhappy is this just a problem in tobruk or the entire tobruk municipality as a whole,r/libyancrisis,Z0FBQUFBQm0yeGJSTHZCRzYzZmdfbWtLYkh2eXlZV0h6bzF4N0Q2YnFJWlhRY2NxUUNyTm9kSXJXQ2hiMjRJbWsxZmdHb2psMHRUV0JFMmtqaG1CWjdRNS1xejFuRWF6U3c9PQ==
introduction summary a little more data showing up > security forces protecting the parliament withdrew from the site reuters cited an eyewitness as saying,r/libyancrisis,Z0FBQUFBQm0yeGJSRllwaEQ2M0Y2WWdmUEdLV3FOeHRmWEVoY1lleE03QTd0NVFoSHd6dERmdWx5RTJmQXN6eEpKMnBKZVVwZ3NEMGdBMEtMR3BUNk82RVhpclI1al9PbVE9PQ==
<url>,r/libyancrisis,Z0FBQUFBQm0yeGJSZ1R0bGNVdF9lRThlX3RGeFVSd3ZoZFkyY04wNTBrYXpFUW01WF84TDNaVTYzb1p5dXY4SS03d0s1dWJHdHhGVkIxM1I3YTNDS0IyYUM3RHVRVmNxcnc9PQ==
libya is in a really deep hole and the politicians and warlords keep digging deeper and deeper so sad,r/libyancrisis,Z0FBQUFBQm0yeGJSa25odllNOEFxOUw2eW1mUHBUcU5WaHVCNXpGZEhqbWY3T1NwdjZaWDNWRG5aUjJBYlp6QUF1Q3liekZlSk1MWWo4RkRGdl9ZanFIUThCYUJOYzU5emc9PQ==
