cleaned_text,label,username_encoded
its not enough for a function to just be reentrant eg using thread local static variables because a signal can interrupt the function while its running eg lets assume syslog was implemented with a kib threadlocal buffer for formatting the string and a signal arrived while syslog is executing unless the signal is masked it will interrupt the thread,r/netsec,Z0FBQUFBQm0yeGNHVXZkR0VrVFEwYnRzenpUUjY3OV9RaGhDdl93R0hwZERidkM5ZXBrSlByNzZ4dXNBWVhMOGRrQlNxZVpjLWI3bEVuQ2tCS1FQNmpBT3dXRGVzUGMzS29OcGt6cnlaRzBzeGdXWURkcFdxd0U9
the submission doesnt seem technical enough for this sub but might be a good fit for other places like rhacking,r/netsec,Z0FBQUFBQm0yeGNHSWhubGgzZlc3eUp6Qm84ZFJIQk1scWV1VDZfRmlET19RU0txSzBaSDgya1B0WnFBWTdxbDRFaTBtS0xscG00dGxiMExiMElraURxZy1UYkZsSzZ2bkE9PQ==
the submission doesnt seem technical enough for this sub but might be a good fit for other places like rhacking,r/netsec,Z0FBQUFBQm0yeGNHYXJVaGZLbmh2cy1laDFISFRUcDdJR19Qek9BZDlMWWg5b0pYUnVpaGxpQzF1V3BUUC0yaEtOTXFHM2ViWkJCS0VxeEVUMUlOSTRweEpuZm03TGRTekE9PQ==
hello i know this is really old but i am having trouble running the new wireguard mode i run mitmweb mode wireguard it opens the web interface and i copy and paste the wireguard configuartion to a conf file send it to my phone on the same wifi and add it to my wireguard client i connect and nothing loads not even mitmit i tried overriding the dns to the one spesified and no luck what could i be doing wrong host macbook air <number>inch m <number> <number> f client iphone <number> pro <number> passepartout wireguard client,r/netsec,Z0FBQUFBQm0yeGNHdUh0UE0xdGNEWF9KTUZiWkJfYXZNbkZ0d2ZWTDBPNkFkYjZlY1VvR2ZSbEJEQ25PYWU4UjdOZk83MmgxNlE3MEQzUkEwOFF4cW8xazZ4b1UwQndPeHc9PQ==
if you peer with an org that does this to you and you dont have prefix limits in place you have to wonder whats wrong with you,r/netsec,Z0FBQUFBQm0yeGNHVl93UGNSd3hMZFlGYUIyalJ1NUZqZk1PdVppaWdvdl96eU1mNGdZQkM2eXhqaDF5Mks4aTBndXVCclo1NF9Ga0ZPM0tmbVBYN1BJbEozUDBiYnplQ3c9PQ==
thank you for that insight i appreciate it,r/netsec,Z0FBQUFBQm0yeGNHU1BvYVFqU284OExJdDZKbHQ0SGlXWTN2MXFvTWN5eGh3dlJWR2U1aEdpWkhrSENqYk11VXdQZUpzWEJCR09uUzhUY1J6eXR4RjJPdUt6WDBvak1YNlNpWlZCMHZ6elphcnVWQmgwN2ZLQjQ9
<number> called they want their bugs back,r/netsec,Z0FBQUFBQm0yeGNHd3RvNVZhNElPTHRncWZZeHJJV3dlM3FISGNRWFl4T0I2b0V1M0lYdnQ1V2haWlZpeHYtU0FJNW5jR2RYc3VPZVVSb2NVdzlvemtibnotak1CSVRQMFE9PQ==
u removed a post with <number> karma and <number> days later,r/netsec,Z0FBQUFBQm0yeGNHa2dCNkVvM2ZNWUJRbTNiSGNaNExudE1NMUtRQTJTRVNKeE5lbmdMZnJHZFVoZ29fc3d5SDB0THJoRjh5OXdZRnpFSEhvVXd1VWVOckp1dU5PVmQzRnJLX1lIRFVVX3Q0RmRWMFF4bUZuQk09
this research is so niche and weird i love it,r/netsec,Z0FBQUFBQm0yeGNHamZXakhWc0hkY3ZUR0ItdmZhRmRHLVFxVk40bUxSRHNmZkQ4THZwTVVYVzktUTItaTd2TDVTTUZtYWdBMGVOZ2J3WDFsR3NsMG4xNTd3VnBGeGN0OWpKUW51NkQwTFZicC1la0Z3TWtwTUU9
tldr open source info stealer that looks across a variety of os apps including browsersdatabasesemailschat appswifietc supporting linux and windows,r/netsec,Z0FBQUFBQm0yeGNHdXUtckd3S2t3NnVMMTVWMlN5YnE3UXFwRE4yOHoxRkRyQm9QRkdzaV9ZY0M0dVRKeldzVmtRX3ZjY1ZDNDhhMF9LUmZDY0NSaVZjSG83UGc0RmVzV3c9PQ==
you will need to eventually replace the cert signing before deadline is a stay of execution at best,r/netsec,Z0FBQUFBQm0yeGNHRGhzcW9OSlhLSXhrUjF2RkFXQ3R5MFpRU2NRQnliVnFucVJiUmExYVF3OVN2aXY2RkdGVGE5MTRvTUlwa0Y2QXQzX3FoM2lmV3FXTF9DanNaYndrVHI2N0R3ZE9RanFMNWwyRlN6bWxaY1E9
> in order to bolster adoption of the mechanism proposed above we provide its implementation under bgpipe a bgp reverse proxy and firewall i hadnt imagined a need for a tool like this it makes sense in retrospect since ive seen plenty of tools like this for other protocols but i havent really looked at bgp in at least a decade and i didnt realize that it could be so crazy > how can an adversary even get hundreds or thousands of sessions > the idea is that remote peering providers and vps providers eg vultr enable the adversary to quickly and cheaply click together virtual ports at many think <number>+ different peering lans the adversary obtains transit by picking providers that also establish transit sessions over peering lans hurricane electric being the prime example many bilateral peering sessions via openlyaggressively peering networks that can be identified via eg peeringdb and additional less effective sessions via multilateral peering with route servers surprisingly while it would be hard to assemble enough sessions with just one port at each peering lan yet eventually doable this limitation does not exist in reality while certain providers directly allow clicking multiple ports for a single peering lan there are also multiple providersthis allows the adversary to obtain a x to x factor for its session counts by establishing multiple sessions to each neighbor in fact each port of each neighbor,r/netsec,Z0FBQUFBQm0yeGNHQU0weUVXNy0yNkRTUTFPNGN6bWxSckVPS1lIdHpzd2FvNGNMZEFZZHJPWnVEMWVMa0JsdUhLcHNrNzhUUXJ3eGNudjY5czhBOW1pYmVjcHJUaGExMmc9PQ==
