cleaned_text,label,username_encoded
i work for an environmental consulting company where we have people who do marine biology work as well as gis work depending on what the workload requires in the past i worked as a marine data analyst for a marine spatial planning project where i was using gis to map ecosystembased indicators maybe marine spatial planning could be something to look into what do you mean by the physical side of marine science do you mean physical oceanography or more things like ocean floor mapping in my experience in canada ive seen more biology related positions than physical oceanography,r/oceanography,Z0FBQUFBQm0yeGNEeHpJRU5MZ19UMVl2cldmS1VNLXpnd1M0TXpQbW96VG40VTNaZ0RYWDJjdU50NXl0OEp2dkU1NUk2ajVhMjZfMjdzdXk2Y2QxSzJKUVkyQnNqbEVzQkE9PQ==
down here its definitely the opposite i went back to college to get a degree in gis because of how dead my options for biology were also yeah thats along what i mean ocean floor mapping ocean surface temperature mapping coastal inundation modeling things like those,r/oceanography,Z0FBQUFBQm0yeGNEX0ZOeXJBSzdfdEEwX2dUQzZQb0hSUVZoS0cyRXBKX0Z4UnVCeGxQUThTN0E1YzNUTVVPdDIwU0gzNDRsb2RMbllXSUp5R2dEVUhEejFHeFo2X09ld3c9PQ==
im up for this im finishing my degree on oceanography and can help you,r/oceanography,Z0FBQUFBQm0yeGNEZVFBdjFLcnlXZHlQV1RwNFZrY1lFY2hXVW1SUjBJTEpkQ0JGd0hFVW5PbXhvdUY3WWdqMjc4bHd4Uk9nem5SMURZdld3THZMdXY2R0dCOHhTM2J4dGc9PQ==
wow cool can you dm me and we can organise something,r/oceanography,Z0FBQUFBQm0yeGNEZ3BOdW5lVlNvRU1lWmRiSmJsZjNLamQweVpjNlluQ0tQS0dtMjgwMmltSzFZbDlTSjJEMi1hWlhhMzJWTFJ2aU9JVU1yMWJQN3R5SF9Cd3Q0WW1NYkE9PQ==
yes sure,r/oceanography,Z0FBQUFBQm0yeGNETU9wcFV3Z19fRm9WaDdPUTJvU1JaTGFLUzRpR3JiYzlocW9RaEVlSlA5NjF6ek5yTThQZjA3YmNQUDdRdTAxbTl0T013YWhzekx1b2dCX0pPLWFGMUE9PQ==
lots of companies hire for geoscientist positions that youd be perfect for marine surveying companies in particular,r/oceanography,Z0FBQUFBQm0yeGNENi1aU083ZV9IdDNUSFVEdGNGZkN3WUY3OG1icDRWd2dUMTY2V3ZiOHdnNFBfQktaaWdaNFJieUZDcUNhVFpaWnQtUGRSYV9pVWdZbW5YQ1FWREpyd0E9PQ==
once upon a time i got a paper saying im a master in physical oceanography feel free to message me if you want ill do my best,r/oceanography,Z0FBQUFBQm0yeGNEY3RyWUxtZmpjVkY1X2JKNEk5cW1ndS1MTjJST1hYQUw1eHJnZy1lN3lDbDVoOVQtODh6dWJNQjNqVlg0d0ppcHNFSWFmcjBKN2R4YzJPZHBBR1A5a2c9PQ==
definitely environmental science youll need to learn about chemistry organic chemistry bio and microbio these are all important when studying oceanography so i would recommend going with environmental science as a side note physics is also important so id suggest taking a class at some point if you can good luck with your studies,r/oceanography,Z0FBQUFBQm0yeGNEdEpmX3VvRl9XLTh2U0Y3dzhZcDN0eWYzZmQ2dVRqb3Bpekt6Y3dTd3ZFQWtBTE9JSW92M2RETTJmQ1RNR3BRWlNsM0dLMUhuR2Q5ZUtTeU9mUzBJT3c9PQ==
i am geology st year student with minor in physics and statistics i want to persue remote sensing what programming language should i start learning and skills i would need if you know or dont know please even then do reply,r/oceanography,Z0FBQUFBQm0yeGNEbU5tYmNPSGhwaGoxVW5PbmFqTzFEemtmeXdPd254WjVoM3phMVc1Q0VHa3owaVpEZnY0M1pUa0tob0wxWWNkTGlDZDZwUXRCR3FjM0lYYm1SVDVyVGdlSnVOc3NLY3U2WnFlM2dRZWZ4NGs9
i did something similar got my as in envirosci from the local community college which i found it covered a lot of the prerequisite courses for the major its worth looking at which programs your applying for in the future so you can make sure to take any requisite classes to enter the major,r/oceanography,Z0FBQUFBQm0yeGNEZWx2blJ1aTRfWHZkUTdfZ0FMcjRMT3BTQ0FaVUUzdGEwV3kxX1pvSE5tTmgtUW44Zm8zU1B6RUJha2VCLUpRYmtraF9HQTVqbjVSalhMdnZlVEx2QlE9PQ==
> if it is advanced i might not understand some things i understand that discomfort is well uncomfortable but if you listen to a video and understand everything the first time youre probably not learning very much id encourage you to switch your mindset to get used to challenging yourself whenever youre learning a new topic whether in undergrad grad school or professional life its common to encounter new and unknown things and to need to step away from your bookvideo and look up definitions or new concepts getting comfortable with that process will make you far more effective in the long run the other comment here has already mentioned scripps i would try other oceanographic centres too the uks national oceanography centre also has a podcast series<url> for example,r/oceanography,Z0FBQUFBQm0yeGNESEIwVVVzRHdWTEx6YndMNkthd1BRT0RjVHJ3VmJnOWQtLWtUTDdfMElKRmlucXR0aFY0Nk9rRktiaVhHcHNjV0h4WEJOclhLaV90c1hUdzl0S1VhUXc9PQ==
environmental science sounds closer to what i studied in chemical oceanography for sure,r/oceanography,Z0FBQUFBQm0yeGNEWXhIRWpKSTUzbEs3Ukk4a3IwZUhHalRkMmEybGdXTDlDamw1Uk9hRzBydmlfcTJUSHE5cHZsd1lMeUpuUm15ejZYNVZ3NmdMLUV1MG9RNXRuc2dlUkE9PQ==
very hard to give advice without knowing which country you are in,r/oceanography,Z0FBQUFBQm0yeGNFbldPOFJnUTYxdlJDdnpPZ21fMzRjOFBFcXQ4T2RvZUhWaW9rLWVSdk1veG5KWHptUU5NdjZpOE00cEVZUXNkd1YtOXJrclAyM1E1cW5xVV9BT1V0Y0E9PQ==
sorry usa,r/oceanography,Z0FBQUFBQm0yeGNFMFMtb1RYek5xUF9aZDVSSk9KbTZUX3FYSHhwZjE2WnVqVm12MWt6bUJ0TVNFX0d0cGZKdTN2V1RjajlGWFZzaWNmX241NUktY3dEYjNEdE9sRGdtMEE9PQ==
