cleaned_text,label,username_encoded
according to the article germanys renewables supplied <number> of the countrys electricity in the first half of <number> it isnt a new technology on a large scale anymore so subsidies are going to shift to well help you build it but you have to make it work once it is built footing i can see the subsidies becoming loans in the next few years as the need for new production decreases and the technology becomes cheaper to build install and integrate,r/renewableenergy,Z0FBQUFBQm0yeGNQdTVsckhiLXNYalJpWjFsbXN6N3BYSllyZ3Y0cmRnZ2E5NlphamRfNE9uTWt5bmVxWW1DMFUwVUE5blp4ZHBmVjB4VW9CMm5weGZwR1hNZGVXcWI5M1NUdU9SUVZqT2szQzFlcWpOMTNDdW89
so he should have no issue with me popping a few oil wells at mar a lago,r/renewableenergy,Z0FBQUFBQm0yeGNQVE1MSW1ZMFNyYlJuMkxYYnJsYldJV0RrZUZDMmhEXy1EVXRETkU4a3M2a2RmZWRRMm1JNmJob2ZXT2dtOEc2U05kNFRsdW5ZSEpXSWNjeTQtS1k5YWc9PQ==
ok be careful this is a recommendation document not an actual government statement,r/renewableenergy,Z0FBQUFBQm0yeGNQYUJ2WTNMc1JaR0huM0VDUzZybmpyY09VRUw1MlpRaEttelJraFlZNHRNWVd1N285YXdZbkF2aUd0bEw4YlM0R3dKXzRKdGg0R3RKQzM3YnZmVjBON1E9PQ==
>i got called a liberal they kept asking when did you turn into a liberal youve never been liberal i dunno probably around the time conservative became synonymous with denying scientific fact >why do you want green energy because i dont like climate change what kind of stupid question is that oh right denying scientific fact again excuse me i thought i was speaking to someone who lived in reality,r/renewableenergy,Z0FBQUFBQm0yeGNQX0tSS3YzYjQzQUNtNVBZaHAwNG50clVmR1VWQW92WEppUXJ2Y0Q3ekl6RnFZc0VYVjRrNjE2bXlfQUZLeDJQNnhRSTRtVEJ0MHFlZ2FJQ3ZZM2hlYlhqUHRQbW80a1ZDQURGamRrZ3dTX2c9
the war on solar is a war on free market capitalism its literally that simple,r/renewableenergy,Z0FBQUFBQm0yeGNQZ2JNV0hNZnNkSmFMUVYzNzBsVE1yTHZzNUNIMFVac2pkQ3ZNS0hBSG9IWThkcXJ4LTMxQWNPT2pLRnBTbWMwLU1LSld5bU5oeXgtaU5UbTVCaDNlQ0E9PQ==
coal is the most expensive so its no wonder it is the one thats dropping what will be more interesting is as coal approaches zero share and renewables continue to rise is to see the natural gas usage chart line start to decline and follow coal down to zero,r/renewableenergy,Z0FBQUFBQm0yeGNQb2hTemJ1OUpZQjN6a3ZMZHBXZnloMnQyZ2pqWHRYMHdzSnNkYm83NUV2Qk1KS0NIMzVNZTRxeUV4MmtyZkZBWllSTm1SS1FuM0JnVHJQaGFudDdnc0E9PQ==
i dont want to hear a single thing about dying rural communities they are pushing out anyone who tries to help them economically out of pure ignorance,r/renewableenergy,Z0FBQUFBQm0yeGNQNXNuLWxSM1lIRmdSNjQyMVgzTkRtR1JpMEpaaWhnYXpSaDZhVDk3a0EtQkNJWmpMNXVzeEQxamFIYms4bUpfc0tfUS0xMkF3VzJwZlRPcDRfYzc4d0E9PQ==
the money will support community solar projects that carve out a percentage for lmi households developers will build more community solar installations and the lmi households will get a break on their electric bill as a result and have more money to spend on other purchases and the components of the new installs will have to be made in america,r/renewableenergy,Z0FBQUFBQm0yeGNQNklMYnhGNW16Tm1rV2Y5QW45RGxUZHVsbk9idGtUMXVQenJURDBNaXBPN3lsbUNhM1l5aUtfcC1pYXZEdVB2Z3h1Vk13bUswTFdfNDhvbzZMa2pMWGc9PQ==
plenty of willing stooges to go around,r/renewableenergy,Z0FBQUFBQm0yeGNQRkdXOHRIeHZFaHlYdDQ1Qjl5djM3cU51U050Q01aR1lYRWhFaHlPekZjOFozb2ZaTTVrcVMwdzZNNnAxdFBEcmZCcWo0WDVaejZNcll1SFhoc2xOYWc9PQ==
note to fossil fuel promoters stay away,r/renewableenergy,Z0FBQUFBQm0yeGNQX0RQZXJmaVRlY1FwdkYyaURNU3E5UzZLTFpUcTUtSTFQZ2dXalp2ZXRtczRHdDFqMGlTZTgwdU1Nc1hJTjlOdm1NTHFOMXdGTVBEeFNGT05TZ3ZHTmc9PQ==
as for green energy i have responded to some if you create the power use it here and dont have to import anything after initial installation youre energy independent,r/renewableenergy,Z0FBQUFBQm0yeGNQQUFhYVAxakljMjBfRE93T3FNWGlOb3ZTUlJmaE5ETm0yV2Ytakpaa0tvYkZiSEZNdHZJM2p4eHpVbnoxdFlCTnBWejFobS1tak9XcjM5SUt4MVhSbXc9PQ==
how did it go,r/renewableenergy,Z0FBQUFBQm0yeGNQWVJwVERVeHRfZ00xelU5VXFuc2VMMjUwaTlRWlFvanZENGlIWUx3UXdnR2hnMU5EME1fNzBWYjhzWXMwLU5rS2RBWjBvZXh1ZGdoRm50VDd5UlRibktBU2FKUnVfbFN6WmQ2R2s2Ry1WMmM9
not like this |,r/renewableenergy,Z0FBQUFBQm0yeGNQa3VSSHZzSW5IUHM4OXg1M0ExSzBtVVNjT2U4YUFjWGpQWEktYmJCOG1uMmpheFNnWnUwVVpfMm9ZbXlxZzY0WmtoSTNYTllhMVZIaFhvSXEwSFFDZUE9PQ==
true as someone who invested in tidal stream energy i know the difference all too well by now ,r/renewableenergy,Z0FBQUFBQm0yeGNQVUs1ZzBuRkNWeFZ6eFBlUktrVGtqMFQ1T3VaSjQ3VHBfd2ViZGIxUlJSM1pMdVBaUG5WM2RTNklWc2FtMnZlVDNtOXFnY0M5SkNoUWxWcEVWV3htOVE9PQ==
he might as well should have thrown in some yuges and some people are saying with tears in their eyes for good measure its so obvious,r/renewableenergy,Z0FBQUFBQm0yeGNQYV82V1puMDVIWWI3TW05LU8xaV9kWEdNN0tjSVBQZ3JPdThPM3JKblpoOU9NOHBrcXppOTFoTXFZUEI4V0l3QnRJMUotYUJXRHZmUlFoSnRoam82RlE9PQ==
the antisolar movement has been at least partially funded by an anonymous group with ties to the natural gas industry according to an energy news network report<url> >dave anderson the institutes policy and communications director found a national review ideas summit program guide that characterized the empowerment alliance as a project of karen buchwald wright and her husband tom rastin wright is the board chair of ariel corporation which makes compressors for the natural gas industry its headquarters is in mount vernon the empowerment alliances highest paid contractor for the past four years according to internal revenue service filings has been a group called majority strategies its chief strategist tom whatman emceed the nov <number> event for knox smart development whatman is also the former executive director of the ohio republican party,r/renewableenergy,Z0FBQUFBQm0yeGNQNXV0NjVEekNMUlVWUzMxWDdvV3N2M3V1QVo5d1Bsa3FzUTJudllSRW04cThrZmlKT1lNLXAxN1BhQzhwelFPb3ozSzI5clJzekpHb090VHAxWVJOcHc9PQ==
the switch to renewable energy is inevitable youll either be the first to get it or buying you neighbors power,r/renewableenergy,Z0FBQUFBQm0yeGNQc2hkNGxxU2RFRWhRdVFjc05JSzBQc0x6S1Z4RHcwM3RYVlhFT280NnVmRk1paWs5Rm45Yl9tdjFiOW5ST1hWMy1pcmxSOHB0T2hvQmFQbzlQaGNiQ3c9PQ==
im big on ocean gravity storage but im not even aware of an ocean energy generator pilot thats been a wimmer,r/renewableenergy,Z0FBQUFBQm0yeGNQdHkySW1tR0U3UTA5ZTBtd21jbEtjeW9ld3hqNWNkV0VyZ0hXTDFkdi1qM3hnRWVveXNCQkVabUhiRUlBMFZySm80ZUh1ZTBSTEJYQ0ttNnBoOTVLcVE9PQ==
<number> cap factor nice also survived a typhoon,r/renewableenergy,Z0FBQUFBQm0yeGNQRFB0eWZQanRIWlJsRTEtSEhaT1lwT2x2dS01eTJEMDdYYlJsMEdXNWg5Xy1uSzRfQURXS3k4QzZHRUFzRTdHSnowT1dKZnc5MDdTWnNzYjdYUks4SGc9PQ==
its been happening with wind too half my extended family got sucked into that wind energy kills whales shit and no amount of showing them how its astroturfed or any science will change their mind they think its better for the animals to freaking burn fossil fuels,r/renewableenergy,Z0FBQUFBQm0yeGNQUjlOWEY2VkV3NHFFZXpVMVNkdEpoWXlEVXc5QVBCNlBNRGxTNUVSMUdaU0hDZlJLMUNMbFVFTGhKSWFIbFB4a29QNFBKYWx3NGFtNzJmTHp5MW1DM2VVNXRCOFVUZVRfZW1MTS1laDBYeE09
and war on god too god gives me sun everyday,r/renewableenergy,Z0FBQUFBQm0yeGNQODVCVDVUMGRHdnE1RXlTT3N5cmZKV0JMaXg2NW96RVRwVm5xMm5wYUppU3d4NVBWdHdHbUVac1pOdnc4QkQ4Y0IzbEtSaDlDWW9aTjZkUlhNZVpoOF8xSlV2VW9RVnFoZXVBRDZLMWRIR1U9
public utilities are not doing us any favors because the potential savings are never sold as a benefit too many renewables projects are presented as still needing more infrastructure additional expenses and regulatory hurdles that never translate into savings on a utility bill ive converted my home removing all fossil fuels and adding solar to meet demand so that in the middle of a heatwave im still feeding back to the grid while running ac powering an ev and using the induction stove however our local utility companies are now charging nearly <number> more than five years ago to compensate for their natural gaspowered baseload systems while wind power is coming online in the region as if the rising bills werent enough the pressure to go allelectric adds another layer of financial strain the promise of cost savings with renewable energy is slipping further away making the transition to a more sustainable energy feel like a distant dream many people believe drill baby drill is a good idea in that case the selling is based on the false notion that cheaper gas will result instead it will accelerate the consumption of the easiesttorecover oil leaving us vulnerable to future shortages of cheaper oil with this policy demand continues to rise and the domestic supply steadily becomes more expensive eventually more affordable oil will only be available from foreign suppliers and the dependency cycle will worsen we need to make renewables appeal the same way actual savings more wind and solar energy should mean significant savings we must make that happen,r/renewableenergy,Z0FBQUFBQm0yeGNQZGFZZzdVaFpoZmFYMXpkYmNkX0x1b1NNZXV1N3RGZm5SbmlPZFFNTUp3TG9RWllEMHg2VWNwS3ZiVFNMSExna3JWRk52NjdQa2JDVkplanpkYWlYRmc9PQ==
what,r/renewableenergy,Z0FBQUFBQm0yeGNQXzNNcG5keXhpdjktU0FtaXlDU19wWmNfb2Q5cVdHWWpJQ1d2MVdsU2ZhRTNucjc4ZG9iMnBoNUdjX0VUc2NUSGgycFNoOHV3bmtGanloTXNSUThVMmc9PQ==
<number> is the start of coal plant closure armageddon culminating in the year <number> i think it was gw of capacity closing i will re edit with correct numbers yoy coal production is down <number> percent and the capacity factor for the us fleet is <number> percent,r/renewableenergy,Z0FBQUFBQm0yeGNQV1hUX2VHUURrcEhPU3RRQlFGTWZaazZaTzFUT040QVBxRFRWWmNCemxfbGFiRjBkN25kOVRIMTZTMkJRaHJFU2xxZHRBVzVrSjRlT0k2dWZjOVllMUE9PQ==
expect natural gas to decline as storage grows intermittent renewables replace baseload generation as the cheapest source of power coal is dropping off because even at very high utilization it is not cost competitive with wind or solar which causes the utilization to drop which drives up the cost which causes the demand to drop gas is expensive and is only competitive when it is the only game in town which in an intermittent economy is only when intermittents followers demand hydro and storage collectively cant keep up,r/renewableenergy,Z0FBQUFBQm0yeGNQRDkyUFRsYmhHeEZudVhyY2VXTmRWc25odjlxSEh1VTRDRlNrTzJ2SGlCSkJRS2Y5XzVRTjV1Z2VhdTNWbmwycEF6eTlRQkhnUklFaENCTEZwYjltM0E9PQ==
not much to do with the article just extrapolating here next up solar will beat coal then wind and solar combined will start to beat natural gas occasionally then regularly when solar and wind are beating natural gas that will be the tipping point for me it may take another <number> years but it is coming it will be like that amorphous time about <number> years ago when we realized that we didnt need a house phone anymore eventually houses were being built without the phone lines installed i hope my daughter who is <number> tells her grandchildren stories of going to the gas station like we tell her stories about going to blockbuster,r/renewableenergy,Z0FBQUFBQm0yeGNRU0R1ejhjeHE3eUpqbjkzTkxXVlJ5VDFMV2RCZGxpR3ZRSm9hUkl5Q2VteWtiUm00Z1RBemhhT1FvLV9jQ3ZZMmlKX040SURtRlBQRUUwelZabTFhWE5neVU1LU5hQUtmSkVNOWZkdW1HN2M9
soo solar and wind,r/renewableenergy,Z0FBQUFBQm0yeGNRdEtEQ04xSVM0dUtCOHViYTlRanA0SUFqZlBKaUZEbVJuMDRXbVBFUFNfUlY3VlNQTm5pVHpib2tzcy1ONXEtQ2xHQ2RpdEw1Z0IyUnFEU3ZUXzBYT3c9PQ==
>the projects will spur investments of more than <number> billion euros in their lifespan according to the ministerthe subsidies will support projects that produce green hydrogen close to its consumers ribera said they include projects in five socalled hydrogen valleys in spain which are large industrial hubs that integrate green hydrogen production and its use such as in producing fertilizers or powering refineries very nice spain can capitalize on is high solar insolation develop its industry and build itself into a renewable powerhouse i imagine it will merge well with sustainable farming practices as well reducing stress on crops under the panels,r/renewableenergy,Z0FBQUFBQm0yeGNRT2QydUZGTGxPNHNPYTZPYlNlb0Fub3IwTU96TkJXRjE2WHNFbzBhN3NkbFRWSFJiSEJQUVdzb2I0VFk0UkhrMVZ1QnZjVnkxaXJsNElYV0lnTy1pNFE9PQ==
well thats a drop in the bucket,r/renewableenergy,Z0FBQUFBQm0yeGNRa1FMVC1BNWxCSzlwMWpqaV80NU1YdXQzNzdjYWZ1ZENZVFNEbUEzRjZVNFotWXoxWjBrdDE4aVV4bEpBVWtCMjBsS0pTY0NQMG5MZFlwVHRzZC1kLVE9PQ==
good news is that coal is already in a relatively steep decline based on this forecast natural gas may have already started declining from <number> <url> recently in california the solar battery combo appears to have reduced the evening peak natural gas generation significantly im really looking forward to seeing what happens the next few years it does seem promising though,r/renewableenergy,Z0FBQUFBQm0yeGNRWEhnUGh5WENSV0pyeWxuel9ERnVXZl9zeG1TaExRbzFWX09VcFhzNm1rdkJ3bUFqTW1kOHg4VGdNSE5ad1JUU0I2V1BYdzVQR005aUdvV0JLTENMMVE9PQ==
is <cur><number> better,r/renewableenergy,Z0FBQUFBQm0yeGNReVpZVnhzdE5FMG1aaS04c2JNVzFoTEtiYmFJdjhQLUdDU0ZCb0dVaF9oVW16dU1mcVcweGtKdFFyOEFXeFNlVkE1YlpoZ2NHMEJ5RzdNUlhSSU92OXc9PQ==
subsidies are the only way these projects are viable <url>,r/renewableenergy,Z0FBQUFBQm0yeGNRTFNxUE1wN2FLTUk3OXptcGtlS1Z6dHdaM05qVktxRzdNQkM4N1p3U1ZIcFZUWlN1SGRYUk9CbDJSbEtIVkdQN0ZGVkJSd2s4OUptOEo3NHhrMVY5REE9PQ==
domestic battery what a terrible title,r/renewableenergy,Z0FBQUFBQm0yeGNROWpfX0M5NHd2WGQtMzNjMHh0N3lEZHR0MnhnQVJZSUJHQnZ0RmxjcC1lZmF6VUh1T3pNeXhsYm55TzRTMmRtZUloVzc5VXVkQ3F6UExIMVZHTW5JRVE9PQ==
>researchers in spain have investigated the potential of using photovoltaic pv or photovoltaicthermal pvt systems in microbreweries and have found that pvt systems can cover more energy demand but have a longer payback time a pv system has an efficiency around <number> for turning light into electricity a solar thermal system is <number><number> efficient at turning light into heat the solar thermal system can be knocked together out of standard plumbing parts glass panes and black paint the pv system has to originate in an incredibly sophisticated factory it is strange to contemplate that the product of the incredibly sophisticated supply chain that leads to pv modules is so much cheaper to connect that it has a faster payback time compared to highly engineered custom plumbing perhaps in the near future the skillset for this specialized plumbing will be widespread and the implementation will be cheaper or perhaps heat pump water heaters will be so efficient that it will outcompete solar thermal at this scale i do think solar thermal has a bright future pun intended in moderate temprature industrial process heat for things like processing food,r/renewableenergy,Z0FBQUFBQm0yeGNRWDRQMFZVMUNIa2F0SUFoUE1zc1h5NzV0SXpOcE9UbmJZOS1maVo4cXVvMFBwcldSVVJVd3cxUl85Q040T05GSktWU0dqUkkwVWc5UTNYVWRJeXg3R2c9PQ==
good news tempering it is that these were windy months with low overall demand i would expect coal to go back ahead in july but you have to start somewhere,r/renewableenergy,Z0FBQUFBQm0yeGNROFYzUXZBeTVaT2o4T2s4bElKb3JnQWxLcS03bWxSZGJURlQwMjM3SjdkeVh0QUd4UWxucU1QazY0c1IzNUQ0SHJmQTNON01GeDQxMC1Va2xBMTlzU3c9PQ==
following,r/renewableenergy,Z0FBQUFBQm0yeGNRVkttOVAzck14VGtrNGdZbUtzVk9Ga3k1TnZTb2JWMGNyLU5ZSm05dEFpVVhKN0VFUDMzeTVpYUlCbUpQTDNSVUdqU3Q3aUMzcmk0T0ZRX244alRULWc9PQ==
i love how they are pushing incumbent power producers,r/renewableenergy,Z0FBQUFBQm0yeGNRS1hsVDhXSlo3LXVraDdsanJpbmstbDVZazVkTTVTQ0lLYWJDVU12UE5ncFlwdVYwQzEyd1BkbnY0LVBaMUsyVHBBLTEwYmVqaElNVDNnZlNqYm9ZbGc9PQ==
x doubt edit downvoting me for not trusting a megacorporations claim theyve gone <number> renewable thats some bootlicking edit theyve been caught lying about this before <url> <url>,r/renewableenergy,Z0FBQUFBQm0yeGNRNTN3T2Q5NFJLMkMteVoxM25vaGE1T1loZDhMTTBHQUdHRG1jUk5kcGQ0bnBuSm95V3NKeUN0Mm1JTXFUUlc1MDVoakpEejlSQ1UzUWszUzRBYkdxNFJLUkhQeG9UYUpwUDhKSmtka3hIRDQ9
uh huh really all of their data centres running entirely off renewables edit ok i read the statement apparently this is what they are claiming i guess if true then thats good,r/renewableenergy,Z0FBQUFBQm0yeGNRWkJVZEwwRTJCUl9jMUlPYUpVbnNHM2sxQXFBb1U2eVp2LXRiS1lJRzdud1R3TURxd0tDVEk3X3hYWEZ0WXpFQWNpZWRCV2xVei1kYXdmdTRkMHBZeVE9PQ==
apparently this is what they are claiming facts hit a little hard did they in case youre still stunned lets draw the line for you if amazon can do this then the whole planet can fossil fuels and nuclear are fuuuuucked,r/renewableenergy,Z0FBQUFBQm0yeGNXejVfZnN6RzlNRW5qRlFiR3dFR0lCUGpONUlXcEJPTjZRbFpSRWdHWkhWVktCbXlDODFVR1V3dTdENGlIY2VXQjNmeGZ3dWE2YlZoMVYycjlBYkVwZ3c9PQ==
uh no i have no issues with renewables i do have an issue with net zero statements from large companies which greenwash amazons data centres use a lot of power if it is <number> renewable then great often the claims are not well matched by reality,r/renewableenergy,Z0FBQUFBQm0yeGNXY0RlMmp2OUh1dmJjOWY2V05wWHNTcW5ScXA5czZtekJXQUZzMU1aZXVkd01Mb0ZUN0MwSmZlTGYzUGRWWWhHWjRGZ0MxUHVFNU92NVRRaEdyUTNlWVE9PQ==
good for them and all of this backed by empty shell companies where investors and lenders just need to take their word for it,r/renewableenergy,Z0FBQUFBQm0yeGNXeFcybTNCOThQWGN0T0ZRMjdrUlA4U3c4TnJYRVpkMnQwTUFjU09MaEJka1FHZmpRRmFCV3NnLVBkYVNva2pFaEgwRHV5QVdWSmVMQm12anJ1czUzN0E9PQ==
so your first link accuses aws of claiming to own and operate a spanish solar facility because they list it on their worldwide projects page but in fact amazon says the projects they list and count in their renewable energy report are a mix of ones they directly operate and ones they have longterm power purchase agreements with ppas are often vital for making renewable energy projects financially viable i fail to see any greenwashing there other than an intentional attempt to paint amazons claim as stronger than what they actually made,r/renewableenergy,Z0FBQUFBQm0yeGNXUU9DY2Z5WDd6TXJlS01nYUNVYUdTQXpVOU9MQVFUM2R3anAzY3RNZlB2QW9DSWkydmg3LWpSMXY2YnQwUzRfb09LNy1KRklENG43MjFGWWlOb3JjMmc9PQ==
theyre using clever language to make it seem like theyre running entirely on renewables all the time theyre just using virtual power purchasing agreements vppas in order for a solarwind plant to get financing they need a guaranteed rate from an offtaker in this case amazon how it works amazon will agree to pay the solar plant <number> cents per kwh for example for every kwh that the solar plant produces the solar plant then produces energy when the sun is up and sends it to the grid there are no wires directly attached to amazons offices or data centers amazon pulls electricity from the grid just as it would have without the financial agreement with the solar plant if the solar plant produces <number> kwh in a year and amazon uses <number> kwh in a year then amazon claims that all of their energy needs came from renewable sources even though they just pulled from the grid even though this is greenwashing vppas do provide stable financing for solarwind projects that might not have gotten built had they had to rely on selling their power into wholesale markets and competing with other solarwind projects when its sunnywindy out ,r/renewableenergy,Z0FBQUFBQm0yeGNXbWQzdWVLTnU1T2VFQlBvQ2tsdnpsSzdrTkw4WXFRNktnTnpXX1FiLWxmS1liNS1ySEJNR0VqNWRGZ1dFT0lRUDI4eU9zQkJSUk1xaUFkN2lRVnNOdzhHd09ybzBFVGhUYkxCR0RHQmlwNU09
i realize its fashionable to shit on amazon but in their report amazon explicitly says they use a combination of onsite renewables direct investment in renewable projects and ppas to contribute to their goal its not exactly greenwashing when they tell you what theyre going to do then do that thing they said they would do its reasonable to question whether ppas are effective but renewable energy developers have attested to ppas being vital to securing financing and making their projects viable big tech and other companies have different core competencies than power generation companies it seems entirely sensible to achieve renewable goals by financially securing projects rather than developing them outside of ones core business competency,r/renewableenergy,Z0FBQUFBQm0yeGNXVGNsRldaNzBGUnBrdDZ6OW15Z1NSTlB2dG94YU02eFZRRXpaR3dhN3FwbTZFNk1aSVJnNjlrX2dqcFdveTJ1dFFlbUt1OWx4bU9idFJxUXFfV3N2aGc9PQ==
thats the same way green certificates work it is a way to purchase green energy renewable as per their output scheme are not fitting to always <number> cover electricity of a data center for this you would need base load energy while renewables fluctuate,r/renewableenergy,Z0FBQUFBQm0yeGNXTFhxd3o1S0JlcWhMZXFZNURhTnFETmMyVUVOM0xiSVA1N0pueU9fYTRDX0hDOHZfZzd3Ul82cmhIdTVCM2l1M0hzYnlUeVFGaDlwcHRfelZIcE4yc3hZZ1hmaVVyOFRZbEJqYjdZeUxIYWs9
bored on board boarded,r/renewableenergy,Z0FBQUFBQm0yeGNXbWJTejBwWjF1Q0JWYklUV2UzN2VDZG4zbF9YYl9YR05kSnR5Z1JPdlZzZnQwRVVtT1hSRF9UMW8yZ0JvVWhsYjl1TW5tdC1TaG83emFWb3paN3k3NkE9PQ==
its a nice step we can poke holes in the claim or take issue with other aspects of their business but regardless this is genuinely a good step in the right direction interesting to think other major tech firms to be blaming ai for their missed goals most people do not actually want ai tech firms are creating it with the hope of selling it to us,r/renewableenergy,Z0FBQUFBQm0yeGNXWXRjTmsyQ2Q4NTJTeUNxaXZNM04xZnBhUFRyODI0V2RsM1JmLXc0UjJ5LUdkemxDUWRRbFBVcU9tbXZNeS12X0pYdVVOeDZ1SGxNakVCQWdmMWdNYUE9PQ==
cosign all of this very well stated,r/renewableenergy,Z0FBQUFBQm0yeGNXZlE2OWkyTTJfUHdUM0hneU9tUEY1clJ0WVpVMXVSbS1TSEhRUWpmajNjNkQ2N1NOWjJmR0xDaWRobXlVMmE0QVljdXJrakVjTGRabDdlUFlpZFd4Unc9PQ==
from about amazoncom no less,r/renewableenergy,Z0FBQUFBQm0yeGNXZDg2dTlCeXA2ZkJXa0NHUjdfc2tBWHJvUXBGUElVTjhSVGJvV3dFMDMzMTVLdHhZaXU3a3VCb3ZOa3FvV0ZORV9adFZIMTAwaW1GNUs5Qm1Ib0o4ZXlGOUZBdVpZV0hkZm5UclBfOG53M2s9
i dont believe them at all,r/renewableenergy,Z0FBQUFBQm0yeGNXbER5VlRjSDU1S1FlaDZYdTNwcGlIX0NhTDFGeUJFQUpTSVU0c2MyVEpNRWZDMUVueWphUHhZZ1FNYVNodUxUMWlzUEtYZmwxb0hYemd2SnJMV09NbVE9PQ==
i agree if combined with everything else youve said a ppa is the worst that amazon is doing here then i think theyre doing a really impressive job rare amazon w,r/renewableenergy,Z0FBQUFBQm0yeGNXSFFvb1VrM0U5Zy1jSE93UllDV2dUSU0tR0lOMnAzYlc5SGgzQjY0aFpMWGlqSnFKanFZdTFPRG8yRTVIcmNPTHV0Y0x1LUdhMVcweFJNMGUwSVZWRWc9PQ==
youd prefer i posted one of the dozen news articles that basically excerpted the amazon pr with no additional context and absent links to the full report,r/renewableenergy,Z0FBQUFBQm0yeGNXWDhrZHhKT3ZVeG51eE5jOVROM2REYW1GejYwNlh4QWdwbktVRU9OeDQ2UVFwQTU2R2NnZ2hRM2NMVW5CNWpCWWpRcXpyaDJHc2w4RXlyOXJaYkd6bHc9PQ==
wrong sub buddy,r/renewableenergy,Z0FBQUFBQm0yeGNXUWNCRUxnQTNPclBqRnY5Y2hzTmM0ckM2ekFRLXoyTUtMd284UjBRZDRiVFVQanpBNS1RNjk4YUlGUW5wUHI0RXFfNTcyM1luVmZlOU91WnR3NDdUWDBnZHlZb0Rsa1dyd0VOQVgxdy1aWjg9
calling that greenwashing is just stupid if you pay them to produce that much energy and they produce that much energy what difference does it make if it technically goes to you or to someone else this is how all green energy plans work,r/renewableenergy,Z0FBQUFBQm0yeGNXWXlXMi1QTkZlLU4xd0pSWGZ6RGZCVzZPMkVOLUM1NV9OLXZyWmFGbXQ5V1dhV3B4ck5hZXBnajJjZ2pOblBfVlVTc0hhUmZXZjRVbnFtQmk0QlNnN2c9PQ==
hmm anyone calling virtual ppa greenwashing doesnt understand the vital role it plays in renewable energy industry and decarbonization without vppas more than half of solar and wind projects we see coming online in record nowdays wouldnt have seen the light can we do better by matching transmission location and time of consumption to power generation yes is it really feasible for most organizations to cover their demand no,r/renewableenergy,Z0FBQUFBQm0yeGNXY2kyV3RQcXlXMHAyWWpKb040MWJySDFHaDJJNGdlX3NmRWtCVHpPdnV0WGI3TVJxdm9Sa2VtSi12Q2czX05xYnpVdXpRWmJxZ0l6bkVfZ2xZUTJQVGg5OHBKSkVRZ2ZtQnRJRVdZNEdWWUk9
nvm just saw your other comments,r/renewableenergy,Z0FBQUFBQm0yeGNXYlRrdTlyalhYckVDZWtJZkRTdEcwYlhKUGEzUTRFckQtSHd0a21TSlFPMXBybUhPMVJpREdaSVhTV04tNzZSMVVuaXdycThzSmZ2VzNRbVpIQ0Vrb2NlZUNSRm1aaFVIeFU5MVM5Wm1iUFk9
bullspit netzero is a sham,r/renewableenergy,Z0FBQUFBQm0yeGNXeUZwb2d4dmxla3BDTWpJbmJsS3RhWGJhNkZSX2pDNXJvUkw1UmVDY19nZzFnQ3JJSVVzSTIzY0ZHaDNWMm8xYnQxN3BCTjdmZlZNLTdIUGtzRlZOdWc9PQ==
why is this posted here if it was an article mentioning renewable energy in relation to the oil price changing then it would make sense this has nothing to do with renewable energy,r/renewableenergy,Z0FBQUFBQm0yeGNXdEd5UjhlTmVTeUN6V1k4WmQ3N0tyZXBtcWxNd3ZlbHZvcmphWXgwR3FlRGNpTUNGRUdlb3BVU05UVTFNTTVaN2w1a1VOekNYY0xIZjNaVUNUU2Vka0E9PQ==
