cleaned_text,label,username_encoded
sbu knows exactly who carried out this appalling and heinous act of cruelty,r/russiawarinukraine,Z0FBQUFBQm0yeGNRNmY4SEM0WkxkcHRnb2tXYXpMc01MYUZBWTRqUWlaQ2I5OWYzN3M4NjhQeUhDZ2ZLTS1ja3Vwb194dHRiWktHRGE0V0lyUWNhSG5pYlI3WjdNeUF2X1Z2REliYjhNVFg0dzZIZVhvdVJ0TmM9
why does ukraine need to wait for a childrens hospital to get hit russia has been murdering civilians for a long time now its justified,r/russiawarinukraine,Z0FBQUFBQm0yeGNROGdDaE9WQlBBUUlEMU9JaHZpUW9VMEw3cEIyVTJxR2hYM1l4cklSZ3FmUEdfbXZPLW5WX2NwdUVvR3hmWS1jVXpVcXFKdnFlQVpkVTZURTZMMFJNRUE9PQ==
normally we would question the experts but theyve already been executed,r/russiawarinukraine,Z0FBQUFBQm0yeGNRMzU1b09YT1ViS0pyRWZoWXpocHhWQVV2ZkhBN1hMV3BoVUZmSVV6TVB4YXkyM3FWV0hXWEp6X08ydTFkVjhXN3pPVW5FSmhkWE9YUGVhUUFLbGh2N0E9PQ==
its a free for all in russia wait til those koreans start shooting russians for food and mass escapes,r/russiawarinukraine,Z0FBQUFBQm0yeGNRSDdwYVYyczRndjRId29YRjJvb0c3VTd0UFZrUlNfNVJJMU1ZTkVxemp6UUdZS0dpblFBdlRvRHVOVjlDQW9iWTNnRDlUVE5nMnc0VXY1d0FqTUlrWUZTa28tMmo1TUZPc2lEcGV4cnc1Zzg9
if russia is eventually successful in ukraine poland would be the next logical step for russia to establish its former empire,r/russiawarinukraine,Z0FBQUFBQm0yeGNRYmZYMG1PTWVHN2d0NERVMnhjQ3FZcWIxSk5DZ0Y2MzVNNkI3dFZXZWJzNW1SVmI3cVN0NXRfdkFHYzRrQjE5NHVvTXNyek02QXJQX3Mycnl2c0podnV1X3AtaWxVdmtRQTBWdEY2Y2Nla2M9
we lost in vietnam when politicians not soldiers developed tactics,r/russiawarinukraine,Z0FBQUFBQm0yeGNROUd5RUxFdWlxVWs4NC00QkNWTk5KV1JFbGk2dVFTdHo4NDllcDYxVzlXWDkyM0wyMUhCX0RGSGQxbnJ1UmJ3eWIyVEtHbkVtZFVBM1dSYmgwX0NNNVMyRVM4ZENBVEw4eWQ3VmFrdlJVMFE9
lol the us didnt even need to intervene for iran to lose ships,r/russiawarinukraine,Z0FBQUFBQm0yeGNReERPMXhENjItdS1IdERZOUZGdHk2Tkd1djU4S3pWbFNqUU0telFUbGdKNWVONEhLZk1faG8ydXh0Tk42dTFza3B3WVVGZE5nVGw0TzdsaUNIRnIxNGc9PQ==
from the article analysts have suggested that the iris sahand frigate became a victim of a critical error of iranian engineers who overdid with its reinforcement it is known that iris sahand was designed as an imitation of the british vosper mark v project the iranians decided to increase its water substitution and armament nomenclature without changing the length and width of the ships body,r/russiawarinukraine,Z0FBQUFBQm0yeGNRZjlwWWNmOFZ3di1FQTZVWmZVWmdMWUY0UzNyaFA1dXp3RGdSbEtDLXlqRm96RXJvYmJuZ3M2NlFlQ3p5dkN6MWtaR0EyQ1BXYmpLZU1qYTFxZzR3X0E9PQ==
how do you catch a thief in a kleptocracy if all the crooks in russia were killed whod be left,r/russiawarinukraine,Z0FBQUFBQm0yeGNRLTJxaXl3bGlsdW9tSHotaWFTSVBrZFN4NThhSXVwQjRhd2NJeDdaMnFvRmtFNFRsZkpNU2NhTDB6b1RHLTF3UU1jc0dDZ09vOS1JM0NsUDV4WWh1dmNmbFNYcVhDc0g3cF9TaGJtTVY3QTQ9
we brits learnt all about this phenomenon the hard way in the th century when the mary rose sunk for having too many heavy guns up top its a shame none of the iranians thought of consulting wikipedia,r/russiawarinukraine,Z0FBQUFBQm0yeGNRWVdDcHhqUXJDcGUwcHRnUUxFc1hnbHFtTmRTRUFlZzloUjh2bE00LTh1NWlYS0lNSFROTXBLRVBGM1ZuaHg4eDhJUjBKbzR1dHhoX1NzbUI0UVVHUEFzeENJSlVwc0lwbzZ5d2Y1aGZxN0k9
