cleaned_text,label,username_encoded
sounds like theyre fighting fire with fire al shabaab regularly beheads people >alshabab has increasingly burned houses destroyed wells and beheaded civilians in the hiran region residents say that combined with its demands for taxes amidst the worst drought in <number> years has pushed more residents to take up arms >alshabab is not strong it just burns people beheads people and put their heads in the streets just to terrorize said ahmed abdulle a hiran elder >now we are doing the same we have ordered the beheading of alshabab fighters he told reuters reap what you sow,r/somaliconflict,Z0FBQUFBQm0yeGJSNmlLbUlrTkR4R3RJOHl3dzlEVkxFS0VuWXVIVmEzMFNwclIxelIyLURydUQ3M2FGV0swZlVhajc1QTNFOEJhUS1RYi1ZM2p5XzAxWTRZd1E2Zy05amc9PQ==
covering violence is the laziest form of journalism,r/somaliconflict,Z0FBQUFBQm0yeGJSSDJTLUJIb21CUFVsUWtDcTR0VHFFZmEweENRR2w1dHdvYXZKTHNUc2hUUDZZWm1TOG5OM3QtejlaUVRkLUQ2N0xlNTYyYllKdTU4b1RCT1BsMDl3Nnc9PQ==
what do you mean those on the front lines put themselves at tremendous risk in order to provide news coverage according to data collated by the national union of somali journalists nusoj <number> journalists have been murdered over the past decade,r/somaliconflict,Z0FBQUFBQm0yeGJSSnlYaldpRE9vNXVTN21BYjV4ODBIQ0JKLWFna0lmbHZlMVl3d3VPYmxzZi01ZDR2UlFZNU1yY2lNYmxyZWozM3VYRnVEMWF3eTJvekdDV1RjMld0ZGc9PQ==
now find those bomb makers and make bombing making a death sentence,r/somaliconflict,Z0FBQUFBQm0yeGJSNzJTWlRCZm5QelFBd3VJc3V5NkJObVVBa2UzZ01pLTNQeUJzamVfd3hteTc0X05vVG5Fd1p0UzBsRTZrTHdUT2ptby12cEtFSElmVDBMaEFuZV9YLUE9PQ==
its a fob forward operating base idk if soldier was asleep but an ak is effective at <number> yards meaning soldier was either asleep fucking about or not trained enough its a death sentence to be kenyan in lower shabell regardless of the mission,r/somaliconflict,Z0FBQUFBQm0yeGJScUwxMEVSU1IxdENIMzZfVzlwTWJCbWhfdEtsaWNYaXFtelBCaHpWQTVsaE0wY1c5QmM3LUxjOXlTeTVEUk9yU1oxVmJrTXNVaWZ3Y05mQ2ZvWHJMY0E9PQ==
good job,r/somaliconflict,Z0FBQUFBQm0yeGJScmI4T2loeUZZdVlERXV0LV9vVWRrWkFJVmxPS1ozaGwwNnowOUdLLXl1djk5Q1dmM05BMXd5TVh3a18zRjVCczVOWEgzamR4TzBiRmVzUDZlbmp6M2c9PQ==
mohamed ibrahim moalimu a member of the federal parliament elected from the region told voa by phone that the attack wednesday shows that the enemy meaning alshabab militants has given up and is reduced to carrying out only bomb attacks he said alshababs main purpose of the attacks is to undermine the progress that has been made in the ongoing liberation and recent victories he called on the public to continue working with the army until alshabab is defeated,r/somaliconflict,Z0FBQUFBQm0yeGJSLVFLV2lSWGJRUDI1alJhY25Ga2pvdmhwZ04xSE9jNndVa2RELUJLUExCYjVQX3hPT1dvelYwV1RoNE1uVUpJZmltekRhOUd6aVM0dDVmY0V4clExM1E9PQ==
usa ,r/somaliconflict,Z0FBQUFBQm0yeGJSNzVpU2gxTzFXUVQ0VWVvU1V1VHNidGhSN3djX1JEZVg2RzZGYkMwbnNqM2hGalF0OUkyS0JBSUZXUU5hTGpGcjhnakIzbl9JRGJoYTZQQk1HREVSeWc9PQ==
muqdisho,r/somaliconflict,Z0FBQUFBQm0yeGJSLWRzeWJ0SnJfVFpFNmlQMGVjRGNRRTVzNEhMV21LSGFoVTRoYmp5dHZra1VHSHhPbXVscmdVaHpSVlYyTmI4RWF3RHR0SWl6VGRKS05oV1UxLUlYUGc9PQ==
bulobarbe and jalalaqsi,r/somaliconflict,Z0FBQUFBQm0yeGJSZnUzOUVpR0NEQnFFS2pZVGYzaUp5a1I0elZGbjdSXzREaVVpbm9rV1hOU05Lak1kaS1jUms1NTBjaWlqOS1WNmJzb1pyUHlLeGxmX1hKZW1ObEtPbnc9PQ==
what about separatist state i already have one you have one what about nd separatist state,r/somaliconflict,Z0FBQUFBQm0yeGJSNHVtNWZnQkp3Zl93dnV2cHpfRldEMnVuR1Bjd0hPOEV0OThZYWF4SmozY1RyWlVZWTNZTVJLZDlHZzZKM09ObUI5c2htTXI0UDFVeWZfT2VtLXV2X3VtbGZXeUJ3X3djMmdUSTd2b0h1a289
if only they were howitzers mortars and other heavy weapons that could be force multipliers right now besides the few armored mraps we have we are basically on a level playing field,r/somaliconflict,Z0FBQUFBQm0yeGJSRG1DZDlqOXhDT25lSmU5akxBUGF6bDk3RlNNZlFfTlBJSlNIUXFJMmpsNkhFMTNXVTZlNmp0enhETmoyczF3YWhiOC0yNlVLLWNaZnRCYVQwUlEycWc9PQ==
<url> conflicting reports,r/somaliconflict,Z0FBQUFBQm0yeGJSa2lZaGc2YVBkWTV3RXNTMEo0RVR2Z2VUeDFTUzMzSEVkdjI0bVlLNEg3X0FPT0dfRzlkb25Bd0xqVjZVeUFVdzhfSWphRnlPbUxfS1QybnJVUHI4NkE9PQ==
