cleaned_text,label,username_encoded
its almost as if more sunnis were killed because you are the majority of the syrian population and the driving force among the armed opposition who woulda thunk,r/syriancivilwar,Z0FBQUFBQm0yeGNXcW1wekNmYXJ1Sm1PTkxpZi1EX0JFR3h3ZmFnelhHMkhBU29HQ0pwaHZud2V3U2RMTzdyVFc4RWtKQkF2X053V2w1XzJOVXVkcUN5UlBxTzJ5blpPV0E9PQ==
when an alawite opposition arises rifaat al assad he is given all the money in the world when its a druzechristian opposition no one gets attacked they might get threatened and thats it when there is a sunni opposition the whole area suspected would be collectively punished if you are from ghouta youll be killed on checkpoints just because it says sunni from ghouta even if you dont like the opposition the future is with the sunnis in a decade im <number> sure russia will one day try to strike a deal with us our internal problems are the only thing thatll persist,r/syriancivilwar,Z0FBQUFBQm0yeGNXYlBRckM2NGJ2SlVaM1NNZE9uSzU5TENvam1uNFltYXJzQ3ZsWm00U2lRRXNKdDhUUHpxNHdEYmZGQlYxaGdfTE9QWkEzNlN3d1I1eTVUUlVfbWpaRnpENVF1WFRkTUktandjNXNvdWlmQlk9
<url> on christmas day michel butros aljisri one of the last christians in the syrian city of idlib didnt attend services because the islamist rebels who control the area had long since locked up the church and when youre a christian youre treated like crap by sectarians aka your fellow sunnis the future is with the sunnis if that was the case you fundamentalists would have won but look around you didnt lol a lot of bravado for someone whose side lost the war,r/syriancivilwar,Z0FBQUFBQm0yeGNXUjJRTEhIR2YtMllINTVSTEdSaFZ6eEpUTFVrc0NWQkQydUdfbW5FS0ZJZUNIM0NMaDB0a1Y4S09nUzlmams5dWZXcTFuRV9hbjdhYXV1ZERaNC1aNGc9PQ==
>if that was the case you fundamentalists would have won but look around you didnt lol the taliban i dont support it supposedly lost back in the day we dont lose our win just gets postponed,r/syriancivilwar,Z0FBQUFBQm0yeGNXV05NTW9Bamh0NjhFS1dIYi1ybEpRME41VGZVeEZCcHVPajFlQU8tYWJza2xaQURBQVgwb0dUNC16eEJBRzBNZ1pfdFRYOEFia3ZHajlyUmhCMFF0UlZmVXE4cWl6ZXdDYWlhdndaMk10c1E9
thats what they told themselves in hama in <number> im sure lmao and youre still whining about no one cares about us sunnis,r/syriancivilwar,Z0FBQUFBQm0yeGNXcF95NC1JU2FSdVR1QVlmYmp1VG5sVFl0YXg2RkxJaE5qY2x6U0VfekFEczNhZHNlQnk4N1VIVkRDaGl0SkxlenBXTmI2Z1NOUnAyQ244U1ZQREJIbFE9PQ==
see this is what i would like to see more coming from that area rebuilding and hope,r/syriancivilwar,Z0FBQUFBQm0yeGNXdWk1UG9zaWh1UmR5ZVhXZUptU2xtMWJoR0RoQnNQUEZDMnRXWG9scWVxbDZTdHRUdl8xRV9yemQ0SlJWdGd0ektWV1I1YlA2bVNQOW5uZ3ZmTEtkdVE9PQ==
during the <number>s syrians were secularised even during <number> when the only reason any islamism existed was assad attacking protesters my family is conservative and even with that we intermarried with alawites the rebels at one point were products of that generation they were what tge west and europe should consider good yet that helped them with nothing now its different the syrian gen z and whoever will come after them will remind you of the days the soviet union crumbled and found itself losing against chechens you were forced to negotiate with chechens as for suffering i believe it benefited us undoing the secularisation we had i dont view it as a loss but when someone asks i point it out,r/syriancivilwar,Z0FBQUFBQm0yeGNXQ0lQdGp4Sld5dXFDei1iMEU3Y1ZYalJ5VUpTM1hUNzFFVFpfNHhrYlFPbldlWEY2QkNFaEhraXIzTjdJU1g3MjlnRHZXaXRmYXBPTUNsUWZhTnI1emFjZmthdk1JcGFyaENWajJGcFduQ1k9
all of this was yapping you guys lost like in <number> with the ikwan and thank god for that,r/syriancivilwar,Z0FBQUFBQm0yeGNXbTlIdE1DSFkxVExVUVJoMGpJenhTMnp2VmRRZG1Na3dFUjJYTkJQMGtqT1hTX0I1NkdjLXZxd2N3ZklsLXpjbjk5WFRjZ25iZzc5RUtfanVDLS1uT1E9PQ==
nope ive seen some old reports of treating wounded rebels in the israeli hospitals since <number> idf medics seen treating syrian rebels in new video<url>,r/syriancivilwar,Z0FBQUFBQm0yeGNXUzA3dkc4bVFMY2tFU3kzNXFsYnBkLXppSUd2YVFKNWRWaVdKQkVJZ0s1TU5tNVFfcUdGNWdTMFJGOF84QThzeThDU252LVZhejVQZHNoNVpQd1hXTUE9PQ==
this two strikes are in a completely different location try to geolocate them around where that building is the building in your post is in <number> <number>,r/syriancivilwar,Z0FBQUFBQm0yeGNXNGJMaklvM0l1dVd3SkM1N1BOZGhGc2dEdXhDTnlQZWJSNUlQSmxuTXFrbW1wQjdoQUtYZEREWVpDRmdQZnBDaTQxVkdQcnBJY3Znam9kN0lJU2VSMElxXzlJdEYzRXRaYnEtSWV4bGh6Ums9
