cleaned_text,label,username_encoded
cant open it in germany,r/wardocumentaries,Z0FBQUFBQm0yeGJSWUN6dlV3SVpublhXWk42aW42ank2bnRwQVdTVmhqUFhPVV9hd0ZRX3pEVzllcUE4bE02UDJManU3dXFrcEtkd0xSWm82VzFPOWlOR1FZNHg5TkNpbUE9PQ==
kanopy has it,r/wardocumentaries,Z0FBQUFBQm0yeGJTWVlCRFZYYUdxV2ItenBybERmY3FRVHlmeGhfWVBnSGRQc2p0OG51VE8xOXhHbFd3eDF1R2trajVWSzBoV2xTSS1wVFI5SGdrTzBDUFI0NDhfdk81T3c9PQ==
propaganda,r/wardocumentaries,Z0FBQUFBQm0yeGJTWFhTc3NDNUNGcXdDT1lUazFHLUM2MWFoSV9aeHpJWXM0XzV1QzdLYW9rRTExTWszOHBVVTlFeEIwdUhFQlpHclNQUXZ5cjFreXhyUFpaM3ZXZldpV3c9PQ==
weeeeeell what a time to post it today is vanishedwhere are all the videos,r/wardocumentaries,Z0FBQUFBQm0yeGJTTXA5czlKM29kVzNkVGxSVlQwbTE1WGxNeEluRmVRNEdkRERadk1nVTA0Zmxjd1N4SkI0WmV5azZmMlY5UUJFa3ZOcWpTNV9wVngzSzR4RG5TWks5d0E9PQ==
oh my been watching this channel for years and see its kaput now what a bummer,r/wardocumentaries,Z0FBQUFBQm0yeGJTZFdSNlpYZ0xDQlN1YWVBMDlOLTNwQWt1cm05MkZvaGtLRkZwQ3ZYbzIzRVhRaFptaWk3a2lpMXh5cU43VGF3X3VvQTlVTjlFMjFBd1JKZVpfcXg1dlE9PQ==
yeahi dont know why i wanted to watch something last night and when i saw what happenedno words,r/wardocumentaries,Z0FBQUFBQm0yeGJTWl9zY2c1ZzVqOWYwdUU5X3hmejU5bUpwWldPOGtvMjU4a1BuV0Z2b1YtcDFnbmNZSk1YRGl0VmkzZDkxYzdZT1dvRThwMjNTSGUya3lIUUNzRzRmUWc9PQ==
thank you,r/wardocumentaries,Z0FBQUFBQm0yeGJTUThYdXRQUmR5N0dzTUNXblV6SlNKdWRETjFEZW4tYzg1czlFM1hwYk5oeU9zZEVUOFdBbkJ3SVVHLWlvNlNxY0p6RHE0Y0xwS0hVOWFsNV9yR1dDbWc9PQ==
hi did you find it,r/wardocumentaries,Z0FBQUFBQm0yeGJTNncwa1Z0S2tpdkh3R01uMGRoY3R0bXR6VXVVX1VyM0VkbnBhSUF2aFBYMW1MSkM3Q0FFRWhpYkVCSjdnbThma2FlSDRoOGg0aVBhOTJJUzJrS043blE9PQ==
nope,r/wardocumentaries,Z0FBQUFBQm0yeGJTYXk0Xy14aUpPd3QyZGtMQ3JvczltdG15X1JoWVN0SjNsRnlLNFE2VDJxTVRJSl9Kc1poSXZiaWx0N1JENmkwQjYybndsY2paMnE0ZXBGSzlWVG42Q3c9PQ==
only the dead see the end of war great documentary,r/wardocumentaries,Z0FBQUFBQm0yeGJjV0pWRHhPU19KYmF5dGRObjV1TFlsUHpjWE5uNEp5b1FBaU5VTGJzVWNzaU1mS2JIVXJPUUt6NmpQZTBjRnptRjJMc1c0dFN1SEszR2p0Qjh2OFpWTlB4MUNQajBMOG5kc2o1blhyUnVYN009
cant help you im afraid but i can recommend forrest of the gods by lithuanian writer balys suroga heres a link to the movie on youtube <url>,r/wardocumentaries,Z0FBQUFBQm0yeGJtMmd0azhKSkJJVXZYa2IyRUlHSUhOLU9adEptcmNPQTVrd0VLVHl1R0JUMFc5Y2I2ZXo3UlNXM3RHdjZ1RFFFY1pYTTd0TVBWYkhZZ1VvTzc1UDhkb0E9PQ==
omg so sorry i somehow missed your reply thank you very much for the rec,r/wardocumentaries,Z0FBQUFBQm0yeGJ4dUdyZlQyLXFDYWJUQzN5VDQyNWtQZ1dRUTFpZllnamFfeFJhRGpxX0VaUXJoMktBWGVraThNT2RuSzM1TnhHTmVQUWVvT19vMjVOSktQUkdPa2o0NE9McmRyNF9iS3VCejI0Mll1RmY4TXM9
no worries,r/wardocumentaries,Z0FBQUFBQm0yeGI1a3FsXzU3alpmUW9iYUJ0SUNDS3pYSUNoRC1oVlM3RC1QSHZialJ0X3BQZ01mSFNHcVQ0SXJoUzc1UG41N2ZzVUdjNXFwc1BXcXVodzBkR0Q0bE5WTGc9PQ==
the documentary the longest month covers the actions of <number> attack helicopter battalions in and around baghdad in february <number> its available on amazon prime tubi fubo and youtube,r/wardocumentaries,Z0FBQUFBQm0yeGNaOW9iSWNQVUtRc1FydmRBNE9vWGxQcXp4Y3hobjYxbnlmeGhwVzlubmhJd21fT3pUZXZpOUpMSHNhcmpBblNuSVRQRkhuQzlhQl9teFd6Nm5oNVRjYnI0SUN6OTE2Vm05Wmg2SE9hZEFIcGM9
