source,target,weight
0,1,0.5715615051017991
1,7,0.4968981463806863
2,6,0.47623681037191157
2,95,0.20748226660589847
3,4,0.9653391473014072
5,74,0.3335190174061906
6,97,0.20724201600908854
8,57,0.8167260213961267
8,22,0.29344053846675666
9,30,0.962597921411933
10,29,0.9630825674266901
11,16,0.2711585679815951
12,19,0.9885132941706402
13,49,0.3945554667749445
14,36,0.9999999403953552
15,38,0.3927047976035294
16,27,1.0000000000000004
17,31,0.5234338436648316
17,33,0.5173355515996704
18,24,0.9999998807907104
18,55,0.9800567242254574
19,43,1.0000001192092896
20,40,1.0
20,56,1.0
21,51,0.5082855428290189
21,53,0.5012310777505412
23,58,0.7883506545661321
23,37,0.7644317633239146
25,46,0.4293246240794383
26,28,0.9789957763264694
28,39,0.38420487677150716
29,41,1.0
29,52,0.8477006937778746
31,42,0.9923567768238897
31,34,0.5154369102859676
32,46,0.5260822824885468
33,94,0.20762758382219734
34,35,0.4529336077901155
38,47,0.4515905097037576
38,44,0.3394987748805858
44,63,0.2078141230857256
45,49,0.5618141103643157
46,49,0.6534777149123105
47,52,0.505444266037427
48,49,0.9337130484969084
50,52,0.7992296819308055
51,54,1.0000001192092896
59,68,0.3003568709579987
60,69,0.5208827754647034
61,62,1.0000000596046448
61,64,0.4227223279927602
64,66,0.26963183581878475
65,71,0.27691657741493836
66,67,0.20873399882300964
69,100,0.11965153366327286
70,71,0.7595418183149001
71,78,0.38053316826059824
71,80,0.5607075690252071
72,75,0.730956320013108
72,73,0.6522074685802837
74,89,0.5842062757544138
76,85,1.0
76,88,1.0
77,79,1.0000000000000002
77,81,1.0000000000000002
82,89,0.988564535625398
82,86,0.8230246621892119
83,84,0.9877004011074045
87,91,0.5985385711448853
90,98,0.36084421489343266
91,92,0.7964994977934124
92,96,0.13192988863144864
93,94,0.1546814779823715
94,99,0.20192024627660285
