source,target,weight
0,3827,0.40811938264470093
1,50,0.637978627022086
1,4135,0.3219488020501381
1,6106,0.6174494639077536
2,41,0.30684347562391434
3,2801,1.0000000596046448
3,6269,1.0000000596046448
3,7444,1.0000000596046448
4,255,1.0
4,3192,1.0
4,8222,1.0
5,255,1.0
6,4078,0.6891088905659446
6,3475,0.42710868182886597
6,3896,0.5221900493595053
6,6357,0.44656330741252426
6,7391,0.5459393885265376
7,7221,0.5423484151911674
8,197,1.0
8,72,0.46605735080138444
8,201,1.0
8,337,1.0
8,428,1.0
8,430,1.0
8,445,1.0
8,498,1.0
8,551,1.0
8,562,1.0
8,586,1.0
8,657,1.0
8,659,1.0
8,691,1.0
8,841,1.0
8,892,1.0
8,893,1.0
8,955,1.0
8,1050,1.0
8,1189,1.0
8,1195,1.0
8,1218,1.0
8,1416,1.0
8,1454,1.0
8,1520,1.0
8,1545,1.0
8,1551,1.0
8,1576,1.0
8,1587,1.0
8,1609,1.0
8,1632,1.0
8,1706,1.0
8,1722,1.0
8,1764,1.0
8,1797,1.0
8,1917,1.0
8,1963,1.0
8,1971,1.0
8,1984,1.0
8,2009,1.0
8,2064,1.0
8,2085,1.0
8,2133,0.49664900367306175
8,2137,1.0
8,2160,1.0
8,2168,1.0
8,2186,1.0
8,2190,1.0
8,2193,1.0
8,2275,1.0
8,2522,1.0
8,2594,1.0
8,2632,1.0
8,2734,1.0
8,2789,1.0
8,2883,1.0
8,2951,1.0
8,2976,1.0
8,2980,1.0
8,2986,1.0
8,3057,1.0
8,3061,1.0
8,3083,1.0
8,3162,1.0
8,3165,1.0
8,3176,1.0
8,3245,0.5249968366360493
8,3312,1.0
8,3345,1.0
8,3375,1.0
8,3378,1.0
8,3387,1.0
8,3396,1.0
8,3451,1.0
8,3496,1.0
8,3525,1.0
8,3673,1.0
8,3692,1.0
8,3712,1.0
8,3754,1.0
8,3771,1.0
8,3775,1.0
8,3776,1.0
8,3788,1.0
8,3849,1.0
8,3973,0.4656377380060817
8,4052,1.0
8,4056,1.0
8,4087,1.0
8,4267,1.0
8,4285,1.0
8,4300,1.0
8,4349,0.4223726129418484
8,4366,1.0
8,4369,1.0
8,4372,1.0
8,4421,1.0
8,4435,1.0
8,4455,1.0
8,4475,1.0
8,4489,1.0
8,4535,1.0
8,4536,1.0
8,4538,1.0
8,4704,1.0
8,4753,1.0
8,4802,1.0
8,4804,1.0
8,4870,1.0
8,4931,0.4392432217764522
8,4932,1.0
8,4935,1.0
8,4973,1.0
8,5046,1.0
8,5152,1.0
8,5212,1.0
8,5231,1.0
8,5272,1.0
8,5295,1.0
8,5338,0.4154567365812923
8,5770,1.0
8,5828,1.0
