source,target,weight
0,91,0.4079291770121083
1,479,0.2276635171127315
2,678,0.29314166205778786
2,599,0.21888350791149902
3,546,0.30673804630731477
3,237,0.2567044851368774
4,10,1.00000011920929
4,26,1.00000011920929
4,79,1.00000011920929
4,322,1.00000011920929
4,488,1.00000011920929
4,765,1.00000011920929
5,28,0.6103757588888671
5,56,0.4149127263737012
5,57,0.44200352809749255
5,152,0.2113506956417232
6,178,0.36972144918945216
7,819,0.17478492123259726
8,43,0.44245806310658753
8,62,0.4069528927856126
9,76,0.3465155195526116
10,799,1.00000011920929
10,805,1.00000011920929
11,319,0.28888070350494477
11,466,0.26808479858719103
12,178,0.28837288288268803
13,93,0.3626775682723816
13,20,0.28817319638185734
13,252,0.30462298723212433
13,736,0.22578001278258175
14,22,1.0000001192092896
14,31,1.0000001192092896
14,38,1.0000001192092896
14,65,1.0000001192092896
14,84,1.0000001192092896
14,105,1.0000001192092896
14,106,1.0000001192092896
14,107,1.0000001192092896
14,180,1.0000001192092896
14,187,1.0000001192092896
14,232,1.0000001192092896
14,260,1.0000001192092896
14,286,0.25038992452009323
14,326,1.0000001192092896
14,333,1.0000001192092896
14,346,1.0000001192092896
14,355,1.0000001192092896
14,362,1.0000001192092896
14,386,1.0000001192092896
14,389,1.0000001192092896
14,414,1.0000001192092896
14,421,1.0000001192092896
14,436,1.0000001192092896
14,443,1.0000001192092896
14,464,1.0000001192092896
14,485,1.0000001192092896
14,509,1.0000001192092896
14,516,1.0000001192092896
14,524,1.0000001192092896
14,552,1.0000001192092896
14,605,1.0000001192092896
14,619,1.0000001192092896
14,646,1.0000001192092896
14,670,1.0000001192092896
14,685,1.0000001192092896
14,693,1.0000001192092896
14,702,1.0000001192092896
14,722,1.0000001192092896
14,730,1.0000001192092896
14,731,1.0000001192092896
14,732,1.0000001192092896
14,735,1.0000001192092896
14,761,1.0000001192092896
14,768,1.0000001192092896
14,769,1.0000001192092896
14,771,1.0000001192092896
14,772,1.0000001192092896
14,776,1.0000001192092896
14,789,1.0000001192092896
14,860,1.0000001192092896
14,867,1.0000001192092896
14,868,1.0000001192092896
14,877,0.7508089506958026
15,89,0.2637830662821746
16,227,0.4034456745494073
17,19,0.2840488423633491
17,312,0.28085704727807886
18,36,0.4603354026186479
19,61,0.5436276471847887
20,168,0.2424627278715904
21,151,0.3641882080558837
21,160,0.2897504111219911
21,749,0.31802343599208016
22,376,1.0000001192092896
22,378,1.0000001192092896
22,379,1.0000001192092896
22,463,1.0000001192092896
22,588,1.0000001192092896
22,589,1.0000001192092896
22,592,1.0000001192092896
22,650,1.0000001192092896
22,704,1.0000001192092896
22,753,1.0000001192092896
22,755,1.0000001192092896
22,756,1.0000001192092896
22,757,1.0000001192092896
22,759,1.0000001192092896
22,795,1.0000001192092896
22,806,1.0000001192092896
22,889,1.0000001192092896
22,890,1.0000001192092896
23,826,0.37701368166165006
23,108,0.25473462791617685
24,626,0.3226294351244738
25,78,0.25880233168585437
27,274,0.17894087731838226
29,652,0.38958502831049646
30,136,0.230458168782927
30,640,0.22146468385222537
32,146,0.33417814400220847
33,40,0.4164945029528616
34,119,0.25448198631614133
35,550,0.4510858644240363
35,172,0.2795037561773751
37,40,0.37614154002986666
37,55,0.30799278356377435
39,40,0.3897785175357479
41,608,0.2664261694043743
