source,target,weight
0,8829,0.47481359226336967
0,5419,0.3352713324859643
0,8834,0.28550668361321974
1,8780,0.519789279815932
2,3,1.0000000596046448
2,4,1.0000000596046448
2,8,1.0000000596046448
2,9,1.0000000596046448
2,26,1.0000000596046448
2,37,1.0000000596046448
2,42,1.0000000596046448
2,67,1.0000000596046448
2,115,1.0000000596046448
2,117,1.0000000596046448
2,149,1.0
2,164,1.0
2,166,1.0
2,177,1.0
2,179,1.0
2,182,1.0
2,202,1.0
2,206,1.0
2,208,1.0
2,215,1.0
2,220,1.0
2,221,1.0
2,226,1.0
2,227,1.0
2,233,1.0
2,234,1.0
2,250,1.0
2,259,1.0
2,271,1.0
2,298,1.0
2,307,1.0
2,330,1.0
2,331,1.0
2,341,1.0
2,344,1.0
2,352,1.0
2,365,1.0
2,373,1.0
2,377,1.0
2,387,1.0
2,400,1.0
2,406,1.0
2,407,1.0000000596046448
2,415,1.0000000596046448
2,419,1.0000000596046448
2,424,1.0000000596046448
2,436,1.0000000596046448
2,437,1.0000000596046448
2,454,1.0000000596046448
2,483,1.0000000596046448
2,488,1.0000000596046448
2,498,1.0000000596046448
2,502,1.0000000596046448
2,504,1.0000000596046448
2,509,1.0000000596046448
2,521,1.0000000596046448
2,536,1.0000000596046448
2,539,1.0000000596046448
2,578,1.0000000596046448
2,587,1.0
2,589,1.0
2,591,1.0
2,601,1.0000000596046448
2,622,1.0000000596046448
2,628,1.0
2,649,1.0000000596046448
2,652,1.0000000596046448
2,655,1.0000000596046448
2,656,1.0000000596046448
2,665,1.0000000596046448
2,666,1.0000000596046448
2,667,1.0000000596046448
2,669,1.0
2,672,1.0
2,677,1.0
2,679,1.0
2,680,1.0
2,682,1.0
2,683,1.0
2,714,1.0
2,734,1.0
2,740,1.0
2,747,1.0
2,774,1.0
2,784,1.0000000596046448
2,805,1.0000000596046448
2,806,1.0000000596046448
2,816,1.0000000596046448
2,817,1.0000000596046448
2,819,1.0000000596046448
2,823,1.0000000596046448
2,833,1.0
2,853,1.0
2,879,1.0000000596046448
2,889,1.0000000596046448
2,903,1.0000000596046448
2,907,1.0000000596046448
2,916,1.0000000596046448
2,917,1.0000000596046448
2,921,1.0000000596046448
2,939,1.0000000596046448
2,972,1.0000000596046448
2,979,1.0
2,982,1.0000000596046448
2,992,1.0
2,1005,1.0000000596046448
2,1013,1.0000000596046448
2,1019,1.0000000596046448
2,1034,1.0000000596046448
2,1054,1.0000000596046448
2,1063,1.0000000596046448
2,1067,1.0000000596046448
2,1073,1.0000000596046448
2,1079,1.0000000596046448
2,1080,1.0000000596046448
2,1082,1.0000000596046448
2,1090,1.0000000596046448
2,1101,1.0
2,1103,1.0
2,1105,1.0
2,1106,1.0000000596046448
2,1140,1.0000000596046448
2,1160,1.0000000596046448
2,1161,1.0000000596046448
2,1205,1.0000000596046448
2,1208,1.0000000596046448
2,1218,1.0000000596046448
2,1224,1.0000000596046448
2,1231,1.0000000596046448
2,1234,1.0000000596046448
2,1239,1.0000000596046448
2,1248,1.0000000596046448
2,1253,1.0000000596046448
2,1256,1.0000000596046448
2,1267,1.0000000596046448
2,1298,1.0000000596046448
2,1305,1.0000000596046448
2,1315,1.0000000596046448
2,1317,1.0000000596046448
2,1318,1.0000000596046448
2,1320,1.0000000596046448
2,1325,1.0000000596046448
2,1344,1.0
2,1400,1.0
2,1402,1.0
2,1413,1.0000000596046448
2,1415,1.0000000596046448
2,1448,1.0000000596046448
2,1460,1.0000000596046448
2,1484,1.0000000596046448
2,1532,1.0000000596046448
2,1533,1.0000000596046448
2,1543,1.0000000596046448
2,1582,1.0000000596046448
2,1589,1.0
2,1627,1.0000000596046448
2,1673,1.0000000596046448
2,1692,1.0000000596046448
2,1699,1.0000000596046448
2,1701,1.0
2,1712,1.0
2,1713,1.0
2,1714,1.0
2,1717,1.0000000596046448
2,1718,1.0
2,1721,1.0
2,1731,1.0
2,1732,1.0000000596046448
2,1744,1.0
2,1745,1.0000000596046448
2,1751,1.0000000596046448
2,1761,1.0000000596046448
2,1765,1.0000000596046448
2,1782,1.0000000596046448
2,1791,1.0000000596046448
2,1795,1.0000000596046448
2,1801,1.0000000596046448
2,1814,1.0000000596046448
2,1816,1.0000000596046448
2,1879,1.0000000596046448
2,1893,1.0000000596046448
2,1942,1.0
2,1962,1.0
2,1984,1.0
2,1988,1.0
2,2022,1.0
2,2031,1.0000000596046448
2,2048,1.0
2,2053,1.0
2,2054,1.0
2,2064,1.0
2,2065,1.0
2,2068,1.0
2,2077,1.0
2,2085,1.0
2,2094,1.0
2,2095,1.0
2,2104,1.0
2,2116,1.0
2,2128,1.0
2,2141,1.0
2,2145,1.0
2,2149,1.0
2,2168,1.0
2,2172,1.0
2,2183,1.0
2,2211,1.0
2,2286,1.0
2,2359,1.0
2,2370,1.0000000596046448
2,2374,1.0
2,2380,1.0
2,2388,1.0
2,2407,1.0
2,2416,1.0
2,2418,1.0
2,2432,1.0
2,2437,1.0
2,2447,1.0
2,2449,1.0
2,2451,1.0
2,2452,1.0
2,2454,1.0
2,2457,1.0000000596046448
2,2462,1.0
2,2463,1.0
2,2466,1.0
2,2468,1.0
2,2470,1.0
2,2472,1.0
2,2541,1.0
2,2546,1.0
2,2557,1.0
2,2560,1.0
2,2565,1.0
2,2569,1.0
2,2573,1.0
2,2608,1.0
2,2612,1.0
2,2628,1.0
2,2630,1.0
2,2633,1.0
2,2634,1.0
2,2635,1.0
2,2648,1.0
2,2652,1.0
2,2662,1.0
2,2663,1.0
2,2664,1.0
2,2665,1.0
2,2667,1.0
2,2674,1.0
2,2675,1.0
2,2689,1.0
2,2729,1.0
2,2731,1.0000000596046448
2,2733,1.0000000596046448
2,2734,1.0000000596046448
2,2737,1.0000000596046448
2,2825,1.0000000596046448
2,2827,1.0000000596046448
2,2900,1.0000000596046448
2,2911,1.0000000596046448
2,2943,1.0000000596046448
2,2946,1.0000000596046448
2,2947,1.0000000596046448
2,2975,1.0000000596046448
2,2978,1.0000000596046448
2,2987,1.0
2,2991,1.0
2,2995,1.0000000596046448
2,2997,1.0000000596046448
2,3019,1.0000000596046448
2,3034,1.0000000596046448
2,3038,1.0
2,3067,1.0
2,3068,1.0
2,3119,1.0
2,3120,1.0
2,3165,1.0
2,3167,1.0
2,3179,1.0
2,3230,1.0
2,3243,1.0
2,3250,1.0
2,3275,1.0000000596046448
2,3276,1.0000000596046448
2,3281,1.0
2,3285,1.0
2,3288,1.0
2,3290,1.0
2,3292,1.0
2,3296,1.0
2,3298,1.0
2,3300,1.0
2,3302,1.0
2,3303,1.0
2,3315,1.0
2,3316,1.0
2,3317,1.0
2,3328,1.0
2,3340,1.0
2,3344,1.0
2,3374,1.0
2,3376,1.0
2,3382,1.0
2,3389,1.0
2,3393,1.0
2,3396,1.0
2,3397,1.0
2,3401,1.0
2,3403,1.0
2,3409,1.0
2,3443,1.0
2,3453,1.0
2,3459,1.0
2,3460,1.0
2,3467,1.0
2,3468,1.0
2,3474,1.0
2,3477,1.0
2,3480,1.0
2,3481,1.0
2,3488,1.0
2,3493,1.0
2,3506,1.0
2,3521,1.0
2,3530,1.0
2,3531,1.0
2,3532,1.0
2,3533,1.0
2,3541,1.0
2,3544,1.0
2,3553,1.0000000596046448
2,3558,1.0000000596046448
2,3560,1.0000000596046448
2,3571,1.0000000596046448
2,3577,1.0000000596046448
2,3580,1.0
2,3592,1.0
2,3595,1.0
2,3596,1.0
2,3599,1.0
2,3611,1.0
2,3615,1.0
2,3620,1.0
2,3622,1.0
2,3623,1.0
2,3637,1.0
2,3642,1.0
2,3643,1.0
2,3645,1.0
2,3646,1.0
2,3648,1.0
2,3656,1.0
2,3662,1.0
2,3663,1.0
2,3664,1.0
2,3675,1.0
2,3683,1.0
2,3687,1.0
2,3707,1.0
2,3709,1.0
2,3710,1.0
2,3711,1.0
2,3717,1.0
2,3722,1.0
2,3814,1.0
2,3815,1.0
2,3823,1.0
2,3837,1.0
2,3865,1.0
2,3885,1.0
2,3886,1.0
2,3899,1.0
2,3925,1.0
2,3936,1.0
2,3939,1.0
2,3953,1.0000000596046448
2,3955,1.0000000596046448
2,3956,1.0000000596046448
2,3957,1.0000000596046448
