source,target,weight
0,141,0.19805834865643432
1,14,0.40100750895829307
1,9,0.3146114106394296
1,161,0.21802836844964205
2,121,0.28333128178659917
2,31,0.2429067375955919
3,158,0.24194466409710666
3,157,0.22725767168488864
4,90,0.9999999701976776
5,123,0.5424090820737439
5,6,0.5079984650444279
5,51,0.512423387893934
5,125,0.32545454737385593
5,162,0.3916588292128713
7,10,0.2128162682056427
8,143,0.22721858050135763
8,16,0.14701950445887346
11,130,0.6580899436320209
11,22,0.5970893658570209
11,41,0.41704069904938906
11,147,0.45108875240744034
12,13,0.9368781888933555
14,105,0.22875890018671208
14,159,0.24133479855217244
15,63,0.2394031215488313
17,154,0.28249537239618255
18,20,0.42291425037834707
18,119,0.23632150935419105
19,52,0.30115639009355777
19,32,0.2262606171535736
20,37,0.24541269975404195
21,141,0.2354255603103992
22,149,0.22254150704017514
23,121,0.32921046061353254
23,66,0.28923964992908785
24,146,0.4911260110890069
24,150,0.14615988731384277
26,30,0.40697488402185916
26,114,0.26163936930892195
27,141,0.2499002120719982
27,148,0.23426044969582832
28,43,0.41495387468111894
29,144,0.20604776226329885
32,115,0.20605159242688686
33,74,0.2727729395147443
33,96,0.24246703869766342
34,109,0.3967339587422508
35,25,0.6171030831621979
35,36,0.16358611971385817
38,40,0.5500106608523722
39,56,0.5984416795534959
40,46,0.36933752668922953
40,53,0.47634536659880145
40,60,0.43655017376029337
40,76,0.27991257990638513
42,123,0.21505165282698321
43,45,0.3911314461291748
43,47,0.3360366161925633
43,49,0.32554746681359964
44,63,0.32474539289493565
45,94,0.22012772795821106
46,111,0.2887242301640454
48,146,0.1301499307155609
49,117,0.2804269206083763
49,127,0.2884923279237218
50,81,0.2903354015778452
52,55,0.3990912139318242
52,75,0.24815708801116543
54,70,0.3745665814253005
54,71,0.3065072360336396
54,73,0.304505777215887
56,72,0.4286571174919144
57,58,0.16726699769771994
58,71,0.21596960870398949
59,96,0.16682448086849916
60,65,0.2247166180379449
61,70,0.1610632587360147
62,78,0.4021806144040839
62,110,0.2160033519012031
63,106,0.35498599642381057
63,80,0.24618491081177507
64,82,0.26258349418640137
67,79,0.4025977796559561
67,68,0.3931242166238585
67,69,0.34763283076565427
70,155,0.2554409389416573
74,156,0.3942591369262266
77,139,0.16720574286919643
79,160,0.2606503382160635
80,132,0.19032127511770225
81,106,0.3460211629665155
83,84,0.45212305416247034
84,85,0.5763523972427302
84,100,0.3614339674617559
86,101,0.28400330006176316
87,88,0.35558263916388155
88,89,0.23031041281700215
88,145,0.28498837144500117
90,152,0.4902168160028611
91,102,0.389668420189718
92,93,0.41327312714120207
93,131,0.2113833915544355
95,140,0.2753172542779698
97,98,0.44970108974294276
97,101,0.37821466061221015
99,104,0.35884297144831967
102,103,0.31900593412720746
106,121,0.38934697268014934
106,108,0.3205340408257611
106,113,0.2851446675975967
107,118,0.3307120830722105
112,156,0.295204160464045
112,137,0.28493157880736825
116,120,0.38159529070950715
117,124,0.1617475601340771
122,128,0.3422781734322718
122,139,0.2440490810517417
126,134,0.24513703072453874
129,146,0.5503445422918334
130,133,0.6747608485500621
134,140,0.3060254720440599
135,136,0.3516205536504113
138,156,0.33316061916822254
138,142,0.28260029214583066
141,143,0.47790827378026357
148,151,0.18186470866203308
153,154,0.2927108823119046
162,163,0.3446872901766347
