source,target,weight
0,10,0.2916121033924128
1,22,0.25122460976612637
2,47,0.33887845277786255
3,18,0.3128113426633473
4,573,0.2738288547536568
5,573,0.36031015094936825
5,774,0.16138811513031895
6,41,0.9893024430434569
7,33,0.3715758020844075
8,761,0.20203614234924316
9,298,0.3745205214108085
10,20,0.4757860787518561
10,27,0.4345232449712572
10,912,0.3142786821625984
11,44,0.5824175640724418
11,29,0.3854804302916346
11,51,0.36737452589414366
11,69,0.49180373196145477
11,76,0.4917806552253627
12,13,0.6553781488063329
12,58,0.32672810644362205
12,345,0.1883910956631456
13,18,0.5061962039074894
14,308,0.4808559815801057
14,57,0.23156800398564653
15,76,0.41465907478847763
16,308,0.3670879339536124
17,27,0.3631227039624463
18,31,0.2427990437722751
18,35,0.37225986335920386
18,63,0.4539656163253215
19,308,0.44148372614644976
19,190,0.40248607782414914
20,21,0.6495659116815116
20,532,0.2286863290329832
20,805,0.3491901988316013
21,24,0.17093656861334033
22,671,0.34945505668967486
23,37,0.3990325157639534
25,927,0.30660362235792693
26,718,0.3949883359119198
27,804,0.18454648700959106
28,141,0.3620591876393029
28,569,0.2584729960241151
30,78,0.44708579716345165
32,79,0.7980306566819415
32,991,0.3415605102137277
34,95,0.4945454911982956
34,38,0.41134209771984054
34,105,0.4911902429570879
36,39,0.5167131961805012
38,160,0.37320294014002997
40,52,0.5202304936952539
40,462,0.3517926589633552
41,406,0.9947293267409668
41,67,0.9927594528357849
41,73,0.9856795535247193
41,75,0.9918758437793121
41,85,0.9890457854430542
41,97,0.9941936896006928
41,214,0.9930952057998047
41,231,0.9932695493857727
41,236,0.9894746110598908
41,247,0.9892605111758576
41,458,0.9859443756201526
41,682,0.9880865380923615
41,768,0.9939361677329407
41,792,0.9898927376429901
41,812,0.9885099396865235
41,814,0.9930004344146118
42,792,0.2541413685534468
43,757,0.4577358730180333
45,853,0.27610911020489304
46,96,0.4432593784268939
48,741,0.20115318258944004
49,663,0.2389374892805966
50,148,0.4535587784922652
53,118,0.2846813942823009
53,287,0.25970567995460137
54,868,0.2516480217134947
54,200,0.23412756851980085
55,279,0.20644865930080414
56,72,0.3658395310917956
57,178,0.20766030336459504
59,153,0.3784037602408232
59,118,0.37273066529223886
60,84,0.3561574806306061
61,538,0.22533304050113614
61,956,0.22335515948759804
62,891,0.48624942561657825
62,909,0.31843791043964187
62,970,0.32738841744409375
63,80,0.32140469166971397
64,350,0.41259635926964644
64,947,0.266413844483811
65,336,0.32113359458498625
65,557,0.2651199642255556
66,68,0.5312612231568569
68,71,0.3489382728643782
69,608,0.2889187169017737
70,312,0.4561251296020624
70,194,0.36912891474080944
72,140,0.43574320752361145
72,74,0.41706550186383795
72,130,0.2739938019174166
72,303,0.36251646785287756
77,196,0.3208627952600645
78,81,0.37463837669739336
78,219,0.39225594739604475
80,588,0.25544425815960503
81,100,0.36733905085570995
82,478,0.23995283039024187
83,903,0.32205445818258266
86,444,0.1821140224804671
87,102,0.33771697941246887
88,979,0.29625186519355173
89,917,0.26156083927301493
90,413,0.24592847772686427
91,981,0.2785677803308688
92,559,0.3080096541990442
92,99,0.25493359565734863
93,905,0.24557651457469054
94,372,0.36468959969002435
94,281,0.2228197030248218
94,1005,0.24989155281466685
96,145,0.3660879430435984
96,182,0.2598176568566939
98,99,0.2098425206257847
101,164,0.38983974965165225
101,112,0.288331830989933
102,533,0.37227922944383157
102,235,0.1829226301719813
102,264,0.2161103599792149
102,955,0.3019826611792267
102,1008,0.2718523580591422
103,108,0.44900628217286054
103,136,0.44746586438878416
104,470,0.2274227685952793
106,172,0.33399678003944483
107,984,0.3144963250050563
109,140,0.3625943342058345
110,321,0.48389133339222823
111,653,0.21544464602445268
113,660,0.2664126721623673
114,504,0.30899707476392535
115,120,0.34426238281172067
115,125,0.3309627570926936
116,887,0.19955557852764505
117,149,0.4881069477462142
117,150,0.22186307012673243
117,612,0.35849353998726474
119,124,0.3258265883907563
120,123,0.22566435202037058
121,198,0.23811985327252383
122,362,0.4428597207352698
124,439,0.23065103419650845
126,154,0.4894125854325065
127,158,0.8126083705712195
127,128,0.4850581726069046
127,199,0.24767440758348627
127,450,0.6852163281506544
129,989,0.2551720400894826
129,983,0.2291099353092466
129,986,0.24160386616195462
131,322,0.11005011200904846
132,151,1.0000001192092896
132,226,0.6746935860985976
132,234,1.0000001192092896
132,339,1.0000001192092896
132,340,1.0000001192092896
132,622,1.0000001192092896
133,898,0.33690976388594995
133,855,0.2846453646735341
134,438,0.42581191177838984
135,140,0.584383567335254
135,139,0.506726197312214
135,429,0.2670152012208903
137,238,0.19871803746020644
138,423,0.5791599720404059
138,941,0.18790939450263977
140,147,0.3791614084382909
140,354,0.2901237087429448
140,565,0.363271154148036
140,570,0.3773152356829308
140,780,0.2917214263767559
140,822,0.48461289137976926
141,411,0.4116628113123595
141,521,0.41026007484592236
142,433,0.879985056152798
143,144,1.0
143,146,1.0
143,208,0.35092292150176196
143,635,0.20893843509262033
143,834,0.34824777594859013
145,595,0.3089423936586865
145,699,0.23637753741702566
145,796,0.36131792764801934
150,332,0.20728485470362887
151,430,1.0000001192092896
152,165,0.2557384122412256
153,205,0.3389598763928324
155,386,0.4604505708315244
155,210,0.37490647869487465
156,187,0.6074287009609917
156,242,0.4870640669525388
157,211,0.5839804199867227
157,171,0.41524027779670447
157,224,0.4242195303499184
158,504,0.3798676369846015
159,394,0.4858068073713421
159,410,0.39153355132181067
160,487,0.2703307060137712
161,848,0.2995603501571267
162,364,0.38130546661239484
163,168,0.3449299445040056
165,394,0.40215096837161024
165,229,0.39654102432078864
166,364,0.41578100607066615
167,168,0.43731838714817944
168,169,0.552043704108109
168,170,0.5173651710502438
168,202,0.4064519870387464
168,230,0.46181629984125455
168,237,0.4794240730572472
168,244,0.4911948566272365
168,262,0.42640795567312123
168,268,0.42552278597793697
168,319,0.4802041152639488
168,554,0.4046795160179407
173,206,0.5319025219740907
173,246,0.3422465202883628
173,543,0.3059244156293339
174,873,0.2754704599931928
175,213,0.4451107028244978
176,776,0.26485661067534927
177,244,0.43894262258541195
179,434,0.5232014636115618
179,255,0.3713634353347297
180,209,0.3940619928282053
181,888,0.2654433460743262
183,401,0.5731042199706042
184,870,0.22840727451103748
185,195,0.35086550440487996
186,711,0.2327626507331017
187,211,0.6239099204767947
187,445,0.46775725555172887
188,191,0.4030227430465262
189,191,0.391632305324517
192,833,0.33745451482026634
193,428,0.18004938472203302
194,850,0.31157422605178664
195,697,0.9999999403953552
195,313,0.3574926958836666
195,447,0.5144950308797813
195,568,0.4362474734602708
195,720,0.721450396687894
195,740,0.2740399303810712
195,922,0.3439305552869061
196,679,0.44170088458271317
197,532,0.19957863170266035
198,312,0.39168118917673883
198,271,0.3370810962593309
198,292,0.34305326479210757
201,212,0.5272981982493148
203,411,0.25379543377926056
204,601,0.3102364744337061
204,660,0.2727944679962131
205,933,0.19458359050525756
207,879,0.3314359148836235
208,856,0.24734610916399297
209,267,0.4819660695924304
209,865,0.3379213086892658
215,382,0.6012596355125072
215,294,0.49070795186559535
216,357,0.49695592501761726
217,229,0.3157410486526925
218,299,0.5673397567240286
218,320,0.38162885917619405
218,400,0.5304540730089609
218,485,0.36082470390450316
220,252,0.38745669430367147
221,526,0.27526039786979106
222,976,0.30708659565587143
223,713,0.13888797163963318
225,331,0.41717396249440525
227,982,0.3271458327523583
228,1000,0.41970843429856186
228,993,0.21695852316537254
232,668,0.22814246986756506
233,283,0.4994707113725959
238,239,0.2771778568465504
240,299,0.5915088790058651
241,283,0.5138516607267186
241,316,0.3974216008984436
241,518,0.46797529823387596
243,301,0.38647731619628234
245,282,0.5044897424362005
245,256,0.3953741151299379
245,269,0.2753068455326902
245,571,0.23669063466372345
246,272,0.2685624071883551
248,847,0.2614961065248356
249,403,0.4511515853388516
249,317,0.37365319362622795
250,505,1.0000001192092896
250,540,1.0000001192092896
250,689,1.0000001192092896
251,310,0.3991936884065313
253,304,0.4292671668692819
253,349,0.29263627629366007
254,258,0.4789642106123711
257,965,0.4264913470951334
259,376,0.24040633112531418
260,669,0.23445626046914386
261,407,0.3954940330982747
263,535,0.19681585658867295
265,304,0.39665866226149543
266,382,0.553036060314247
266,326,0.3581142151652751
266,441,0.4152701052701857
270,481,0.4318964750613331
273,840,0.19814980718571085
274,275,0.572424742309452
276,436,0.4929840711816511
276,342,0.3499841302601597
277,754,0.20067702066642432
278,913,0.37105374491080645
279,343,0.2466013204718922
280,412,0.21002966358352312
282,695,0.44198636876553626
283,335,0.4794597567720883
284,307,0.9999999999999998
285,426,0.38250656009854267
285,296,0.3108775523570195
286,426,0.33977690448926795
288,400,0.36873499240496327
289,324,0.4922325137252447
290,626,0.30120413176527894
291,426,0.35222336450531755
293,396,0.46615516776192334
293,314,0.3878998441308985
293,404,0.28816862203507626
294,750,0.3184883255711465
295,327,0.39834849477855416
297,312,0.24068184964114261
300,305,0.6221508919704548
300,353,0.2985137104988098
301,998,0.4064694148905741
302,956,0.22068076734066522
305,791,0.16034696996212006
306,499,0.271841858302746
308,490,0.600775332428202
309,407,0.46276531184835457
310,436,0.4164968852671078
311,312,0.2773771748380806
312,616,0.687733939112168
312,382,0.6371957670016988
315,327,0.3393705046924915
318,502,0.4159722641878364
318,374,0.2948311143343748
318,551,0.27618194187598893
320,338,0.3584691575191476
322,402,0.5315419300021889
323,333,0.33562240206374006
325,722,0.2623054055574018
326,405,0.2852911833209806
326,582,0.295892658855459
328,407,0.34936435934653837
329,382,0.5079734520180396
329,373,0.42269099306020913
329,403,0.5031188530210173
330,489,0.29127455180143663
333,436,0.3970656338569696
333,1017,0.28108066147026767
334,737,0.2357504141181067
336,411,0.4298870461425918
336,471,0.3062106520168262
336,494,0.3919894682695891
337,672,0.49506698896550844
341,424,0.5680018509582483
341,539,0.48326162911560333
343,626,0.31484375072340587
344,539,0.27801780986481006
346,441,0.26856646297197406
347,356,0.243600552168526
348,413,0.4738209237366641
348,477,0.36658470211736094
348,735,0.40418707850988267
349,946,0.199087992310524
351,506,0.5659870376978113
351,621,0.2247268616542944
351,766,0.23489255389327052
352,381,0.2860169001423227
353,880,0.17267918586730957
355,368,0.2853450347302007
357,1012,1.0000001192092896
357,484,0.38214813845652007
357,516,0.2370847910642624
357,575,0.25509846210479736
357,992,0.30088403239995515
358,493,0.5697984086681588
358,402,0.5574329780899324
359,365,0.419381739927696
360,700,0.29775608428981926
361,444,0.23134581166282636
362,488,0.40153505676695733
363,507,0.393993126293652
364,535,0.26228973942371087
365,381,0.4849101080176349
365,448,0.4154469950945474
366,378,0.6839020494871537
367,507,0.4857140042452083
367,480,0.4575647215785914
368,482,0.31767973371882535
368,520,0.2354104457665828
369,564,0.34466466353786746
370,803,0.2796520080461491
371,469,0.19910481572151184
372,625,0.2963105714674251
372,785,0.2728308799752876
373,925,0.2705610817164336
375,377,0.28825286306276754
376,526,0.33126625229082096
376,715,0.16972735948573706
377,382,0.3989212688546865
379,597,0.4763356963549512
380,512,0.3435627807484561
381,460,0.2654539717351748
382,422,0.42647224906416314
383,528,0.3880460788192345
383,511,0.18994668538819737
384,493,0.5556715573256064
384,507,0.5367363279905649
384,528,0.5174296034095798
385,609,0.27187998042008465
387,396,0.4999707142411546
388,710,0.38874491421142077
389,630,0.16427096724510193
390,436,0.40743318293808645
391,956,0.1791355311870575
392,613,0.21493781387097433
393,425,0.35434709178391327
393,399,0.2982811384701613
393,618,0.2430375407347698
394,395,0.3699734265967116
397,610,0.36603971932485124
398,519,0.5708426971532468
408,494,0.3355721117482537
409,998,0.44188325253112204
411,413,0.48686444527895295
412,795,0.4961471113192204
413,531,0.36592812672600317
413,862,0.3308068552715832
414,811,0.26679667830467224
415,919,0.19185703453841105
416,421,1.0000001192092896
417,1007,0.2559865800581475
418,461,0.5366625750100518
419,450,0.4534816886618794
419,801,0.4039729496890473
420,519,0.3938704322541304
424,476,0.5099674976264831
425,597,0.4622085010627671
427,872,0.2083081256063174
428,667,0.2758427992581477
431,862,0.2629900043453282
432,855,0.24591357370757866
434,611,0.2816822162854151
435,768,0.41434977179115295
435,800,0.3001592151746227
437,541,0.34293009129260177
437,555,0.24383367735345146
440,669,0.3880307984740624
440,517,0.38113233845094147
442,595,0.2922374877994442
443,515,0.5446995806222723
443,844,0.333435643596629
444,947,0.25248651757858515
446,664,0.39238187323023466
449,466,0.5572028294651405
449,451,0.5011794719863851
452,528,0.40796501490791726
453,962,0.5211125208272506
454,501,0.4796120396638619
454,500,0.32582421192248606
454,512,0.4222157422008531
454,514,0.3505166708050924
455,470,0.5486385543090534
455,457,0.45441014750038433
455,459,0.5232718161571407
455,491,0.49474980653581957
456,470,0.437977417058845
459,463,0.4806525068787626
464,515,0.4850701679686031
465,503,0.3549517316055086
465,670,0.2972903144473509
467,472,0.4135331209398636
468,470,0.5026729925803683
470,473,0.32986674313007885
474,526,0.24536390957766654
475,811,0.26460128713529135
477,787,0.26514074785583996
479,564,0.30482330103659305
479,486,0.2855263948440552
480,492,0.4070592365569929
480,669,0.4295049878811195
482,1007,0.31960552747507764
483,503,0.331889746497567
489,615,0.43672986659042856
489,860,0.3930246454482086
493,597,0.5712607400968253
495,526,0.3762367645342937
496,499,0.4544630869179518
497,498,1.0
499,515,0.5079885457168924
500,509,0.26294130086898804
500,594,0.22429847411789772
502,710,0.4463131233256099
505,523,1.0000001192092896
505,527,1.0000001192092896
506,767,0.59828628342344
508,510,0.30677376936745837
510,857,0.23455718131515466
510,869,0.22295722854658187
512,964,0.299559848463356
513,1007,0.24644243408104474
521,755,0.24149441222626725
522,879,0.33201913657732984
524,829,0.25660045117115127
525,739,0.33103650082580705
526,530,0.3958118618621249
529,742,0.3108814133712409
534,536,0.3806073836646594
537,927,0.19431333727868574
538,744,0.35266456326899825
541,690,0.4559916417927297
541,585,0.4282453416984845
541,593,0.3939341892691184
542,725,0.4121655724460073
542,553,0.3262634433245332
544,550,0.4340164485875424
544,592,0.3158900800970441
544,712,0.40190216035661797
544,716,0.34261493696282214
544,950,0.37114295638357153
545,576,0.320854989927226
546,552,0.5387948764245667
546,547,0.4851741177838669
546,636,0.45408423148414784
548,585,0.31857948293041716
549,771,0.21536169192956175
552,704,0.38960753188206976
556,823,0.4269077953634416
558,607,0.6692337683634149
558,591,0.5904650371186023
558,599,0.5602280208606268
558,603,0.4799932637963633
558,897,0.5384201086073703
559,601,0.3799730245300602
560,620,0.6683592028198173
560,683,0.2637622356414795
561,693,0.3145254182261979
562,657,0.6627593708540658
562,654,0.37701010518605
562,691,0.3249191899291386
562,830,0.4695079677875049
563,696,0.3879866158990637
564,702,0.37386928108630557
566,587,0.39585527314971036
566,579,0.3235537101889666
567,1012,0.3315210483761772
572,960,0.1839633856732507
574,613,0.4061709296639109
576,825,0.46623471878165845
577,685,0.2829116961996786
578,864,0.34211123370870605
580,877,0.3696874947117569
581,809,0.5512584694842975
581,700,0.3825493742986592
581,731,0.4709541928268218
583,716,0.30028426089300186
584,738,0.4903489822477176
584,732,0.45026671918668015
586,696,0.3697254565284802
586,920,0.2951414838094329
589,693,0.2773734744901261
590,808,0.30232349450018653
593,600,0.377682240057564
593,604,0.33625207304556276
596,782,0.49741118483839564
598,701,0.592929008454099
598,885,0.32722991613740215
602,639,0.35260490297411196
603,717,0.45626363763587785
603,930,0.30049880828670406
604,957,0.23979156755180484
605,877,0.34124147119395537
606,667,0.3400094862875782
606,821,0.2417494464455932
607,719,0.5618903041446603
607,737,0.4066998418809463
609,659,0.4017671623978827
614,617,0.5304759236773718
616,659,0.6980915442367704
617,705,0.37544441446052323
617,728,0.3795872084855125
619,732,0.3727618287471375
623,692,0.4878748830126661
623,707,0.279723821556123
624,820,0.32918110274381934
626,807,0.35622259918603144
627,664,0.5363117621307355
628,641,0.4458765229342623
629,749,0.9999998807907102
630,646,0.40870577932435237
631,823,0.379908999107924
632,633,0.324964435770536
632,759,0.2251162174941388
633,896,0.2885512113571167
633,929,0.27546258588174866
634,727,0.36663618348382876
637,689,0.6000092172958553
638,820,0.23915531906650914
640,885,0.24247773766530384
641,649,0.7342002036852748
641,650,0.39690901421906244
642,764,0.3838636346448683
643,807,0.3907843012344655
643,859,0.37086031343129944
644,657,0.43586854184239654
645,671,0.6061075814655975
645,655,0.4522571512981215
645,658,0.3309670811566596
647,651,0.6243325438175957
648,824,0.4540355151292564
649,665,0.5120898229776918
650,673,0.3495688736725973
651,702,0.5603255010417723
651,727,0.3668009549798565
652,730,0.46567553830257324
653,723,0.3654006622054402
655,656,0.28364917277140256
657,693,0.5328109955518048
661,668,0.47029941208064957
662,775,0.42219362040166303
663,917,0.37025777022070533
665,711,0.3577205272732259
666,767,0.6865376796897236
667,823,0.3699036104401667
672,903,0.330635782052094
672,906,0.33187023003535043
672,977,0.40746688481558
674,995,0.3587595600306592
675,681,0.5300337391110266
675,677,0.38255473694548237
675,694,0.47201433065576814
676,703,0.4218089502572169
676,845,0.20393453457872365
678,978,0.3910051886763256
680,868,0.37300331346290455
681,698,0.5110759099402127
681,884,0.29856202585303726
684,698,0.3024830760247653
685,703,0.4612460377670351
686,719,0.33469252546041434
687,738,0.3949774718557597
688,791,0.13743412494659424
691,724,0.2688946418473386
692,726,0.25711449698517963
701,709,0.39604642204444424
705,741,0.2794828466789499
706,945,0.22150286330693075
708,761,0.27395763993263245
711,1013,0.2507763435085414
712,783,0.24214846820227826
713,791,0.15505510568618774
714,805,0.3047253417879273
721,802,0.48962743747094317
723,963,0.46814816251417535
729,1007,0.1780165433883667
733,773,0.40953279312932517
734,736,0.9999999999999998
739,777,0.21056018524130396
739,1007,0.32076425044197165
743,854,0.5590375776558494
743,746,0.4696514853985001
743,790,0.5541550795386524
743,829,0.42687497708212474
743,842,0.4578142956275928
743,849,0.47524216316255097
743,886,0.5211985303993609
745,784,0.4982811098271006
745,827,0.3801633908847655
747,898,0.47194285594119745
747,751,0.45511348214522795
747,762,0.4665343631084067
748,873,0.29607473179695515
751,765,0.33372286667703255
751,793,0.38786863049342896
751,810,0.38113821030977607
752,776,0.4190658391063706
752,835,0.4113428531310759
753,883,0.44776514106763543
754,886,0.391649515358538
756,895,0.4377769176131583
756,936,0.41318985486615856
758,763,0.47059275851930205
760,778,0.2561291045453418
763,817,0.32121561016747746
769,773,0.35285651360151715
770,970,0.2528081997929681
771,889,0.4965911981986056
772,831,0.39951422947901916
775,963,0.44371422177336817
776,788,0.3981049196859744
778,830,0.276750400150224
779,935,0.31521779995727184
781,796,0.3117124269306474
781,839,0.3018385743066065
784,813,0.5241287720321786
786,810,0.3632385957682952
789,797,0.17353063821792603
790,879,0.40854952394530664
790,988,0.5498510093950175
791,1015,0.15823663771152496
794,919,0.6285702120870866
797,822,0.2956293523311615
798,988,0.4132042246663536
799,895,0.4072494216613137
802,963,0.5056775442543447
806,901,0.4378681989518479
807,863,0.35188913345336914
807,900,0.29840629443509004
809,815,0.32466680845341583
811,828,0.4130139992331849
813,854,0.5719459986694626
813,895,0.5549937138266607
816,886,0.4367585385361138
818,882,0.3741089817565067
819,899,0.2876990098949825
820,995,0.3475576564940244
824,963,0.480279672895042
826,868,0.3381338281302313
832,836,0.9999999403953553
833,838,0.45163798231712204
837,892,0.24790825228656266
838,843,0.46749584730153815
840,910,0.5440583808873334
841,895,0.4238843094309774
846,892,0.26342311748715586
847,890,0.2817426898491265
848,853,0.4419435598631646
849,907,0.31462505471817237
851,889,0.5606986898839736
852,870,0.4877793360982138
858,895,0.4656324268482892
861,866,0.35650100541893537
866,867,0.24566133697334042
871,872,0.7219060300136233
871,939,0.6458107607960233
872,893,0.5409482159854987
872,940,0.5795533942252343
873,874,0.3888345824408427
875,892,0.23558148741722107
876,987,0.6895327549038515
877,878,0.24916215240790027
881,943,0.3769551348601942
886,902,0.29070461561309846
887,891,0.34993726315002543
887,888,0.3326904168008538
894,905,0.6269541026718267
899,1003,0.3294537040763321
904,943,0.22526685194411006
905,961,0.6273066448987186
905,928,0.3455725358815956
905,932,0.48638975109162436
908,918,0.41666275082934434
908,916,0.35897056251579573
910,934,0.21648211917325957
911,979,0.32737551261068465
911,914,0.3169113734575114
915,1004,0.28378297416152026
919,937,0.3202042748232486
921,926,0.3014807714439508
923,950,0.2986194980766487
924,954,0.4528954028776495
926,1001,0.38228244750220197
927,945,0.26750307824194314
931,1004,0.3529551436574735
938,949,0.3980363826921496
938,951,0.3499265625712019
942,1016,0.28500264271867193
944,990,0.3994975958056616
948,972,0.4790016322755273
948,949,0.4434828904578276
948,1011,0.40957618141565727
951,980,0.311536347944976
951,1016,0.3325975368884446
951,1020,0.3168797325846356
952,953,0.7747471086519782
958,979,0.37660492067846585
959,994,0.2380901301209196
960,966,0.3425414048510773
966,975,0.34251382415528586
967,1009,0.3170279648481132
968,985,0.3051471159580166
968,999,0.2617822412115089
968,1018,0.24969003107067797
969,973,0.4147091407429743
969,971,0.3031914996618952
969,985,0.3449510826195482
969,1009,0.35871344367540703
970,981,0.30915431734308957
972,1014,0.32611307817910595
974,990,0.12662455439567566
976,996,0.34292710392323383
976,997,0.33934626582282246
979,984,0.3297653842994065
979,994,0.3179250200416385
979,1004,0.3736451752934067
982,1009,0.3276794101776783
982,989,0.2758378299371722
985,1006,0.23571656687415043
996,1019,0.36586590871304564
1002,1019,0.367868002746067
1009,1010,0.30149003257875734
