source,target,weight
0,498,0.3963409458766821
0,192,0.3204262241113369
0,263,0.2805119886904061
0,285,0.2887851811201326
1,91,0.9899541699949967
2,233,0.33105680236414836
2,489,0.2739856403636537
3,8,0.5768277405246618
3,420,0.3623997326747374
3,485,0.32363615119706896
4,7,0.4401139602188004
5,404,0.9858674136677972
6,496,0.38883891373619717
7,97,0.5341000762956473
7,9,0.38123924645001855
7,15,0.4226915743841481
7,48,0.39229945756560736
7,365,0.34103269868161706
8,13,0.5320542472232624
9,57,0.24550899236321255
10,42,0.5304983397920469
10,23,0.5174514072344679
11,23,0.34973883188976623
12,23,0.33672450523584035
13,36,0.4622916867197373
14,430,0.16434431076049805
15,134,0.4133566814428838
15,366,0.4139187829806822
15,474,0.31346346828606736
16,27,0.24367132986288312
17,23,0.3122094678474854
17,106,0.23455801106287658
18,110,0.2935381924471836
19,440,0.1847961819723578
20,26,0.3724346568523065
21,55,0.6330307263900965
21,168,0.22528521903045184
22,495,0.4009075219590066
22,73,0.2589935319169514
23,483,0.41146674334161215
23,487,0.3610079245439221
23,497,0.4141204863540119
24,64,0.324402797692269
25,288,0.40632685377153943
25,80,0.24627365516468944
25,98,0.39060263087998426
25,180,0.204796624568481
25,207,0.340916560961959
27,299,0.3398950120294635
28,152,0.3215548487101009
28,499,0.2133086834547393
29,174,0.20489627122879028
30,325,0.3098615505122855
31,174,0.19020993984842155
32,349,0.24024205308066182
33,174,0.19199983618303304
34,44,0.758000873175745
34,182,0.28201796731264434
34,256,0.3120251133575311
35,495,0.3967181754579201
36,37,0.4436398518463106
38,42,0.6621457506623116
39,368,0.3845645468848177
40,58,0.3352854741411711
41,73,0.20484812563813992
42,50,0.5197422306608565
43,53,0.2544552981853485
43,213,0.22670057919794948
44,70,0.18771831172924056
44,203,0.3313223400541992
45,48,0.359913751428439
46,495,0.43276115656629355
47,63,0.24217520928939856
48,482,0.28468390842615826
49,97,0.49065108885589276
50,51,0.507896802278572
50,462,0.34240963919431433
51,305,0.39617428616317996
51,486,0.30935939925520844
52,495,0.4793254070153353
52,60,0.40135445560077676
52,488,0.43417514623715464
52,494,0.3354102037956881
54,157,1.0
55,137,0.41124966287733244
56,72,0.9999999105930328
56,147,0.9999999105930328
56,156,0.9999999105930328
56,235,0.9999999105930328
56,293,0.9999999105930328
56,476,0.9999999105930328
59,207,0.27919379763071334
59,436,0.1970936468613484
60,117,0.25952335090012235
61,62,0.521926224251992
64,94,0.335393662751552
64,112,0.32947671645728555
65,269,0.2660644262601347
65,415,0.22634054928437
66,428,0.27232533889028354
67,165,0.30689537795961697
67,111,0.18526041507720947
68,135,0.23653131518556997
69,463,0.9838780986030773
69,210,0.9824907090761341
71,283,0.24411812442677167
74,202,0.34191614372013784
75,76,0.9952995168943408
75,77,0.9888036035936636
77,374,0.9498129854953825
78,88,0.9945922310993348
79,202,0.42648304286157757
80,236,0.1874465048313141
81,374,0.9308745346306276
82,202,0.23306625673795148
83,85,1.0000001192092896
83,228,1.0000001192092896
83,249,1.0000001192092896
84,86,1.0000000596046448
84,87,1.0000000596046448
84,115,1.0000000596046448
84,116,1.0000000596046448
84,160,1.0000000596046448
84,162,1.0000000596046448
84,229,1.0000000596046448
84,230,1.0000000596046448
84,250,1.0000000596046448
84,253,1.0000000596046448
84,385,1.0000000596046448
84,391,1.0000000596046448
84,393,1.0000000596046448
86,404,1.0000000596046448
86,406,1.0000000596046448
88,90,1.0000000596046448
88,92,1.0000000596046448
88,120,1.0000000596046448
88,122,1.0000000596046448
88,128,1.0000000596046448
88,129,1.0000000596046448
88,131,1.0000000596046448
88,139,1.0000000596046448
88,142,1.0000000596046448
88,144,1.0000000596046448
88,492,1.0000000596046448
89,91,0.9999998807907104
89,114,0.9999998807907104
89,141,0.9999998807907104
91,127,0.9999999403953552
91,143,0.9999999403953552
91,145,0.9999999403953552
93,440,0.311960947613078
94,460,0.340107583705493
94,459,0.3250617374538508
95,495,0.44353888456305285
95,105,0.39515634674732175
95,297,0.3812860218506237
95,402,0.24993806597913434
96,272,0.9403774823217665
96,240,0.2729569703858745
96,455,0.3427515981823238
96,473,0.20502568383752223
99,478,0.28542908764718133
100,332,0.23631734807298024
100,108,0.2330616868922618
101,210,0.42987091709920844
102,183,0.8048782565211797
102,339,0.5574265823767286
103,184,0.871109737771887
103,315,0.8682195310535402
104,430,0.1704859733581543
107,300,0.3476930856704712
108,456,0.23155113701556904
109,445,0.33824056101715105
110,113,0.38701714022492795
112,477,0.28622046884766916
113,138,0.2991388152853275
118,403,0.41103684008806496
118,394,0.38081146794819026
118,407,0.32146043370266036
119,264,0.24817719694395413
121,125,0.9895450706879887
123,130,0.9999999999999999
123,132,0.9999999999999999
123,140,0.9999999999999999
124,126,1.0000000596046448
133,447,0.19917676378325894
135,183,0.46512710577089234
135,205,0.4074726531467411
135,429,0.3834937290904296
135,511,0.29336111897719486
136,384,0.3876224624132329
146,422,0.8833328509859393
148,211,0.2747236083981112
148,198,0.23437597810588018
149,356,0.24297495941209857
150,324,0.4082017712738993
151,166,0.37691527178141826
151,153,0.2356484979391098
151,237,0.33287533531067337
151,311,0.3065543305355368
152,299,0.3529597205850992
153,194,0.15725621581077576
154,163,0.35780550095152514
154,161,0.3222491227233051
155,350,0.3994407878993278
158,206,0.2801853665052612
159,164,0.41191841328145473
161,329,0.29429894762727316
167,350,0.2317271982230789
167,398,0.20227694710899843
169,372,0.3177078025060267
169,222,0.2786227910890736
170,218,0.25094376355917514
171,324,0.43347056272713635
172,292,0.3810805845540083
172,176,0.3238686477458678
173,264,0.27033325310950784
174,313,0.26805346857209217
175,284,0.3299630819548758
175,388,0.19298315562293106
177,215,0.5066778285841407
177,218,0.3683199810681229
178,487,0.2046110553051334
179,443,0.39262708966801874
179,310,0.2584860263531929
181,292,0.24036267711268502
184,343,0.849621143857065
185,300,1.0000000596046448
185,408,1.0
185,418,0.32169269110184096
185,465,1.0
186,190,0.5016061636302244
187,380,0.968554219169489
188,381,0.9375315212998502
188,410,0.9371977054867856
189,204,0.34026258413873356
190,233,0.4171750469943621
190,351,0.32104316086641826
191,324,0.4275346597926827
193,215,0.2862210381491429
195,463,0.27302617260584205
196,219,0.15210963785648346
197,510,0.2832061411621711
199,223,0.3730128336162716
200,443,0.25510249626871273
201,426,0.16968909440317617
207,244,0.22219283477130083
207,435,0.263221563958136
208,509,0.1712571382522583
209,452,0.5153140194637142
209,401,0.4247745541104675
209,454,0.5067597503546168
211,422,0.9223740314562165
211,234,0.3110952683865245
212,446,0.3324662446975708
212,232,0.2634851932525635
212,258,0.26966148614883423
212,434,0.18129053711891174
214,271,0.40165717972208115
214,317,0.2283464653069438
215,227,0.2830324798823277
