source,target,weight
0,14,0.6633195758306012
0,2,0.2958967504662986
1,144,0.39486760937024984
1,170,0.20655049987302432
1,398,0.24936208743969945
1,463,0.21202772626737126
3,210,0.2807124187439919
3,343,0.27167312478427214
3,491,0.2748389313251097
4,5,0.268543952609543
6,557,0.30331695575825024
7,527,0.2725422842573257
8,328,0.2056683143595932
9,576,0.24528968736720824
10,46,0.4927967816490826
10,12,0.2878791093826294
10,19,0.3891215280186514
10,66,0.3776405578287588
11,46,0.22842650954792842
11,285,0.18862031553507252
12,23,0.16884392499923706
12,25,0.2354651689529419
13,45,0.2055302606563473
14,429,0.3303634574721136
15,146,0.4946163897696998
16,283,0.37399043580337443
17,267,0.23532563387874958
18,293,0.3216534086934517
18,73,0.31494125723838806
18,267,0.3017079945281926
18,269,0.24655012489117656
20,307,0.38995759793730345
21,121,0.2005465179681778
22,87,0.16772514581680298
24,531,0.4005202460734788
26,28,0.970414000937661
27,134,0.2499288765917282
29,390,0.36192346495410155
30,82,0.3914217739544201
30,38,0.22201334772619757
30,216,0.36487980243547213
30,296,0.24000855078506012
30,394,0.32615438360713683
31,127,0.3950385501116384
32,204,0.3006033944725447
32,277,0.2527775822313908
32,473,0.28613969730518196
33,157,0.1937990191680657
34,268,0.2851072551240536
34,84,0.2845513796504311
35,37,0.5705665216399058
35,261,0.4303443727696089
35,478,0.31996949322633617
35,515,0.25723775134154714
36,349,0.23544035633449736
37,40,0.39656347590064067
37,41,0.44687758307354264
37,284,0.4545015925491587
39,256,0.3286995783078567
40,56,0.2744067920533066
40,93,0.3491823030974216
42,43,0.23987141805852338
42,63,0.20969106825463188
43,247,0.2885388000622252
44,46,0.6271583977475306
44,231,0.5175562593367307
45,231,0.3519127909814398
45,47,0.20667637884616852
48,413,0.26048772547500726
49,52,0.2699001204590647
50,160,0.35941923013987503
50,103,0.3074243517713562
51,390,0.32277488229003687
52,61,0.236005155008063
53,331,0.2842551557896957
54,71,0.264298530264699
55,72,0.7526296711676355
55,325,0.20789362490177155
57,308,0.3500976488836669
58,286,0.21903338698616942
59,79,0.29384597618410624
59,88,0.28665969098409455
60,154,0.2354199196300828
62,210,0.2752698547993778
64,490,0.33196229788295994
64,220,0.2709375531422763
65,572,0.2612314441085012
66,281,0.2727852105286072
66,525,0.22182512283325195
67,115,0.3153742124807118
68,575,0.39110452680411434
68,114,0.3302274727821573
68,412,0.2654692482719928
69,189,0.14802426099777222
70,391,0.3993328329328416
72,391,0.5994850391917179
73,338,0.27799959020063264
74,144,0.24218555366245859
75,346,0.35940833989796883
75,258,0.28835008619761054
76,231,0.32297906279563904
77,245,0.2929729224193892
78,142,0.2828545846474528
78,98,0.15862733125686646
79,160,0.4383322749439915
79,140,0.37169212546380087
80,391,0.22755014896392822
81,160,0.3450304733276781
81,257,0.24820913829463134
82,283,0.4008102604922277
83,569,0.34213508332175735
85,146,0.27312673942062327
86,528,0.1654236614704132
86,404,0.14338460564613342
87,482,0.27768850973470555
87,131,0.24147651644991405
87,376,0.2184855274238815
87,516,0.14858213067054749
89,137,0.24468191002793865
90,407,0.3170175171895123
90,313,0.26100693254808427
91,155,0.3141836860322038
92,207,0.3089701502927845
94,453,0.31213238829608836
95,100,0.39511879628859026
95,123,0.32508674289981465
95,476,0.3287769946226641
95,559,0.2809568375054908
96,128,0.3863836781265873
97,284,0.2774447872712692
99,525,0.15256592631340027
101,308,0.35059844737728924
102,105,0.4311785862978468
104,115,0.35443347356238114
104,340,0.3318567140197593
104,551,0.2868916712569103
105,116,0.4275136164754053
105,351,0.29296680638708594
106,136,0.3446517980337487
107,173,0.5022262462806646
107,303,0.39353829451431627
108,118,0.3217625352967013
109,560,0.3805568119879487
110,116,0.35429035744893467
111,141,0.29888783681595027
112,147,0.5174271834408337
113,501,0.2534315841253695
115,125,0.5572631319989152
116,373,0.25995915827793
117,154,0.35709466380386023
118,196,0.3900672545226884
119,273,0.16086681521646723
120,162,0.38647065373992384
121,253,0.5327028795144388
122,162,0.4468603226409461
123,282,0.2853102376359699
124,129,0.42940041920283567
126,130,0.3034926071529847
130,349,0.3455033647942055
130,392,0.3163225151010163
132,390,0.1830916702747345
133,214,0.33377897494054415
133,454,0.24141308943660994
134,193,0.26647688483116727
135,152,0.4423444224219839
136,209,0.3514240238391178
136,138,0.17033115305363297
136,472,0.23850102834497272
137,144,0.7110213981631194
139,148,0.42800234438467843
141,321,0.42531203404637663
142,200,0.502717299751054
142,167,0.4400885019876868
142,172,0.4284309282958624
142,212,0.21352443466427512
142,301,0.2109029913277045
142,385,0.3694913300583679
143,175,0.46999113096392875
145,452,0.2953738907224663
147,215,0.5993665384600186
147,187,0.3682699610200906
147,229,0.44502614151472675
147,234,0.37594838197998126
147,555,0.4363895181291947
149,210,0.396340677359496
