source,target,weight
0,900,0.3107621029319351
1,130,1.0
1,307,1.0
1,540,1.0
2,1104,0.1628726247737553
3,626,0.25728512845222107
3,4,0.167848287575647
5,533,0.2550391364193446
5,865,0.23380616514291155
6,233,0.22095521828647396
7,719,0.3801489989567953
7,167,0.2598000622362957
8,376,0.30166519288422905
9,653,0.22555309886682867
10,837,0.2582809682890622
11,100,0.3796555577563735
12,918,0.2567467154740718
13,67,0.3919278886358089
14,120,0.3301502125117487
15,40,0.3169740308343207
16,18,0.48166483462552534
17,168,0.852742612754951
17,136,0.2766604874107698
17,652,0.49326326171310264
19,177,0.22554793242555166
20,28,0.3342853702485952
20,77,0.3313090691281851
20,832,0.32474519915778616
21,49,0.30150651733835643
21,917,0.2123302158130046
22,69,0.3323726286338856
23,343,0.35492450805802284
24,818,0.2955374769223358
25,516,0.5131166258627243
26,74,0.5140777782243062
27,84,0.4294880619846944
27,75,0.377852184423098
28,526,0.25228432991348754
28,1028,0.22698512879150867
29,767,0.2999642444858412
30,773,0.33759113408884567
31,1006,0.6507805614465875
31,78,0.363496390276974
31,627,0.2657908821464119
32,437,0.21655691145757633
33,102,0.39589785703254304
34,514,0.26500749908400884
35,725,0.35277368366541273
36,140,0.42255176573548203
36,608,0.3976142384750616
37,901,0.16719244420528412
38,383,0.34222727316053636
38,582,0.301575717843253
39,665,0.2657952851398412
40,55,0.8237995321913829
40,904,0.2873877213374062
40,1020,0.29525104264834434
41,42,0.5834921587103179
41,722,0.2008670579728819
43,67,0.3593552069667987
44,432,0.1357465386390686
45,63,1.0000000596046448
45,359,1.0000000596046448
45,386,1.0000000596046448
45,748,1.0000000596046448
45,749,1.0000000596046448
45,831,0.8637553413347245
46,360,0.23289858736510657
47,102,0.3382644157952641
47,1037,0.2881258080186551
48,1074,0.25312867428469954
50,68,0.39280104099680335
51,961,0.30068967476229724
52,99,0.30441944969699275
52,908,0.293783263377747
53,1111,0.35988517407256615
54,112,0.3787346190897515
54,1086,0.21140025556087494
56,532,0.3021817049963018
57,101,0.46622948842523865
57,68,0.4176169297378597
58,884,0.2748092356510913
58,327,0.2468772082626302
59,114,0.3642459988428812
60,1019,0.3067386191545521
61,110,0.3565289187420814
62,99,0.3443133816042973
63,171,1.0000001192092896
63,173,1.0000001192092896
63,740,1.0000001192092896
64,863,0.22560585248870474
65,121,0.4385566758132928
