source,target,weight
0,9,0.32534567398505493
1,24,0.5125453911648306
1,9,0.38482151878632403
1,10,0.43326618981400966
1,28,0.3360852876808604
1,30,0.3727207156535522
2,9,0.15715779156687232
3,10,0.34894325777531887
4,13,0.2502332834441028
4,6,0.18782906234264374
5,16,0.30365344520868925
7,8,0.3145969123296783
8,11,0.3233763473956495
9,29,0.2281008354129675
10,13,0.39701330634819854
11,12,0.33305423871915524
12,21,0.34627195435303526
14,15,1.0000001192092902
16,17,0.3732034596302763
16,22,0.3001530244690128
17,18,0.43970252531550924
18,19,0.33799596851306424
20,22,0.26573676724886
22,23,0.22568719294406525
24,25,0.5527377927699888
24,26,0.2789860068822445
25,27,0.26694490683179584
