source,target,weight
0,380,0.38609561053803987
1,611,0.27887905320996287
2,563,0.32335466071618146
2,552,0.2781562844611233
3,439,0.2539634354675629
4,667,0.28644176605678706
5,652,0.24813802340380262
6,304,0.342769850147624
6,273,0.3050183140390362
7,702,0.25859718374342844
8,344,0.27531310601434883
9,160,0.331554397540927
9,313,0.3202164572230297
10,42,0.49158512102397117
10,27,0.3456424792181287
10,70,0.27167057117434024
10,585,0.34350689354009245
11,66,0.5645464532258339
11,143,0.3494737086727334
12,118,0.31998062935622473
12,426,0.31054561916104184
13,405,0.18334726989269257
14,455,0.24089618949883826
15,52,0.36928000364959235
16,136,0.9999999403953552
16,725,0.42358609931599456
17,622,0.27107049633027963
18,52,0.3983889849938167
19,147,0.2634668726779321
19,207,0.24196919897969377
20,213,0.30344726939074573
20,63,0.1877673511610176
21,703,0.30433583198910064
22,214,0.43091687559360636
22,61,0.30559697955150283
22,431,0.2927308333705703
23,140,0.32509151060626285
24,259,0.3501275885148269
25,643,0.286253728173522
26,752,0.2129155993461609
27,218,0.20954567446947242
28,257,0.4218343948836158
29,506,0.29629972962682205
30,497,0.35358732445186525
30,67,0.3477573635823584
30,650,0.3489692872469805
31,161,0.22130100496843924
32,87,0.20969605473293196
33,485,0.3829337474134036
34,538,0.23863689211273814
35,641,0.22673644158647963
36,301,0.5025786035346077
37,524,0.31057162843064967
38,189,0.3515353120824427
39,120,0.2023768365555872
40,116,0.31790512721260167
40,592,0.26439727165506016
40,601,0.26870316432022123
41,147,0.2537863078358733
41,270,0.21781074107386977
42,46,0.5301099071891986
43,752,0.25187987089157104
44,588,0.3733765091227495
45,86,0.3822311051651667
47,576,0.4778279657317748
48,585,0.3020033878837115
49,375,0.2494449989851385
50,425,0.3406382926652584
51,139,0.23571883201496785
52,53,0.41005044776891325
52,615,0.37562856441908
53,215,0.36542911566962466
54,330,0.25531164212535307
55,513,0.371821705153556
55,471,0.26454086647046554
56,570,0.5317627077410607
56,284,0.323142180975586
56,534,0.470066289147569
56,540,0.3745478948624932
56,590,0.5071133485417619
56,709,0.3871692806246656
57,625,0.40420325162618687
57,106,0.3245786107135728
57,361,0.28373463398038873
57,484,0.36702891626173684
57,759,0.39757875155844963
58,528,0.27806951662996304
59,610,0.2155959682303006
60,146,0.3770818492570564
62,404,0.412717622148665
62,625,0.40861709537527185
64,441,1.0
64,305,0.20484848170527215
65,204,0.28747235116337483
67,684,0.2725651915644406
68,384,0.2938834728090687
69,501,0.3422260774139124
71,764,0.25355576880784203
72,575,0.2754068071620564
73,234,0.2918945460581687
74,615,0.2861657945756071
75,231,0.3155912742549625
75,330,0.29174246360185685
75,438,0.260648532634829
75,459,0.2978823619811487
76,326,0.4164373715381828
76,120,0.34561175376222414
76,150,0.3122235367678978
76,408,0.37625224878345853
76,662,0.38794089403512905
77,759,0.28511354357142576
78,384,0.2262885935693369
79,432,0.42266233481337956
79,169,0.3703357279540324
80,579,0.7014774329258102
80,314,0.5588410594453603
81,285,0.29294381329277647
82,404,0.3300358795283194
83,640,0.22026735833563377
84,613,0.2169389256888903
85,608,0.3765867295070798
86,95,0.398686437703092
87,609,0.3945871276136713
87,516,0.23209979272737696
88,121,0.40420650456307644
88,156,0.36076122001868044
88,209,0.3485902130564469
88,252,0.24951978754055928
89,254,0.25117637756723604
90,121,0.23881177951178661
91,123,0.30658892627374673
91,168,0.3045657788587792
92,96,0.5821463469919491
92,111,0.5011494489425207
92,170,0.48056490444000055
92,181,0.39643299453041003
92,341,0.4252312815553756
92,690,0.5602220459507843
93,248,0.21854621296668392
94,576,0.3672865743265737
95,237,0.4058003178955366
96,349,0.5852582125172656
96,239,0.4427468219176002
96,395,0.408003846678823
96,571,0.49072744781786837
96,730,0.440919354153405
97,205,0.4000816348482261
97,268,0.3057974807198983
97,649,0.36921948860862147
98,545,0.21128846814972102
99,484,0.35557089856371304
99,234,0.2944081210875286
100,662,0.380686868231239
100,164,0.353198059511922
100,373,0.3078619803116027
101,598,0.2705503480651052
101,697,0.23344269211159716
102,750,0.3187370787183598
103,121,0.44832665836522867
103,265,0.36367177469711803
104,179,0.39893223212480255
104,184,0.31041563132409067
105,394,1.0
107,667,0.2973511963630794
108,179,0.4499547431057439
109,178,0.32785122225611013
110,536,0.322130244396514
112,649,0.2420176274262243
113,697,0.1726411308779193
114,133,0.2639741398884999
115,429,0.30346732151979694
116,134,0.42863867486283536
116,727,0.3804640352242621
117,293,0.2730979133883814
118,670,0.25903270433951814
119,598,0.19193655252456665
121,179,0.4489440579376871
121,258,0.28547540428973617
122,607,0.1820498534356346
123,455,0.4627493404207497
123,146,0.4069373986849372
123,309,0.4313353658004734
124,446,0.2801090438380037
124,233,0.24107658766476497
124,250,0.26975735666451206
125,302,0.32278639430627115
125,127,0.2937561090420174
125,631,0.22360374756762674
126,155,0.27248767018318176
128,178,0.29160159277227204
130,325,0.18486658570892958
131,336,0.25872895295049464
131,154,0.2502213449296352
132,336,0.3193205831154572
133,434,0.3470907651639835
134,454,0.26555899362814256
134,466,0.34887166207925335
135,656,0.2755476449330485
137,508,0.2380290438023307
138,410,0.20755809591338814
139,501,0.3271162965217702
139,575,0.30260060316908427
139,651,0.32139689943355426
140,146,0.37099703554468666
140,456,0.3679208377497863
141,527,0.3213992989667187
142,336,0.4062570120125648
142,175,0.36400314950639023
144,212,0.30097338219325137
144,545,0.2207549932763817
145,286,0.40589886034726086
145,276,0.39354207169695443
145,372,0.3321792214298455
147,538,0.2698234821448564
148,285,0.3969046145706217
149,640,0.3073070658234785
149,221,0.30407822337807633
149,610,0.2696583342347526
151,153,0.29374894061192053
152,508,0.3486365812991351
153,481,0.32010632605367895
155,242,0.3314226880237064
156,316,0.3050517467526195
157,257,0.3092967254842489
158,343,0.3057295915132319
159,180,0.3961184811516262
159,188,0.23109847706914105
159,195,0.23281678557395935
160,464,0.9543314278125763
160,369,0.3928383592534969
160,402,0.41521265447184874
160,603,0.30795589589509914
160,746,0.4154442882534034
161,375,0.256794373017072
162,640,0.26045555852905133
162,467,0.17754540937037316
163,223,0.2551294653697468
163,452,0.20121079409153508
163,612,0.22695987949131544
164,319,0.3298067021497738
165,195,0.20766565203666687
165,677,0.13460291922092438
166,300,0.34183856667204504
166,246,0.24697329075170293
167,212,0.3728929012779768
169,443,0.24644186942794882
169,671,0.24161168106428743
170,763,0.29463038143924875
171,511,0.23125250909530065
172,723,0.40242858771792456
173,308,0.8025750303039457
174,416,0.14309361577033997
176,759,0.34559473101077326
176,261,0.2708514816361175
177,415,0.3701619625854117
180,275,0.315828497879237
182,403,0.35315854559986537
183,247,0.46087665283791557
185,238,0.4220222476931733
185,204,0.3716836992668247
186,455,0.3184610934400217
187,563,0.20942287147045135
187,493,0.15384900569915771
189,290,0.42519135300267263
189,358,0.3147705569596383
190,446,0.38403443681797134
191,659,0.24661851905256327
192,255,0.23785299876496904
193,304,0.3974153497014079
193,343,0.3641408919186084
194,263,0.3759282709341141
196,687,0.46071369739938267
197,528,0.35487444225790005
197,241,0.3367635368679952
198,259,0.29653584960236723
199,391,0.3233815806666458
200,679,0.24852167367448214
