source,target,weight
0,63,0.1363126712117112
1,52,0.23880543356229125
1,2,0.20844246989993154
3,72,0.1820621452668377
4,6,0.9999999403953551
4,5,0.3649260083458722
5,34,0.2933475087945896
7,73,1.0000000596046443
7,76,1.0000000596046443
7,84,1.0000000596046443
7,101,1.0000000596046443
8,75,0.25660465584667047
9,33,0.33125136223459145
9,27,0.16734992031705714
10,57,0.28534355232914244
11,82,0.4578565076505645
12,30,0.34992349855053595
13,89,0.3985105738222965
13,43,0.3649756829529782
14,79,0.5170068207686491
15,20,0.9178846786231505
15,39,0.4823602883568043
16,51,0.3758259172478013
17,77,0.3412258268003107
18,41,0.30854072293832285
19,56,0.3191847814953546
19,83,0.2537613729573793
21,52,0.46927000594464785
22,79,0.4059654717275509
23,75,0.20170336243801157
24,61,0.45303065923072594
25,46,0.476547505352223
26,64,0.32316614115008013
28,40,0.3893731212021329
29,72,0.15109252225770808
31,46,0.5027717370639073
32,46,0.324567627494953
35,36,0.31942265176235507
36,38,0.3489957279750138
37,57,0.20020700239215306
37,93,0.12465553357587146
38,82,0.5072218672842295
40,79,0.43809808408891293
42,98,0.11210293483997304
44,86,0.15913475569238147
45,65,0.3287809868740869
47,88,0.5889546261086166
48,54,0.5173868446733088
49,100,0.4847899167707672
49,80,0.26006707160097153
50,53,0.3378516915878926
51,89,0.6576822273551558
52,53,0.4755187629807404
55,60,0.5482503211697627
56,60,0.5381468639986904
56,78,0.43416175789798417
56,85,0.41758261919491474
58,100,0.7437967471697626
59,60,0.5757366885187778
60,64,0.5400068483159379
62,67,0.2948937586943323
63,66,0.31811836577950603
66,68,0.4169614689124467
66,67,0.310297053425425
66,69,0.32315728385889914
70,71,0.252412445814125
72,74,0.37992916931936344
75,78,0.40621057954021206
75,94,0.36988129591219643
77,82,0.38730391829136634
78,81,0.36361881332756324
79,82,0.5294190226245775
79,90,0.4054607865510156
85,103,0.3690767644820265
86,95,0.1936171130519887
87,94,0.3007776228559062
91,92,0.7209836597522798
95,96,0.323972160554799
96,97,0.29720058059839455
98,99,0.3248158728583355
102,104,0.40117664909253176
