source,target,weight
0,406,0.35564576398883285
1,640,0.2522351453253342
1,318,0.21117124579636282
2,295,0.32737900767369243
3,590,0.1970676207230081
4,636,0.18914938621783994
5,747,0.3006682953106306
6,105,0.5121515244864377
6,74,0.4155778291708152
6,258,0.3069625288711828
7,155,0.3122640098087715
8,442,0.30434080091215693
8,21,0.28973961080224053
9,879,0.37396665970356513
9,289,0.36665201318574264
9,320,0.3018948576965686
9,460,0.27074834561894273
10,50,0.3363424321556829
11,50,0.294904721526022
12,716,0.2520583207836242
12,876,0.2199415490787066
13,207,0.26834043173504796
14,82,0.3713390726433283
15,849,0.17515493478586397
16,33,0.2737642369062953
17,928,0.38486664862121206
18,612,0.3743707835898746
18,304,0.3149727345856751
19,203,0.28663615219458416
20,165,0.25652350520162104
22,105,0.24256141207627196
22,695,0.2029637666020412
22,780,0.2298375368118286
23,917,0.324241685587304
24,36,0.30044889396700397
25,486,0.3719994131219203
25,186,0.3518293606762156
26,656,0.20272131515447867
27,412,0.3633538708603139
28,897,0.2993915083723401
29,913,0.47346101026898435
29,341,0.32916431594802814
30,123,0.38999781791153126
31,804,0.811626105500125
32,769,0.2707531357830776
32,492,0.25771741200896603
33,52,0.5125126184236144
34,209,0.3025692061756874
35,89,0.32377577856485706
35,442,0.3202578121855979
35,497,0.29444525386575454
36,794,0.3089989311062812
37,50,0.44464067615267844
38,40,0.4021945130410985
39,55,0.3246121915870984
40,42,0.5552783972308888
40,45,0.36934945028642374
41,73,0.23194991390676428
43,717,0.30735443009370317
44,807,0.32440129237268367
46,609,0.35132594986518595
47,847,0.2093829438164674
48,75,0.23820973498829862
49,80,0.34956911813054964
50,545,0.23950894263053904
51,77,0.5859062135789636
51,285,0.16827751300207655
52,929,0.20096222692221566
53,73,0.33365978697018445
54,788,0.36676715810762867
55,549,0.4286348216012522
55,241,0.24792990861418776
55,392,0.27841005269179353
56,287,0.17156720161437988
57,268,0.31371835865133424
57,91,0.23178165093175487
58,177,0.17936862544463045
59,95,0.38059303041091536
59,205,0.2857134748879743
60,420,0.25547788171291275
61,340,0.3068003838872429
62,823,0.3903503370670325
62,485,0.2409258764706061
63,301,0.3238731960390687
64,391,0.19349732205746856
65,83,0.38536818542954976
65,206,0.2882616210606169
65,386,0.30075919174887433
65,478,0.3556312652257133
65,825,0.3509884113085303
66,232,0.3311058782381274
66,444,0.25055804927495917
66,547,0.21944799490747519
66,586,0.26628691804272586
67,198,0.3246963358891275
68,804,0.4178732311763154
68,380,0.253365259164489
69,82,0.34070078907215096
70,90,0.4190835872289621
70,151,0.394726481136051
70,183,0.2708987949982027
70,906,0.31489829184635837
71,345,0.2205816524807453
72,118,0.25022461638964966
73,375,0.32594722213495503
73,411,0.2827487081886161
73,890,0.23954410469220994
75,880,1.0000000596046448
75,114,0.32774057037646614
75,118,0.6293274950406104
75,418,0.6123593785108417
75,435,0.3838881553389007
75,454,0.3675335040739366
75,490,0.4350825297989872
75,557,0.35884340880966215
75,562,0.385873900248427
75,813,0.3727442381021433
75,902,0.3890439874135768
75,936,0.4165583079172803
76,591,0.24895896080098148
77,142,0.28678848112933397
78,734,0.32435454298318156
78,84,0.28198046367494023
78,704,0.30179569848706256
78,764,0.2700335199309589
79,607,0.42890089774523743
79,240,0.17825505544585094
79,767,0.21600467453033467
81,99,0.5189689986014141
81,94,0.37641193705269144
82,879,0.37229824503487124
83,831,0.3442945589687266
84,741,0.201509727219471
85,687,0.5808874350004944
85,147,0.5477528098925615
85,166,0.27545018488034956
85,774,0.19852733612060547
86,453,0.2299669750499866
87,841,0.4107422626075071
87,917,0.3480117849783222
88,131,0.34329586786459454
89,533,0.4399317557839827
89,244,0.34535332697430726
89,502,0.2876871311874389
89,680,0.29172034269532476
90,164,0.45725683784161136
90,119,0.33413057416254577
90,127,0.35857761833886376
90,428,0.37182809667696193
90,705,0.29843576016675616
90,706,0.3322948031943241
92,928,0.46492254194793786
92,218,0.40707692957122465
92,401,0.41926332716232984
92,420,0.4161220639640446
92,609,0.4086615537061622
92,661,0.3446543896201243
92,865,0.3950896173893919
92,933,0.3030432535884184
93,404,0.37137492475151435
95,178,0.3414754676990317
95,716,0.27434481560548307
96,834,0.2937955924189798
96,699,0.2331056835594005
97,215,0.44119262260483816
98,157,0.3749873712210018
98,453,0.2668794031391668
99,403,0.26913936035714886
100,386,0.25891421194922265
101,179,0.25645016800130754
102,173,0.3244222248031266
103,604,0.28592985963141354
104,366,0.25846530114047306
104,468,0.22272653435592393
105,262,0.3714740686143586
105,331,0.34592080594276764
105,509,0.30457206641881246
106,199,0.2346855040175853
107,230,0.3560846623478576
108,366,0.23371871769574637
109,908,0.27086068063946045
110,848,0.2945108123249962
110,598,0.22105572364436551
111,163,0.2820570648452019
111,307,0.1474757194519043
112,931,0.9699046391623071
112,480,0.3097758974888798
113,328,0.3109244540586801
113,243,0.1698057671518086
113,472,0.2093613377524865
115,156,0.37691494934520386
115,176,0.18981395552954636
116,220,0.2957705083694145
117,572,0.16515830159187317
120,121,0.9670856092367225
120,272,0.6596499040264325
120,365,0.22878565306349724
120,436,0.7137395754899948
122,130,0.32573696878541036
122,129,0.21344883926921943
123,134,0.4136849752165486
123,248,0.3908826226018479
123,619,0.36699060411089046
124,561,0.2617655561923776
125,205,0.27132984413917316
126,629,0.3088124214492189
127,364,0.3118223638566095
128,324,0.336187618265675
131,148,0.3766529598680387
131,144,0.3755776681173857
132,141,0.39587307072555794
132,149,0.23589064505903154
133,139,0.28103214778949287
134,153,0.27471539795181155
134,361,0.3416000788202743
134,688,0.29246869443931456
135,151,0.23276996510584735
136,267,1.0000001192092898
137,862,0.23698751697327897
138,573,0.18773016225061284
138,445,0.1469709426164627
139,469,0.31582844742881994
140,248,0.3535916896818879
141,254,0.30143152385304595
141,633,0.38052034897957543
143,179,0.28170515369912597
144,580,0.33378400017739235
145,713,0.2910533563942398
146,495,0.3055471239742872
148,429,0.4362032989560009
148,174,0.3495297183256899
148,312,0.3870453113102709
148,476,0.37709830423681723
148,566,0.3469674204964248
148,570,0.3553233722722497
148,713,0.32605270082258186
150,159,0.22411019876320412
152,199,0.3261624577556677
154,360,0.24035875732240497
155,483,0.33937149664808525
155,371,0.2517078639584284
155,456,0.2309760009115765
155,814,0.2324881512126572
156,315,0.47002015013486187
156,615,0.34105064007229025
157,474,0.3892179669932919
157,493,0.21830742848203877
157,657,0.3017116479952335
157,754,0.38683494340676894
158,526,0.25319037084932405
159,162,0.45349067404506055
160,626,0.348945877471929
160,743,0.30887692149298895
161,887,0.29642811902828037
163,259,0.3038634614074175
164,579,0.3353018339808349
165,331,0.2731243004657735
167,932,0.2749202304944773
168,186,0.2743909145716794
169,452,0.2838451975743935
169,269,0.2825345250257595
170,493,0.18556460317566006
171,446,0.21830221227691693
172,416,0.2027662694454193
173,469,0.33692688473048144
175,609,0.314970391577848
178,354,0.3300601175049727
178,702,0.2850222235018676
179,348,0.23856027041279404
180,616,0.2731760072955175
181,903,0.19615692147807118
182,483,0.34733128386821716
182,323,0.259322348068748
182,853,0.2691505384219143
184,434,0.3482273313243913
184,470,0.2068135086487255
185,388,0.3055397856656976
185,507,0.2396809917544977
186,327,0.3309568168591468
186,357,0.26897819424006836
186,370,0.27288709078610135
186,603,0.3199398851640418
187,363,0.18405383825302124
188,332,0.45801924020951007
189,403,0.14556369185447693
190,740,0.3274988015180627
191,192,0.6469044101882429
193,196,0.3528638132528649
193,857,0.21376091394461327
194,579,0.29728107276772797
195,278,0.32167608470669984
197,694,0.822868076863649
198,626,0.3557585660254914
198,216,0.30983025581570184
198,273,0.24447971130274804
198,353,0.2912254279559754
200,232,0.37916485872119887
200,447,0.3270140731971466
200,620,0.3159850391131585
201,405,0.4233839142624263
202,680,0.23459370903122911
203,438,0.2618977618767565
204,727,0.389701932739982
208,703,0.3358177066041126
210,293,0.3323658211478972
211,259,0.2897657055250017
211,283,0.24634938471387463
211,892,0.19671798818955677
212,842,0.1969571109568317
213,214,1.0000000596046448
213,299,0.4008484001847511
215,274,0.29140395248618556
215,369,0.3217767609941008
215,572,0.2738543671706054
216,344,0.198058371574456
217,405,0.3477295781446541
218,601,0.40311204951903773
219,573,0.2273406626204836
220,221,0.9999999403953552
220,298,0.29256888356086896
220,676,0.25531840872385636
222,223,1.0
222,347,0.21686559039739406
222,424,0.26628885297710936
224,667,0.32586626788085515
225,616,0.3499832836955149
226,833,0.25415987314568755
227,673,0.2899845626374117
227,421,0.27519189448422865
228,229,1.0000000596046448
228,316,0.23241482961496732
230,834,0.3162402953104036
231,880,0.3717130496961041
232,406,0.4214158249168351
233,281,0.3073483991571665
234,698,0.18664872646331787
235,396,0.33959115158193365
236,868,0.26777356664748775
237,284,0.22933270298004954
238,239,0.3517343808402327
239,246,0.287306123793238
242,428,0.2931476964544693
245,450,0.2582604925487026
246,303,0.23626011486493945
246,391,0.20898154015256348
247,461,0.5903963132719776
247,440,0.1888243556022644
247,709,0.19810147937388228
249,452,0.44541399212509675
250,540,0.2754772050454919
251,293,0.30286304294196387
252,646,0.3053630542178697
253,732,0.2951979057996549
255,865,0.23485968398506743
256,420,0.2531826572588496
257,891,0.3180653240177985
259,811,0.26046218077864786
259,864,0.25426951782419865
260,396,0.2721894779099198
260,317,0.11022810637950897
260,352,0.1971668303012848
261,288,0.2622644200563041
262,263,0.3595818011428944
262,410,0.22082953199582156
264,621,0.2793399454164014
265,293,0.4237506966278204
266,664,0.2787124175718544
268,404,0.33529772855364026
270,271,1.0
275,614,0.24132076005984826
276,428,0.28218222844552443
277,340,0.20929555606624345
279,405,0.40613415592698293
279,346,0.30272158445550856
279,565,0.3668252941092347
280,392,0.21199112871191092
282,601,0.32466313117757145
282,691,0.30167812812301814
286,465,0.27126682486385
