source,target,weight
0,1,0.614489713169718
0,136,0.2370160539124039
1,2,1.0
1,3,1.0
1,46,1.0
1,173,0.46958438146417675
4,5,0.2390983582629683
5,101,0.3085666980710126
6,7,0.3923873093703528
6,64,0.19070906269640775
7,8,0.3913042292176455
9,13,0.5976140621974124
9,24,0.42273424951303334
10,25,0.44625714828773744
10,11,0.39003655054659375
11,17,0.29182690587201887
12,130,0.18373803069626668
14,60,0.39726523153613047
14,28,0.22143146395683289
14,70,0.20678787393384543
14,143,0.16969040036201477
15,69,0.3818583774245612
15,71,0.16481929934835485
16,77,0.5313935507179999
16,30,0.4920595565577274
18,19,0.41091909615939
19,121,0.36823505419630476
20,29,1.0
20,73,0.6292159605851403
20,161,1.0
21,50,0.1482139527797699
22,168,0.22936936046905476
23,33,0.26311315727721785
25,92,0.44882509352329836
25,32,0.34462539805832526
25,56,0.34985838244952916
25,108,0.40654362751685796
25,140,0.42418873158741544
25,154,0.4397143598062649
25,158,0.39881429755598097
26,62,0.40989833484785076
27,108,0.3941412958836374
27,49,0.318372753529919
30,94,0.255472470741287
31,32,0.3129933049367979
31,160,0.24984248536299702
33,40,0.2845536362493779
34,56,0.3431024229184187
34,47,0.3245388306900173
35,38,0.5415019012472178
36,170,0.324477126442494
37,67,0.4731178911464614
37,182,0.30939883753603115
39,169,0.29468920778660745
41,113,0.2259017921269677
42,98,0.20127357628948955
43,164,0.18719586135432617
44,155,0.254503458738327
45,180,0.28107452550202816
45,84,0.18486627180181076
45,179,0.2561817875137906
48,162,0.6503838049914051
50,178,0.2648893772923207
51,117,0.3728170120237465
52,108,0.39756931278613294
53,61,0.21598726454236047
54,57,0.3796993781082382
55,88,0.31454174821737146
57,146,0.4328299444108953
57,86,0.4285845337321432
57,138,0.3019511914141876
57,165,0.3237370258787856
58,75,0.3853603585903692
59,96,0.21465793579321282
61,171,0.2615944020044406
63,146,0.3460049961477313
63,79,0.2972838365229903
65,181,0.33660082737559527
65,163,0.1770897708943851
66,98,0.15764003992080688
67,184,0.3809213720091631
68,93,0.3457994766253232
72,183,0.2124896544595024
74,147,0.3932360903565751
74,176,0.3565182453743878
76,166,0.2410470169755185
77,152,0.4165347277423
78,92,0.3287007134257424
80,92,0.4496465186068339
80,91,0.4038778243645077
81,83,0.3054352151191813
82,102,0.31546790657891144
85,88,0.428103198912138
86,168,0.33119099144824743
87,101,0.4259086375164526
87,104,0.3401126508811324
87,113,0.3066813079024489
87,174,0.32450333261166386
87,183,0.38756194398095356
88,92,0.4285135178694624
89,176,0.2614147685658027
90,154,0.28390022100205103
91,106,0.3014507667909466
92,170,0.33957826475656927
93,169,0.35356707178979807
95,138,0.13136229106256808
96,135,0.4723256244834116
97,180,0.37711399851206306
98,99,0.6358520783082423
100,182,0.2521520388883412
101,116,0.4303027611803222
101,103,0.37947182344851604
101,145,0.13553191745055085
102,107,0.3421830201694409
105,113,0.26040126136601244
109,150,0.39812684017331085
110,114,0.3724413016056623
111,150,0.2848704183723274
112,157,0.24335808883024768
112,175,0.21627910916375956
114,117,0.4215455463365225
115,120,0.420767229908965
116,128,0.34923141415469233
118,147,0.3431372519840915
119,120,0.32524275654823315
122,135,0.46142816282012356
122,127,0.3159519303940831
122,188,0.19320854649394784
123,127,0.3143768467793431
124,131,0.34425757447601857
125,148,0.19553624044262996
126,146,0.37872506669450967
129,130,0.4218839814351889
130,177,0.46665482805319886
131,134,0.4548525510357399
131,132,0.37105246621553456
131,133,0.40261005850909726
133,137,0.34599246223671154
139,159,0.19735857461200745
141,144,0.29697165623781463
142,172,0.3566432002225328
146,148,0.30154273022298017
146,167,0.3875532068110898
147,149,0.30656037541643355
151,177,0.5466617586766827
153,157,0.3182595213147774
156,176,0.3281428986922738
156,159,0.3206106345891968
164,167,0.37701337258049494
177,186,1.0000000596046448
178,187,0.35155634646460965
183,185,0.3633513793722789
