source,target,weight
0,171,0.2527594249354265
1,12,0.27538294570808625
2,73,0.23857843373809717
3,193,0.18712050710374642
4,152,0.3569291469586757
4,311,0.16291420775321142
5,11,0.3259795088247103
6,7,0.4788789928616146
6,31,0.4132165928565534
6,55,0.4616696633635173
7,69,0.48598994518486704
7,34,0.42207559371229575
7,61,0.46260469262770426
8,83,0.5324956603673392
8,78,0.4141648179815349
8,152,0.4538393357800289
9,32,0.2976005023887197
10,50,0.4380906214492384
10,35,0.3176161593616799
11,155,0.5791644034286851
11,12,0.3752377144043312
11,32,0.4588884904869158
13,18,0.46191830541146967
13,43,0.4593517398026157
14,172,0.21811506109543258
15,58,0.5653874077445044
15,44,0.36033776909930554
16,53,0.4131133857389413
16,85,0.15281899440675545
17,62,0.4527008825377711
17,30,0.4003649832713297
19,39,0.40859170053797533
19,268,0.12114300066682358
20,133,0.31676420917674697
21,50,0.4298361113100197
22,23,0.4155794989776957
24,69,0.4313476640625864
24,95,0.27946505887457246
25,47,0.34111765719467274
26,59,0.42858853321539947
27,39,0.40640477564788174
27,64,0.25704939711776487
28,153,0.9999999403953552
28,42,0.3010390250880971
28,150,0.29603189722793655
28,299,0.45331246045476026
28,310,0.4665979600763188
29,47,0.25230075608060876
33,104,0.41655090101530007
35,60,0.2522611126889202
35,209,0.2307902649807238
36,58,0.45799983497897057
36,56,0.4129843921554623
37,97,0.4016896190504139
38,83,0.45930672402430883
38,39,0.4186474136468106
40,79,0.28923542510191486
40,287,0.2519173651695914
41,62,0.4794545749114558
43,53,0.4256632838927681
45,238,0.433399165929286
45,127,0.2777270985492784
45,139,0.35277727505742484
45,232,0.36018403178048
45,300,0.21713034435269757
46,70,0.23354972592953202
46,318,0.22627845406532288
47,99,0.34585969052969223
48,59,0.4622692933604343
49,51,0.35241494482569663
50,69,0.4853796942977849
50,104,0.4458848237223034
51,75,0.24508486702602497
52,167,0.3138261642191631
52,101,0.2828826495484955
52,163,0.20614483952522278
53,302,0.268676413359125
54,131,0.19365896285104123
55,77,0.26126793094519285
57,211,0.276503801538033
58,59,0.5092317854186309
58,65,0.4496324814888726
58,72,0.3854681464816379
59,63,0.42102794223357076
59,91,0.47522652737545734
59,97,0.45068433933845276
59,277,0.37947451573965474
62,69,0.4802278930314293
65,224,0.3292344657665501
66,159,0.18784307739661557
67,257,0.25563547995578983
68,75,0.19814089079644623
70,164,0.16120315965550575
71,83,0.3597468838951509
72,174,0.17268838702228667
73,233,0.40400859178423215
74,254,0.2217959501298219
76,83,0.341761432999536
77,169,0.20203610959570417
78,79,0.36900870642702877
78,159,0.3134162294050437
79,151,0.3538321891115569
79,247,0.159144541768414
80,149,0.5177494795935541
80,158,0.2592460122550629
81,86,0.5325924461900586
81,298,0.14984187483787537
82,284,0.26838914734892183
84,90,0.48684589777147197
84,92,0.4086806414349189
84,146,0.4613461893758386
84,212,0.23807766971552896
86,116,0.4625554742865364
86,136,0.3636780962307115
87,115,0.6706744099747843
87,147,0.325184232428902
88,96,0.3870770624991817
89,123,0.6330588173422304
90,259,0.17590478793643255
93,146,0.25389132524470454
94,132,0.4917174810780126
96,135,0.23637074540398306
98,129,0.354839948799776
100,270,0.22234979271888733
102,122,0.9018687009811401
103,109,0.797020757807332
105,129,0.4407118400836921
106,120,0.3538894964960981
107,114,0.5091893507301483
108,120,0.38278476342263085
109,113,0.3319478153366172
109,118,0.4575390007337603
109,132,0.5586240803575767
