source,target,weight
0,53,0.19505098186832653
1,117,0.23223919784539537
2,102,0.3784060535591327
2,4,0.3639285933949137
3,47,0.2275892204876413
3,89,0.18665009785613046
4,53,0.2872964212289942
5,29,0.35459742913645786
6,7,0.3319872154994156
6,92,0.3191088612711511
6,129,0.30287776691417745
8,146,0.1477304995059967
9,110,0.3789389960174938
9,25,0.3285989451299477
10,29,0.31000495439676085
11,18,0.23678608634423642
12,114,0.3633878733559075
13,104,0.33553138052619935
13,125,0.3193321114683082
14,15,0.40345873177863034
14,28,0.3882130961433017
16,22,0.2614818825914408
17,21,0.3084956663692611
18,68,0.15192506558273264
19,21,0.37382036447525024
19,64,0.17676031366741995
20,44,0.4128685310389334
20,26,0.34640834638180834
20,73,0.29271150862017303
22,130,0.3071792285297844
23,124,0.2933629204529553
24,104,0.3865036019385474
25,62,0.32098457423194116
27,124,0.36498256864412515
28,30,0.3729724489592349
29,104,0.37883176463908036
29,127,0.33087162254429
30,105,0.3240214471192131
31,38,0.33211516348054826
31,43,0.2514930952331802
31,71,0.3045161234748196
32,112,0.37191026904417046
32,42,0.30406017828282483
33,39,0.3779350482190477
33,97,0.3670987911984601
34,38,0.5021829397664388
35,81,0.35337229484000304
36,133,0.21491002693353758
37,46,0.3560409103098289
37,107,0.25368877884367846
38,63,0.2984798493843117
40,49,0.3614596520841087
41,56,0.3164288951905293
43,95,0.24219293668220815
45,48,0.3754241714717452
47,114,0.2895716613245968
47,52,0.2473155534539471
48,66,0.34506315553040307
48,67,0.30951916120117384
50,69,0.2409692274521553
51,114,0.3110889275669827
51,100,0.29475828894345324
54,80,0.5363201293020378
54,77,0.4115754669585918
55,124,0.36943887629119054
56,59,0.27544777110541313
57,85,0.2955244164341395
58,69,0.30397355358163974
60,145,0.16646364331245422
61,73,0.23147871926610653
65,106,0.20760530945187175
70,72,0.2870221816418498
70,126,0.17157615370706952
72,77,0.33710624893849345
72,78,0.2239984495474041
74,124,0.1560398147472908
75,93,0.31264655422540755
76,104,0.3702292781296336
76,108,0.3067172623862118
79,82,0.3080876236944536
81,85,0.3940144687644025
82,101,0.9114628852346103
83,106,0.300582284624496
84,130,0.296175617777629
86,106,0.21135781403187331
87,107,0.18782088528789243
88,99,0.36606187790381217
90,108,0.23145752163279684
91,99,0.551756706581913
91,96,0.21426162651872238
93,101,0.9240779218039128
94,106,0.25939387991191765
98,125,0.3119329638863375
102,122,0.3980547412187092
103,106,0.4089685112845236
104,106,0.4277028543890983
104,114,0.38606356935890473
104,122,0.4060785096405505
109,111,0.340410063776219
110,116,0.39678796531655425
111,142,0.36437948130685155
113,134,0.2999480017418634
114,141,0.23302375514231352
114,143,0.35844586132422035
115,116,0.2750938312452165
116,118,0.31577792084791756
117,119,0.33032430599502993
120,138,0.31878538943464513
121,143,0.3265477029944357
123,125,0.2866087528531708
124,145,0.2718346430019286
128,131,0.3858708630481509
131,137,0.337892997243169
132,139,0.43593772526930574
132,134,0.3406343786335417
133,147,0.31273046400208493
133,135,0.26953730822159483
136,140,0.4524706301204957
143,144,0.3313950235334497
