source,target,weight
0,942,0.232229699860036
1,92,0.30859593842311656
1,12,0.1942295563893171
2,115,0.701207356600957
3,1422,0.2524948842296989
4,1157,0.27881256563394324
5,1280,0.1916998326778412
6,788,0.22438093557881106
7,352,0.33914474732116173
8,1407,0.24189666769004595
8,102,0.23776302234796662
9,1392,0.3261545505679243
10,1716,0.3874548179780612
10,961,0.20943600190893094
11,1474,0.30234490947277065
13,85,0.30146089497378437
14,54,0.3961022457399635
14,72,0.3481566539429516
14,82,0.28678701709197646
14,270,0.25275769679812393
15,195,0.2724572419564677
16,371,0.3497260985655132
17,817,0.26747688860568375
18,1047,0.4089293407841338
19,140,0.3029410455330509
20,1530,0.4161790038116449
20,373,0.34026901149325295
20,697,0.31556443394812916
21,132,0.30344660074634655
22,41,0.41328717925401753
22,30,0.3754095977793401
22,67,0.4019015895529623
22,258,0.40433555337340993
23,101,0.9999998807907104
23,877,0.2848736643791199
24,1225,0.30894825924740044
25,671,0.3127494625994715
26,187,0.36623733108234724
26,199,0.23339316457705467
26,287,0.2535034284533673
27,603,0.2017739713191986
28,197,0.38813564941547857
29,1547,0.34217227427042723
29,1171,0.3073010303516921
30,209,0.2636509694283398
30,1286,0.3607680408338552
31,153,0.4387469910099047
31,149,0.3644417699114471
31,177,0.3861124960292115
31,769,0.4030624434801279
32,1069,0.21348171348344533
33,630,0.2895452053886094
34,1689,0.22954525516006546
35,1758,0.4312721279994178
35,49,0.2798005824219939
36,117,0.3597298081350453
37,43,1.0000000596046448
37,50,1.0000000596046448
37,81,1.0000000596046448
37,110,1.0000000596046448
37,141,1.0000000596046448
37,294,1.0000000596046448
37,319,1.0000000596046448
37,359,1.0000000596046448
37,364,1.0000000596046448
37,376,1.0000000596046448
37,396,1.0000000596046448
37,398,1.0000000596046448
37,464,1.0000000596046448
37,481,1.0000000596046448
37,490,1.0000000596046448
37,508,1.0000000596046448
37,509,1.0000000596046448
37,556,1.0000000596046448
37,579,1.0000000596046448
37,628,1.0000000596046448
37,724,1.0000000596046448
37,729,1.0000000596046448
37,752,1.0000000596046448
37,807,1.0000000596046448
37,814,1.0000000596046448
37,826,1.0000000596046448
37,842,1.0000000596046448
37,849,1.0000000596046448
37,864,1.0000000596046448
37,890,1.0000000596046448
37,894,1.0000000596046448
37,897,1.0000000596046448
37,923,1.0000000596046448
37,933,1.0000000596046448
37,956,1.0000000596046448
37,968,1.0000000596046448
37,1007,1.0000000596046448
37,1035,1.0000000596046448
37,1062,1.0000000596046448
37,1080,1.0000000596046448
37,1095,1.0000000596046448
37,1098,1.0000000596046448
37,1114,1.0000000596046448
37,1159,1.0000000596046448
37,1165,1.0000000596046448
37,1167,1.0000000596046448
37,1178,1.0000000596046448
37,1206,1.0000000596046448
37,1269,1.0000000596046448
37,1308,1.0000000596046448
37,1492,1.0000000596046448
37,1591,1.0000000596046448
37,1598,1.0000000596046448
37,1606,1.0000000596046448
37,1637,1.0000000596046448
37,1688,1.0000000596046448
37,1699,1.0000000596046448
37,1727,1.0000000596046448
37,1756,1.0000000596046448
37,1771,1.0000000596046448
38,667,0.2824673040283994
39,42,0.30824731066983685
40,88,0.2843605085218214
41,70,0.2625680474782486
43,522,1.0000000596046448
43,1175,1.0000000596046448
43,1276,1.0000000596046448
43,1574,1.0000000596046448
44,245,0.25732380242807185
45,121,0.6539050579721429
46,1626,0.2274606078863144
47,113,0.21501492425071878
48,374,0.3475004515175687
48,292,0.28474793359450495
48,1405,0.24857418459067038
51,1581,0.21243485808372498
52,823,0.33742070246056666
53,262,0.25857746535405335
54,73,0.4217007892998086
55,111,0.2631020533120999
56,528,0.4409841629530388
56,336,0.2908892781936695
56,857,0.2832378961942851
56,941,0.2952007629549694
57,1678,0.5187902872482972
57,656,0.2967137386880705
58,718,0.4342010703106707
58,356,0.32881503626505315
58,1022,0.2433979734732997
59,1581,0.2590425198582745
60,306,0.21776407532664277
61,117,0.25215896149372563
62,1005,0.2696210244637554
62,96,0.2655780889644064
63,1134,0.20807907792827451
64,1427,0.448892822795108
65,69,0.2923482269243145
66,588,0.25317464171880577
67,568,0.299501420962652
68,191,0.35217006229790293
68,78,0.2863922417163849
69,97,0.32065067801535896
69,264,0.268217687296435
69,1109,0.281872954291969
71,73,0.19692626700154112
72,723,0.22447616435209466
73,746,0.21660716826931983
74,117,0.35484019807420336
75,1581,0.3691781401917088
76,1502,0.25829118513817734
77,181,0.25742539569495776
79,1459,0.3845126519769517
80,251,0.4360518777609942
83,578,1.0000000596046448
83,212,0.7227905748704062
