source,target,weight
0,1894,0.4344009516106695
0,275,0.23143976557133242
0,916,0.2861709879170756
1,1493,0.32031990307680314
2,686,0.3986898516768337
2,419,0.22750852166368454
3,307,0.5586870612516335
3,4,0.3233885182186809
5,743,0.3046197389096476
5,732,0.290624213822594
6,7,0.6925237507431043
6,307,0.5978609237975492
7,8,0.4390530062205861
9,2019,0.28324434792108355
10,46,0.31865853893085305
11,660,0.30518452135519475
12,2620,0.28010712106222346
13,2278,0.3335590850008811
14,18,0.4963510867255079
15,1463,0.28219230362015707
16,1237,0.38937168472769734
17,1152,0.3983025334099346
19,494,0.28209882527244035
20,517,0.31627708197103493
21,205,0.29150590054822534
22,1660,0.3762941109850723
23,1425,0.6588504854073696
23,1426,0.35432314687873334
24,930,0.41249816253673205
25,58,0.33234341940732104
26,423,0.42394185793157513
26,692,0.32603550862799163
27,2591,0.28122642764021066
28,1539,1.0000001192092896
28,1850,0.20533272624015808
29,1349,0.4201801823653051
30,692,0.2563775786129049
31,1427,1.0000000596046448
32,465,1.0
32,141,0.44348060452507687
32,525,0.3077640329405752
32,526,0.474697677495121
32,1036,1.0
32,1582,0.5149496328850975
32,1822,1.0
32,1966,0.7005703464177122
32,2308,0.5170578844295262
33,668,0.3115480033514118
34,84,0.3619114441603064
35,2280,0.25835738447073814
36,49,0.32884608656996833
36,1218,0.2783708195089429
37,586,0.31058792328049645
38,46,0.45343436096624573
39,152,0.42922700574861206
41,47,0.4350977162435107
41,43,0.3538896319565533
41,91,0.4273192256398374
42,1363,0.24521661453234023
43,1423,0.13494753528363992
43,2478,0.2503152654915447
44,1640,0.31807908943600804
45,50,0.4055356425946648
46,176,0.8460320216851617
46,265,0.49356203769191354
46,359,0.375614626347873
46,398,0.5131945782210761
46,512,0.3669059011337506
46,623,0.4053209143667236
46,681,0.34579691579429844
46,884,0.2846032591201103
46,1344,0.4266679732113611
46,1552,0.4206227568570228
46,1554,0.36171150312597766
46,1713,0.33670066361996875
46,2033,0.4253773373947231
46,2303,0.4222821569995015
46,2585,0.5652002284067957
48,628,0.31461163097747274
49,1823,0.39215736907496856
50,1540,0.41558981812080703
51,86,0.7160211634371869
51,116,0.648261798334832
51,1156,0.608792289781757
51,2542,0.4196321533297007
52,88,0.43325968983698027
52,479,0.3080886351428188
53,126,0.24145407923758982
54,231,0.25836682667488736
55,231,0.3320348208602753
56,935,0.6642165437270531
57,59,0.5222553234713878
58,1346,0.37355645294395756
59,2558,0.3910080252911824
60,937,0.3765934045950652
61,178,0.5127733081818622
61,177,0.45970857876992766
62,2415,0.3176978475526868
63,2134,0.47288968012420945
64,802,0.40499876891237596
65,688,0.45751057636049647
66,289,0.3639225655380056
66,231,0.34164286401570626
67,2357,0.29790386765695753
68,1418,0.355787670289057
68,96,0.21419806141709774
68,1839,0.3195243011414215
68,2541,0.3396175561558932
68,2636,0.26804201340056033
69,2506,0.35357620483775654
69,480,0.281083227674263
70,1486,0.4614008155822609
71,74,0.37285725754163296
72,1114,0.48496218092852694
72,187,0.27661429749306926
72,1080,0.21188541189096505
73,1519,0.40274810483732615
73,977,0.3421335481687019
73,1207,0.32145182546660905
74,730,0.3952734584081279
74,1556,0.3293110769372911
75,157,0.3091948819106591
76,597,0.45059005652328216
76,298,0.23311357336339103
77,327,0.6476156424538824
77,285,0.299879952250595
78,471,0.3082130548861094
79,360,0.5124267687730739
80,186,0.4133448256123377
80,167,0.35950678451343904
81,1307,0.26011182791047516
82,128,0.38621616499983935
82,114,0.36061134624396673
82,1030,0.26929973003961283
83,762,0.4264415697920426
84,219,0.3607846547821719
85,826,0.3331581157675279
86,1419,0.24881500005722046
87,597,0.30949625558277627
89,91,0.4106399778748911
90,1140,0.20379438996315002
92,157,0.2473704874376652
93,1885,0.4016718081843481
94,95,0.5797462787454004
94,898,0.3212676252812053
95,785,0.4609963632414822
97,398,0.43150669884291276
97,573,0.2602591430055527
98,152,0.3937174331915981
99,101,0.30608980479380166
100,2554,0.26003895243411024
102,1943,0.28022295479179243
103,874,0.6588789010778079
103,879,0.44984666406983614
104,107,0.47212982886919586
105,106,0.46683628620256357
106,117,0.48651706438122166
106,115,0.3704934966396996
108,1184,0.3903989280505236
109,2511,0.3532549139184351
109,672,0.25754450516661254
110,597,0.6315021386889417
110,291,0.5808829931799033
110,1763,0.4507458050131523
111,129,0.374246547043063
112,118,0.6604521540267781
113,117,0.42115632127938246
118,121,0.6087681805573838
118,123,0.4946940805984755
118,124,0.5455973133361953
118,143,0.504865767729029
119,1070,0.3053235243699308
120,956,0.30544750664497616
122,1852,0.36786851795222153
125,434,0.37262113146012854
126,1969,0.34280540171359575
127,1162,0.344234054303259
128,2306,0.41740667889191585
129,143,0.42763800169067334
130,492,0.2689799789446986
131,1467,0.39613299003246727
132,1491,0.2907803730384525
133,1969,0.25768061627923244
134,823,0.30044530139663955
135,176,0.3524671411622121
136,139,0.35209492573924184
137,1849,0.3307086096780295
137,442,0.22094475844442069
137,728,0.209480520831406
138,1118,0.39888224045327375
138,2414,0.38989848311068503
139,140,0.42824075946466805
141,999,0.35881264387911216
142,1204,0.2881758801078117
143,651,0.37904901873174285
143,1503,0.39779850374767856
144,1664,0.424225009382224
145,277,0.2653614106817121
146,1344,0.3001325779945447
147,2409,0.34583616376952037
148,763,0.31462889552476647
149,959,0.759924000294826
150,568,0.5027148215037871
150,463,0.44135885296246197
150,474,0.4842086257677529
150,2292,0.4134099789709885
150,2361,0.42128348008782823
151,1334,0.32245781767033044
152,839,1.0000000596046448
152,515,0.46163823581484437
152,695,0.3695377945621636
152,706,0.48841142404623866
152,835,0.6725648453655191
152,846,0.39520598252959027
152,865,1.0000000596046448
152,1149,0.5160817828588422
152,1388,0.48382908343899733
152,1499,0.43944393789934666
152,2286,0.41139791556901995
152,2385,0.3476338702280143
152,2440,0.4321506849165739
152,2546,0.4175908603010595
153,2596,0.49710576906867043
153,180,0.46908904914623295
154,156,0.40573377474263284
155,161,0.4249787987310441
155,1219,0.3678653344040669
157,1133,0.5365510736298611
158,1117,0.32267611755449266
159,1417,0.3241184304868063
160,164,0.44752685556897676
160,1145,0.3976902191706065
161,189,0.3273245346694504
161,196,0.4125006498557907
161,2277,0.355397733569407
162,1624,0.2630383034150577
163,171,0.8694452322852272
163,170,0.522773540365023
163,236,0.374815432513416
163,1407,0.49284905413243657
164,486,0.468749113316381
164,428,0.39523636278542856
164,447,0.3539631561111184
165,1403,0.25160976381810285
166,664,0.37359239132939775
168,1682,0.2312262322534481
169,204,0.31382994374824397
170,1588,0.47504090720388015
171,532,0.379459106479713
171,1587,0.4462741223984741
173,775,1.0000001192092896
173,752,1.0
173,2212,0.5198107687199929
173,2268,1.0
174,2549,0.41662454235533763
174,925,0.399842276939096
174,1553,0.31717810004775576
175,1295,0.4545556479581899
175,2548,0.43770388659219134
176,1433,0.2201411173741793
176,2588,0.3773433326747003
178,2156,0.2854672323117434
179,1928,0.5543098162653044
181,664,0.32113278945041956
181,415,0.2931380249220707
182,184,1.0
183,998,0.22265674769439078
185,194,0.33936420196852746
185,1297,0.25588195140715825
186,1455,0.3866184252487406
188,1443,0.31578009479443514
190,566,0.4720938307944311
191,1202,0.224755508586876
192,562,0.23204442858695984
193,1497,0.33116906401263746
193,537,0.26382413998008514
194,557,0.6288662142817019
194,372,0.5754479433226585
195,2214,0.2008628231055104
197,472,0.37216317929335674
197,791,0.2932802560370237
198,1778,0.23289008223446828
199,202,0.577487779613497
199,201,0.4100427264841456
200,679,0.3031492575762443
203,1885,0.4839868685931887
203,872,0.2486486148315451
205,2418,0.3537604487946315
206,313,0.3931330173158861
207,1134,0.4000798595775625
208,211,0.4151945444107622
208,215,0.38214702739265327
209,238,0.39203862037593407
210,805,0.28591032252478477
212,1406,0.18477554308312966
213,1425,0.4789081973008968
213,1465,0.4717591099676418
214,1213,0.3568658074223242
216,2464,0.3567257620502727
217,1785,0.34781226227524076
218,834,0.19062331318855286
219,2126,0.26023489855443377
220,682,0.3471408178289195
221,1564,0.4909275597016361
221,2589,0.33126672149299413
222,1140,0.2560054063796997
223,2282,0.43313288625165625
224,473,0.4561844055670097
224,385,0.42996828692393707
225,2395,0.3975210238488603
225,558,0.25586417145303025
226,1232,0.259687536576234
227,266,0.4730908196717271
227,844,0.4685648068538633
227,850,0.40944508605330165
228,1453,0.3643998882510326
229,1354,0.33481493893040437
230,1972,0.3272786488240679
232,2067,0.3400435760687143
233,450,0.36545727843581366
234,291,0.46207981979562834
235,1133,0.5176709773183914
237,740,0.30160506337207293
239,1493,0.25439490821086785
240,1914,0.2941557768989371
241,1406,0.29854681765334423
242,708,0.42453902457924675
243,245,0.47651049836446735
243,246,0.464429752595118
243,928,0.3389813981839142
244,462,0.41496104717218596
245,2556,0.40408667023745803
246,355,0.19771596286907273
246,514,0.34263011816036965
247,789,0.32607673197283094
248,307,0.27575190880749223
249,890,0.4428079812737161
250,1845,0.38850649917128977
251,505,0.4153926372528076
252,2511,0.6305322768877837
253,268,0.3179521435535212
254,305,0.3463747766140779
255,1894,0.3180228124176126
256,279,0.458792934854373
256,269,0.4386358103233281
257,305,0.39851643501534056
257,773,0.30348719732468477
257,2465,0.27094722877244526
258,1461,0.47210862003111426
258,482,0.2644337669924821
258,700,0.3402172261036833
259,1290,0.3954204884231993
260,289,0.5554161630144294
260,261,0.4308787378066682
260,282,0.4044654798505543
260,847,0.5252997315302214
260,1276,0.5225429414654569
261,263,0.41975071929972435
261,1835,0.26620540437792234
262,1367,0.6082557264136663
262,739,0.42733460906114595
264,961,0.3021198606021742
266,2123,0.4383760486623143
266,2349,0.291341099895734
267,711,0.23284041904944047
268,789,0.6317280309691714
268,276,0.5586073183804621
268,410,0.48307359444575737
270,1301,0.3597850941484079
271,2225,0.33353449303323257
272,297,0.32214673629151636
273,906,0.35319211645403636
274,278,0.9999999403953552
274,306,0.28892972626685676
274,399,0.9999999403953552
274,777,0.9999999403953552
274,1010,0.3966127041593647
274,1449,0.3959799321038978
274,2348,0.9999999403953552
276,790,0.38985841420877043
276,2487,0.26298952102661133
277,303,0.4793480608479613
278,2043,0.2727965966350105
279,301,0.34862787723595884
280,1900,0.3771469137652631
281,1425,0.6913471289280573
283,2086,0.36766800600208105
284,490,0.3873556849023865
286,1510,0.42876821791490777
287,288,1.0000000596046448
287,489,0.38577323133148744
287,1069,0.525956911733456
289,404,0.6272896793765624
289,437,0.4860385071069844
289,539,0.2800063904492176
289,1635,0.4733603540582756
290,1424,0.5400274018151647
292,369,0.2930203897689825
293,847,0.3739028291668954
293,799,0.19726821183788135
293,2389,0.34800104138825627
294,297,0.558183125780249
295,1829,1.0
296,536,1.0
296,506,0.9511313710252339
296,1830,0.9836133422824906
299,1537,0.4749252829455897
300,1968,0.3650788372730674
302,1241,0.37073521173421736
302,1771,0.3482338313801734
302,2321,0.3460300489827698
303,449,0.38712287422410413
303,1435,0.3018019788149027
304,2481,0.3005666056027104
305,2467,0.3265522577553496
307,368,0.40556016574657594
308,350,0.523855797866424
309,2547,0.2932454773084706
310,320,0.4262852318130067
311,2317,0.2908962627584001
312,337,0.296731039140423
312,356,0.2667181174713391
313,2082,0.44953935373319376
314,316,0.46917471905399954
314,2637,0.3230637953914116
315,435,0.4226048040274809
316,386,0.35145768481542744
317,319,0.35269540453054204
318,342,0.336096091430726
320,523,0.6428198892073442
320,601,0.37525393897645043
320,665,0.3488418272355227
320,687,0.4889764745428566
320,745,0.5618760402875376
320,747,0.40989982873926467
320,1782,0.28371321094667457
320,1963,0.25536684982019087
321,1578,0.21764257550239563
322,456,0.34578306146625326
323,341,0.5759171363729144
324,369,0.32250617461795605
325,388,0.6094869387455397
326,2406,0.3110572025681688
327,1558,0.4242896201614089
328,805,0.4264179852169666
329,409,0.38464917056078
330,353,1.0
330,411,1.0
331,369,0.4585547770459061
332,383,0.6088804277703883
333,694,0.30535431651494926
333,697,0.2998022031144749
334,1018,0.33846712753798813
334,403,0.27671888814272727
334,513,0.29979669498510364
335,339,0.35894566010541695
336,654,0.2386494745524828
337,1078,0.3349137622246885
338,580,0.24838100147500497
338,705,0.18788594007492065
340,383,0.4632814522945302
341,1921,0.5941082442406393
342,435,0.4183389201159806
343,922,0.300876437146189
344,2341,0.16790664196014404
345,346,0.4696953691622707
345,554,0.2520502669529939
347,1709,0.2577144159467479
348,1184,0.33997175148240627
348,2581,0.3003564709503729
349,2479,0.3521265953894884
351,899,0.3382398838646693
352,383,0.45246230031801593
354,2567,0.39441980244385844
357,2067,0.4537560059937954
358,965,0.4776673781130018
358,1185,0.30806503237108585
361,1272,0.22969366063427982
362,793,0.6187679908479687
363,383,0.4474913592841696
364,383,0.8002401636826515
364,433,0.37357813246449784
364,2435,0.30857636058831184
364,2506,0.41541202930295984
365,1890,0.38423583506436076
365,504,0.28423573971782556
365,1043,0.3028271400824792
366,1646,0.3899791015476027
367,2442,0.49255221082167927
367,468,0.23533357679843903
368,401,0.2500200314712514
369,446,0.4582369007698879
370,2270,0.3681075412528896
371,2532,0.2009199559688568
372,873,0.39916793393821054
373,374,0.5578182170967703
375,381,0.5299112345753522
375,620,0.2659669466384984
375,629,0.21178026497364044
376,459,0.48317620340555983
376,2187,0.2813570350080653
377,2106,0.30506336840999776
378,388,0.5879826103691923
378,396,0.3045723736234214
378,431,0.42179998800343027
379,1364,0.24009668419474223
380,459,0.46988041235989775
382,459,0.4908450691901251
382,485,0.3736501842543645
383,499,1.0000000596046448
383,384,0.6435177115774167
383,412,0.4423471038022789
383,418,0.33637601081451396
383,454,0.43284811466021533
383,460,0.35993993669489677
383,472,0.5071979892150427
383,888,0.6758862555851521
383,1066,0.5130311848937061
383,2222,0.38795545751810445
383,2402,0.40769796256112123
383,2498,0.4497830903407084
387,2218,0.3591217434256314
389,1392,0.33619423605366816
390,394,0.5058122781249009
390,395,0.42905257939512675
390,397,0.4969307618861167
390,823,0.36774233079484875
390,854,0.3730955030452952
391,2428,0.36722252328123783
392,395,0.39162224644195387
393,461,0.42033318457288465
397,1370,0.37967371274664663
397,1410,0.41452547616548074
397,2327,0.40594030680180154
400,2281,0.40894587861351883
400,1563,0.2739868875678855
402,436,0.3658482740104143
404,450,0.40766187938922077
405,2562,0.3536753970015193
406,1731,0.23939937354331725
407,785,0.32680915405825833
408,1076,0.4845905110731955
409,1164,0.38736193310595907
413,1417,0.262192459704174
414,1464,0.3502563826862179
416,2486,0.34786322280967114
