source,target,weight
0,6839,0.7037422641553299
0,6862,0.4368429558679998
0,6868,0.5297985311765092
1,2921,0.3552907457219041
2,252,0.8124756527257112
2,422,0.4739544174565835
3,471,0.4344932932912655
3,3802,0.3853919385874085
4,7337,0.40654151185496434
5,485,0.4974748998290096
6,5931,0.4326760799115198
7,9321,0.37806624842989134
8,9476,0.5340975346950699
9,7889,0.4426973963181602
9,2930,0.38183385334424524
10,669,0.4642286293034585
11,2579,0.37881833216336686
12,1048,0.33417182573738324
13,414,0.3247359033170587
14,5068,0.47405261341872384
15,9965,0.29305786824476493
16,205,0.3998790874719298
17,9903,0.3183654237925674
18,7543,0.36371119098468785
19,6085,0.30006500917123746
20,9428,0.39075905354411833
21,538,0.48434253492818347
22,126,0.45249259683192383
22,7431,0.27496995196591584
23,1911,0.28930965233500316
24,6773,0.3062982633029152
25,5153,1.0000001192092896
25,5687,1.0000001192092896
25,5825,1.0000001192092896
25,5993,1.0000001192092896
25,6258,1.0000001192092896
25,6569,1.0000001192092896
25,6577,1.0000001192092896
25,7589,1.0000001192092896
25,7609,1.0000001192092896
25,7623,1.0000001192092896
25,7631,1.0000001192092896
25,7884,1.0000001192092896
25,8290,1.0000001192092896
25,8304,1.0000001192092896
25,8604,1.0000001192092896
25,9940,1.0000001192092896
25,9977,1.0000001192092896
26,2029,0.38009959668272675
27,6181,0.4380543247704131
27,5245,0.33010443569962855
28,8688,0.33020536408497897
29,3286,0.3737863166419183
30,3936,0.3876748388798052
31,2399,0.4705414924489822
32,657,0.4063732493319432
32,8395,0.3376559450324158
33,8379,0.36302726985317274
34,2347,0.3462528188454541
35,1158,0.41810855540982456
35,8782,0.2964957639939763
36,9399,0.5435783098179583
37,1374,0.8022587542313597
37,9610,0.7575094171601437
37,9936,0.48862931874372345
38,401,0.27148530159504597
39,4328,0.43251263212427704
40,8302,0.4378942489477075
41,4392,0.19192724363962826
42,5725,0.31932496806797545
43,47,0.35812843775833064
44,135,1.0000001192092896
44,89,0.4783736227418781
44,227,1.0000001192092896
44,1081,0.4286103312701636
44,1189,0.49308709122119443
44,3727,0.39940986906231574
44,6005,0.3976575662573888
44,6139,0.38841315109203856
45,7550,0.40894299123738925
45,6623,0.3047135085189675
46,4230,1.0
46,1821,0.546914380811564
46,3164,0.7222202049083437
46,7749,0.37671461945365037
46,9553,0.3897431161522758
46,9951,1.0
47,7323,0.38162175115896196
47,49,0.3046776620633682
47,8111,0.30003407192576076
48,108,0.6397471386407845
50,7821,0.4538189092172211
50,3348,0.3708797575276535
51,5278,0.4061865771608173
52,5874,0.5886428916764486
52,508,0.33487384080798244
52,5434,0.3908703108380323
53,401,0.4134085373677944
53,1628,0.4070451452251519
54,1422,0.49451221633425746
55,9383,0.3173900842666626
56,2659,0.47458250540645563
57,7038,0.38172523578099626
57,4309,0.34158679285375754
58,2982,0.4860239363308151
59,2936,0.3575634391734152
60,6629,0.38202241504304746
60,214,0.3100650220350362
60,2116,0.3504986432069889
60,4084,0.3689835994789137
61,7563,0.17986378073692322
62,1858,0.4208888544086371
62,8523,0.35545179416828465
62,9827,0.35688373961344333
63,181,0.3946523329078176
63,192,0.371090095871824
64,388,0.49618329187296445
64,592,0.3052515483907031
65,4724,1.0000000596046448
65,2519,0.7021280675039618
65,3332,0.5257837325535832
65,5586,0.39848730470073046
65,6161,0.9999999403953552
65,6421,1.0000000596046448
65,9819,0.320300376504458
66,5356,0.408149286515227
67,246,0.38539989195405666
67,3299,0.32787122294151605
68,4057,0.435159473017409
69,576,0.39747042683348727
69,409,0.3541060183222531
69,8461,0.35978398737130096
70,1732,0.30301942339275034
71,6717,0.3199289837854825
72,3008,0.45962932601493955
72,8824,0.34243561732307887
73,4064,0.4282841096150788
73,3125,0.3729308603393988
73,3163,0.4255747224581662
73,5241,0.3630050828375722
74,260,0.3992505247233775
75,7167,0.3980480382797932
76,845,0.49201497206770783
76,7599,0.4233950156510441
77,273,0.6306969222252977
78,278,0.5323903782678439
79,1126,0.4178310816667964
79,6336,0.32799641359780496
80,2829,1.0
80,3445,0.3825970908860329
80,4703,0.44450186517771606
80,7843,0.3993248268294411
80,7956,0.39123612896496435
80,8148,0.5035115404946953
80,9693,1.0
81,7091,0.6934675029782564
81,1933,0.37445852345904274
81,4643,0.5122204980025812
82,6972,0.39451489250388283
83,2309,0.3830217012588839
84,5139,0.34787193170117175
84,458,0.30962083321637424
85,3240,0.5042267901566052
85,1585,0.4600606938508158
85,3087,0.41502980988596655
86,6305,0.34684303983037845
87,204,0.41052764466159186
88,250,0.4609738523267234
88,279,0.3723545290138431
88,8408,0.3502527998177247
90,1913,0.5945253114800838
91,412,0.491919904118183
92,163,0.39782234525529386
92,3428,0.3889983978089533
93,423,0.33967532929664745
94,7823,0.4420261856168766
95,3873,0.36092783721316385
96,2187,0.3100817301695998
97,3263,0.3706578929948503
97,2145,0.31865917612836936
97,3479,0.3576188124287253
98,509,0.30255897383996166
99,211,0.30691808462142944
100,658,0.3979173979469711
101,2593,0.45264513799033346
101,2025,0.31143266678398607
101,5745,0.3508140085203069
102,1281,0.29209918997199785
103,242,0.9289385198595463
104,4836,0.29283406640948295
105,8566,0.3001551110370744
106,5288,0.5233294776675561
106,3968,0.2981715990200391
106,4363,0.2540503205412184
107,1362,0.37054026911797855
108,602,0.6978025036701104
108,6221,0.2620264423687264
109,472,0.3449348152625085
109,2246,0.29994205116071443
110,2887,0.4426351853667219
110,6779,0.4293776571400436
111,8052,0.28497343947724807
112,1194,0.3212311285527856
113,8912,0.3625911467551705
114,668,0.44703004226284926
115,608,0.3780113794238771
116,468,0.5312914478511956
117,2982,0.38362741393314986
118,6446,0.5340091052547464
118,3513,0.33863845787964675
119,7811,0.29249843158303657
120,5520,0.36777297388273944
121,5378,0.6791316691024204
121,3352,0.49820850729387356
121,7033,0.4048072669742204
121,7806,0.43551010655738737
122,252,0.5768528340330543
122,304,0.4067591969628287
123,2514,0.37123140647601477
124,1816,0.44986854681919897
125,748,0.47535585163982264
125,482,0.40598451017488546
126,229,0.7138318462926658
126,144,0.40601484530135173
126,285,0.3973909075020684
126,380,0.5813569163458003
126,495,0.3512311607949209
126,1568,0.43868842658230334
126,3741,0.30129462595492207
126,6687,0.5500462505774932
126,9924,0.4699221263111146
127,398,0.44509833295953305
127,910,0.25398716010176003
128,410,0.8482242620267768
129,5583,0.3903032204542043
130,2206,0.3016571011088548
131,2054,0.35267450237107845
132,261,0.7868824461128272
132,546,0.7665245929919166
133,5861,0.30362910017479805
133,6338,0.28976033771164467
134,7693,0.30719815802032824
136,3918,0.533189593946604
136,1465,0.3268183866851634
136,3426,0.3388689383691204
136,4272,0.38381992490915606
136,9528,0.3813880322709705
137,204,0.4402838572243839
138,482,0.3073917894516463
139,639,1.0000001192092896
140,4047,0.6353131038553569
140,6492,0.47331363117358377
141,3329,0.44229141022258256
141,3298,0.41283879533073353
142,9321,0.3413153489871074
143,3965,0.3446198149558116
145,1626,0.5330312782602902
145,2556,0.417613934377267
145,7853,0.3066576767800278
145,8138,0.2898527796912154
145,9120,0.3136868311054063
146,519,0.44022013515073866
146,181,0.4187191875663609
146,384,0.39028681315640956
147,349,1.0000000596046448
147,1697,0.6756243094025849
147,2092,0.6724304839192627
147,3421,0.6811090394078492
147,6067,0.7140590830861329
147,7854,0.687175719362378
147,8979,0.6898318215428589
148,3390,0.51049925800413
149,6661,0.37066738452401726
150,3231,0.3498289579661441
151,5432,0.37927161592794784
151,3913,0.23941607773303986
152,8786,0.5937461888902651
153,388,0.4805610166112073
154,1954,0.3840783028783128
154,8853,0.23773848856022944
155,6523,0.45014642592982884
156,447,0.3546922200525337
157,1274,0.32689723784636293
157,390,0.3184089462656038
158,8747,0.36471828776294524
158,7467,0.25340949785086686
158,9868,0.324470610117494
159,1640,0.4524423858773736
160,8046,0.3000813910102129
161,244,1.0000000596046448
161,2359,0.5078721202497034
162,439,0.6185209936513109
163,444,0.5043634070637258
163,555,0.44302098722593475
163,605,0.48331163993371173
163,706,0.48568344790793977
163,2557,0.3916419531399591
163,4140,0.378570599237781
164,5703,0.40024717800881227
164,5206,0.34662745508003184
165,5693,0.31449265803024623
166,510,0.6668326504063116
166,528,0.45267906125774804
167,2951,0.36680520563938585
168,5303,1.0000000596046448
168,1710,0.445869719608025
168,3860,0.799885283038059
169,1539,0.45733924203106374
170,7969,0.3473596553288879
171,7462,0.5078275141458883
172,3192,0.5443602685348587
172,272,0.46976034476487044
172,4966,0.34684836298419786
173,8751,0.41858789923930695
173,210,0.4002999657398502
174,6446,0.41903420702964395
174,8776,0.26289636017876516
175,8993,0.8159683346748352
175,228,0.7276174047883446
175,2018,0.7058626937798784
175,9476,0.553294277365906
175,9862,0.7664977543010743
175,9982,0.4552207726503239
176,6708,0.4120900692005376
176,2787,0.3645239517657439
177,7529,0.560329634689924
177,265,0.4782281455543299
177,7574,0.46381455715093006
177,8980,0.3739493702505311
177,9613,0.3678376161006037
178,400,0.4640011210322111
179,9790,0.4207569538816269
180,9387,0.4446362369024969
182,1318,0.30417356430430953
183,6134,0.49320452795512326
184,188,0.3845202449156892
185,6818,0.3904474168947232
185,208,0.3703270139715336
186,830,0.7551412646784135
187,3571,0.4410998014747787
188,8357,0.4409450482299886
189,9227,0.39398844412473266
190,398,0.32967912644177866
191,5177,0.42135298663976833
193,7573,0.757073202310367
193,9207,0.4900076238453475
194,1858,0.37749072409896905
194,6433,0.33666571993909084
195,1942,0.3404627226162971
195,7583,0.25704528361963386
