source,target,weight
0,155,0.3176825964002197
1,23,0.3802996913510842
2,27,0.3694328584830008
2,146,0.1826373189687729
3,109,0.286010801237393
3,114,0.24748099987415678
4,5,0.20291432738304138
5,93,1.0000001788139343
5,70,0.2938604213451622
5,164,0.5221276611487858
6,7,1.0
6,14,1.0
6,102,0.12937870621681213
6,109,0.6850906108611327
6,115,1.0
8,95,0.3463445943473425
9,149,0.21773260831832886
10,91,0.23463950848886475
11,43,0.19148299479362257
12,47,0.17745110392570496
13,129,0.16043715161871902
15,114,0.20035134255886078
16,22,0.4248796220142609
16,57,0.19960013644592645
17,63,0.4016991728956262
17,56,0.27600067538920625
17,148,0.20069960466960945
18,21,0.41092601811340856
19,111,0.42372337454438624
20,21,0.39499772507022224
20,121,0.16392621671149774
24,40,0.1870441436767578
25,67,0.6486679820107849
25,54,0.2750850624715754
25,107,0.40074309780261086
25,120,0.3884938029460323
25,157,0.311483802119853
26,113,0.20565058420075905
27,30,0.3559414120012592
27,33,0.17366644740104675
27,167,0.22308752727656844
28,101,0.19369201936767075
29,89,0.364109908023279
30,31,0.3212718957356201
32,68,0.17461849221647668
34,99,0.2717953182351562
35,87,0.18002742881972467
37,78,0.451759050054966
38,50,0.17921939492225647
39,64,0.253584247116907
40,64,0.22362946895780228
41,42,1.0
41,81,0.6127418130974371
41,104,0.2819174822737728
43,48,0.3506637013767417
44,77,0.346461200537185
45,47,0.29252815345281785
46,49,0.3030334916331171
46,51,0.16960909962654114
47,153,0.154878169298172
50,53,0.19349567592144012
51,122,0.16613194346427917
52,112,0.20637232065200806
53,119,0.18470019102096558
55,158,0.15925008004010352
58,59,0.4949805193711119
59,65,0.3125594729958159
59,113,0.37460671368255716
60,133,0.38979854050484064
61,90,0.37757860825545086
62,63,0.5944332029140601
63,86,0.23374474048614502
64,83,0.35095607767200476
64,68,0.2818834095198294
66,83,0.22135527811220118
67,71,0.19800803478475892
68,147,0.2387228697552485
69,99,0.29820614147776947
72,89,0.16715228608985214
73,74,0.2931136785672274
75,95,0.257654124309523
75,158,0.2540279310422673
76,142,0.29030275344848633
77,152,0.18997684077909083
78,138,0.2964559818385908
79,169,0.5280985704474094
79,166,0.49331023328856466
79,168,0.3560319125900905
80,150,0.28696328193972404
82,101,0.30121600798781967
84,128,0.2951132278915911
85,95,0.24017851669104653
87,100,0.9999999701976776
87,106,0.9999999701976776
87,163,0.2221355130705811
88,90,0.7444465196090528
89,134,0.2152476812568821
91,117,0.24470709166861346
92,111,0.3738145613079633
94,149,0.7077787461549147
94,154,0.4906241345397809
94,159,0.2713978899729066
95,101,0.3451596367288354
96,101,0.304933286824683
97,98,0.3431000926951707
103,105,0.55391295462518
108,151,0.2656951273612493
110,111,0.30776327542352344
111,140,0.4268755982955224
116,117,0.34492664208969137
117,123,0.3278600292780067
118,141,0.3862985511782908
124,125,0.4743826045648073
126,127,0.2509969472885132
129,135,0.5283920860845727
130,136,0.8512339339313035
131,134,0.2145202413040107
132,161,0.19381248950958252
133,36,0.289091020822525
137,142,0.1956309676170349
139,140,0.5448296885459735
142,143,1.000000238418579
144,155,0.29343417064609223
145,169,0.4472772825512239
149,160,0.25087812542915344
150,151,0.3992231706823012
156,162,0.3755740177064226
158,165,0.24289203372852453
