source,target,weight
0,72,0.2779948993417914
1,82,0.3927368842568917
2,28,0.35670242898917925
3,8,0.30300926102601594
4,18,0.14785818238492865
4,14,0.11830735206604004
5,7,0.39199558413302216
5,8,0.3545240803177169
5,9,0.21926172540067834
6,28,0.37850726310862554
7,57,0.4018714970213718
10,23,0.4224896327361288
11,15,0.2037698112399717
12,45,0.3514009194439699
12,52,0.2605382103738165
12,100,0.20734265040441158
13,36,0.22452551118098385
15,68,0.36040510172758944
16,35,0.191697407028256
16,17,0.1724990420189348
17,50,0.11609012224727722
18,19,0.2875507774860968
19,57,0.411457075598311
19,21,0.23129510542326928
19,22,0.3203521365687817
19,24,0.25845712794358927
19,98,0.33073069388038856
20,23,0.3055076196462545
24,29,0.13474407447100356
24,83,0.22899390334229905
24,93,0.200089720367001
25,65,0.9999999403953552
26,41,0.2542933586834906
27,33,0.30652999117492497
27,86,0.1750116768663918
28,34,0.44072862929740425
28,33,0.4203883557035418
28,91,0.3506421547797183
30,82,0.1850147784363852
31,46,0.22849094126709318
32,34,0.30723985806747156
33,84,0.3245330238348201
35,39,0.30323708854238274
36,45,0.33222334848163043
36,60,0.19441360137317437
37,45,0.28230344159191456
38,64,0.30769876410208075
38,55,0.26717168318302364
40,41,0.35899961604792907
40,43,0.3160480326089772
42,45,0.38963938712522733
44,54,0.3380471217853658
45,48,0.435134340865594
46,48,0.40454027797152015
46,59,0.11817185267421686
47,56,0.6122599462910867
47,49,0.4151759912832333
48,51,0.16992268996888185
53,80,0.4302521566167094
53,77,0.342708274762752
53,90,0.33817953219808405
53,92,0.30140320837335316
53,99,0.3742539954656856
56,58,0.1994811716212979
61,63,0.3895939010593761
62,63,0.424954453200172
66,68,0.4337944409460246
66,72,0.3735530774621076
66,74,0.32016974740993104
67,87,0.32984088432688646
67,70,0.30773957545427083
68,71,0.4566029327651698
68,69,0.4227466290687989
71,73,0.45995061116659797
75,79,0.3941546859876725
76,80,0.2951183250582487
78,79,0.32551095403782565
80,96,0.24860565694950462
81,85,0.31521037693552983
82,85,0.3570974361917575
88,97,0.25449378362905595
89,97,0.3117695382171919
91,94,0.31885245300848836
91,97,0.3220476832602239
95,97,0.19959577918052673
