source,target,weight
0,10,0.9999999999999998
0,15,0.9999999999999998
0,16,0.9999999999999998
0,17,0.9999999999999998
0,20,0.9999999999999998
0,21,0.9999999999999998
0,22,0.9999999999999998
0,25,0.9999999999999998
0,26,0.9999999999999998
0,28,0.9999999999999998
0,30,0.9999999999999998
0,32,0.9999999999999998
0,33,0.9999999999999998
0,36,0.9999999999999998
0,40,0.9999999999999998
0,44,0.9999999999999998
0,45,0.9999999999999998
0,47,0.9999999999999998
0,48,0.9999999999999998
0,49,0.9999999999999998
0,50,0.9999999999999998
0,52,0.9999999999999998
0,57,0.9999999999999998
0,58,0.9999999999999998
0,59,0.9999999999999998
0,77,0.9999999999999998
0,78,0.9999999999999998
0,81,0.9999999999999998
0,87,0.9999999999999998
0,94,0.9999999999999998
0,100,0.9999999999999998
0,101,0.9999999999999998
0,115,0.9999999999999998
0,121,0.9999999999999998
0,127,0.9999999999999998
0,128,0.9999999999999998
0,129,0.9999999999999998
0,130,0.9999999999999998
0,131,0.9999999999999998
0,132,0.9999999999999998
0,134,0.9999999999999998
0,145,0.9999999999999998
0,147,0.9999999999999998
0,148,0.9999999999999998
0,150,0.9999999999999998
0,152,0.9999999999999998
0,153,0.9999999999999998
0,158,0.9999999999999998
0,160,0.9999999999999998
0,163,0.9999999999999998
0,164,0.9999999999999998
0,167,0.9999999999999998
0,169,0.9999999999999998
0,174,0.9999999999999998
0,176,0.9999999999999998
0,178,0.9999999999999998
0,181,0.9999999999999998
0,182,0.9999999999999998
0,183,0.9999999999999998
0,184,0.9999999999999998
0,185,0.9999999999999998
0,187,0.9999999999999998
0,189,0.9999999999999998
0,191,0.9999999999999998
0,193,0.9999999999999998
0,194,0.9999999999999998
0,195,0.9999999999999998
0,196,0.9999999999999998
0,197,0.9999999999999998
0,199,0.9999999999999998
0,201,0.9999999999999998
0,215,0.9999999999999998
0,217,0.9999999999999998
0,218,0.9999999999999998
0,220,0.9999999999999998
0,222,0.9999999999999998
0,224,0.9999999999999998
0,227,0.9999999999999998
0,230,0.9999999999999998
0,232,0.9999999999999998
1,54,0.5134932252793009
1,112,0.34203126081175683
2,136,0.15340732010411073
3,5,0.4075487808583039
4,37,0.24331231479763246
6,8,0.536637296893806
6,42,0.4020918790456025
6,65,0.4212334128315457
6,93,0.30487080650332493
7,8,0.26167370884794633
7,120,0.19465900416433884
9,12,0.24135776209774243
11,154,0.3034733853753637
13,122,0.1611777395163024
14,111,0.16217661070212439
18,85,0.189799951121135
19,34,0.35464331746266475
23,190,0.3451719499554438
24,63,0.34650634543788134
24,213,0.14395274314220902
27,51,0.45647443352816397
27,55,0.3638868526352025
29,54,0.3006917467699611
29,56,0.2773310087794027
31,156,0.2025122493505478
35,37,0.3593335971924468
38,155,0.13745579002762942
38,186,0.12020345032215118
39,70,0.15174688661809932
41,84,0.22332782693037978
43,65,0.3414114303133128
46,83,0.2603824128103651
46,136,0.21628525608020097
53,173,0.11956323627451051
54,154,0.3529319986958548
60,103,0.43110291324036504
61,139,0.41030879765991973
61,74,0.4057762805926113
61,79,0.36318469870077114
62,119,0.18913482129573822
64,95,0.3531961506316741
66,72,0.5507859922407181
67,79,0.30034916981168597
68,70,0.5357397871672704
68,71,0.34355646089220715
68,221,0.2058320662337469
69,92,0.40336372798224185
72,73,0.4141196354684867
72,80,0.4231844816913503
74,84,0.2885485909377747
74,85,0.3996729654972533
74,140,0.3847682484002265
74,141,0.27708162488630655
75,124,0.3302177940149543
76,95,0.44032245616993515
79,138,0.32869420584060427
80,98,0.36052833859279654
82,124,0.31377769240712416
82,117,0.15465052184143416
83,109,0.4147439463483312
83,99,0.2808926045648355
85,105,0.2732977732691254
85,146,0.28661886671359776
86,139,0.3329544009549564
88,89,0.38465544580393674
88,142,0.2620386811309703
89,106,0.2287371517218023
90,95,0.3810061068932473
91,92,0.27924448251724243
92,226,0.2511139100698128
96,142,0.26027337559175767
97,190,0.3020983828665374
102,149,0.2871662925300149
104,105,0.19450732579644475
104,137,0.18904158294518336
106,107,0.22577550065695762
106,108,0.16511457325991258
109,135,0.30831407194964805
110,138,0.24011021351214398
111,114,0.30071241126163156
113,125,0.2084882866911435
113,144,0.1764076466578357
114,122,0.3459880471807828
114,198,0.27528557508299084
114,210,0.3073063692265005
116,190,0.3430828272929291
118,140,0.32640138242301653
123,125,0.44816747422180936
123,124,0.44057638968317475
123,139,0.4423967042882879
123,143,0.35026067257161986
126,143,0.2863227468592866
133,231,0.15387810656046808
141,214,0.17305415006801306
142,200,0.2348531529141627
149,156,0.35571354425528656
151,225,0.2811197495981937
157,170,0.4893615733861627
157,192,0.3422756082367203
159,192,0.3244158956465242
159,188,0.2154323845386389
161,171,0.40355008867449527
162,190,0.3281768261792534
162,179,0.29396102054148654
165,171,0.4153502865568786
165,216,0.20144944517305488
166,168,0.4078450157741328
168,170,0.4705375789070006
172,177,0.2792974642843563
172,173,0.24259936116023798
172,175,0.26995429235872226
180,190,0.2852571158690299
190,225,0.302547138362147
202,204,0.39772935136036575
202,211,0.25667203267834293
203,207,0.47422783885585135
204,219,0.3700049778364278
204,228,0.3720885647191239
205,208,0.25424639044466346
206,208,0.3601407492081418
207,208,0.5907613641673845
208,212,0.28351043562648154
209,228,0.2794550876956807
209,231,0.2229480578710465
223,226,0.22281861305236816
228,229,0.346678049572567
