source,target,weight
0,29,0.2853666871159112
1,19,0.35330077582504205
2,101,0.2674489820444773
3,133,0.270302743596726
4,101,0.4476844266369063
5,8,0.3014989564795342
6,24,0.28197663312035687
6,99,0.23217265069974702
7,68,0.14899542927742004
9,21,0.21838503921424252
10,19,0.33783031696762655
11,19,0.3379784560422013
12,32,0.37955114656023603
12,13,0.37862972252413796
12,16,0.21778051616993682
14,96,0.4348028174827908
14,26,0.20000284395848839
14,30,0.3704892126660756
14,31,0.3798277280840232
14,80,0.34854004719968823
15,31,0.36998742415863567
17,97,0.37663462394934577
17,28,0.2761156144123424
18,129,0.4189194762580809
18,29,0.3672560064559746
20,31,0.365629583652653
20,120,0.3423605056533311
20,126,0.2411763806773851
20,128,0.22324236102280126
21,95,1.0000000000000004
21,104,1.0000000000000004
21,132,0.11035197973251343
21,135,1.0000000000000004
21,137,0.32584655170753196
22,129,0.36898242919391544
22,127,0.3579490033703302
23,24,0.38317289714041486
25,114,0.3465329264152366
27,30,0.34092753155591393
29,92,0.3559789711661885
31,84,0.32162233238633686
33,86,0.25292313970057784
34,54,0.19473715126514435
35,40,0.29825475358604986
36,45,0.2696523338862341
37,39,0.35835357427369297
38,77,0.4904810801511327
39,72,0.46216030062174607
39,63,0.2402466621233927
39,81,0.27156910305362325
39,83,0.41837910201397355
40,59,0.3879776336382401
41,88,0.38189354198903336
41,57,0.29163911139848414
42,79,0.26666851634084515
42,76,0.2501366546850807
43,45,0.4717388590910942
43,56,0.29650918169728224
44,82,0.2357688340223331
46,88,0.34347228726738144
47,72,0.2968821028896328
48,87,0.4291349922027983
49,78,0.46942139831326934
49,64,0.3494016884621459
49,82,0.31238972989380975
50,61,0.666794441706162
50,122,0.26894488029388164
51,55,0.37568026149337
52,69,0.468362641965657
53,55,0.36049234216942494
54,93,0.28206474425791156
55,72,0.43524843850475675
58,72,0.4604541065867021
58,67,0.33296268793787787
58,139,0.23623825950529634
59,72,0.4329338965136716
59,75,0.21553182527211034
59,134,0.2679153133468868
60,69,0.3916977284669759
61,94,0.3986048139312979
62,68,0.4368404529386173
62,71,0.41052216216794346
62,119,0.21050370367692833
64,89,0.3472037276245209
65,98,0.19824709955415365
65,102,0.17285940051078796
66,78,0.2944571829885831
67,103,0.3276231072567913
69,85,0.36328893589077393
69,141,0.26339975676129906
70,113,0.25885388984294644
72,73,0.45555683958588133
72,130,0.24950083653645472
73,88,0.3992309970688054
73,124,0.27528284704393224
74,87,0.27135668407392116
80,90,0.206611745406506
84,136,0.29186680912971497
86,100,0.4352632717425836
86,144,0.34163532049872736
91,94,0.27549264147511243
96,113,0.3002619830743634
96,117,0.3429639891502894
105,110,0.3095121266386077
105,108,0.3016075983314677
106,110,0.403027244000153
107,109,0.26495468666559135
108,112,0.25233402920986014
110,111,0.3747827886264032
114,116,0.15826372085011453
115,123,0.43634647581227565
118,119,0.16489394360713377
120,131,0.3224077284120983
121,144,0.20094629941732273
125,134,0.24347129424670189
133,138,0.18880436159933472
140,142,0.20029589647287852
142,143,0.2972225348776478
