source,target,weight
0,316,0.5884056895590045
1,2,1.0
1,5,1.0
1,17,1.0
1,41,1.0
1,47,1.0
1,48,1.0
1,51,1.0
1,57,1.0
1,58,1.0
1,68,1.0
1,74,1.0
1,91,1.0
1,102,1.0
1,103,1.0
1,126,1.0
1,135,1.0
1,141,1.0
1,152,1.0
1,155,1.0
1,167,1.0
1,189,1.0
1,200,1.0
1,202,1.0
1,206,1.0
1,209,1.0
3,43,0.45327311354735966
3,95,0.3988194937599701
4,3486,0.3225860342054187
6,1211,0.3910025783014691
7,807,0.5539057139176048
7,1773,0.4852958127037963
8,8188,0.38732844538818834
9,8439,0.5230821097854956
9,8129,0.44866763251082864
10,9572,1.0000000596046448
10,7518,0.28809191920380567
10,8339,0.6193143846836416
10,8793,0.7102546799400653
11,99,0.5459696288997128
11,3862,0.36630556553577587
12,21,0.5605896835453179
12,111,0.5221547061650554
13,6332,0.7474249917493181
14,94,0.7387572067650621
14,6560,0.3647481890775277
15,2042,0.4838511803184733
16,2055,0.3525115849115932
18,2951,0.29412894830137404
19,931,0.4814850041194685
20,2106,0.64897980828313
21,50,0.6668855302044291
21,441,0.4721695662892159
21,2897,0.6431834684242383
21,3672,0.2288152426481247
22,1136,0.405661758353943
23,5132,0.637761084538701
23,1281,0.4420967948758768
24,9348,0.5116224734898499
24,30,0.4475973788863889
24,2232,0.49667206350826776
24,8324,0.42763872945318915
25,27,0.5761923146550225
25,4159,0.3924936758501724
26,2950,0.3175716843358675
28,148,0.4750406145500685
28,150,0.3966691032460708
29,2186,0.4749868840573046
29,8755,0.4633226958226483
31,3730,0.9999999105930328
32,1835,0.4365570404903629
33,94,0.4617390179425198
34,7684,0.3830540457618611
35,1577,0.4059873389883637
35,5173,0.3054608230316856
35,8246,0.30830302771079066
36,8009,0.4601627588272095
37,4295,0.36521484066669957
38,7112,0.6713423919346744
39,4179,0.43151285803709905
39,702,0.33171188831329346
40,3298,0.7620091492231318
42,529,0.4530311123572332
44,3053,0.49237106262207087
45,311,1.0
45,815,1.0
45,1002,1.0
45,1180,1.0
45,1275,1.0
45,1480,1.0
45,1586,1.0
45,1615,1.0
45,1712,1.0
45,1891,1.0
45,2819,1.0
45,2889,1.0
45,3781,1.0
45,3965,0.545273809001122
45,4191,1.0
45,4739,1.0
45,5617,1.0
45,6388,1.0
45,6685,1.0
45,7107,1.0
45,7387,1.0
45,7515,1.0
45,7662,1.0
45,8774,1.0
45,9430,1.0
45,9699,1.0
46,75,0.9790133393565634
49,8139,0.4477765345389896
50,6425,0.3744552433490753
52,7473,0.4688055677421009
53,4758,0.4748691640641364
