source,target,weight
0,3,0.20587229126734494
1,66,0.47818972666594994
1,10,0.30949242589158454
2,76,0.14580634236335754
4,13,0.3260016738794854
5,94,0.4064693979525615
6,92,0.264832336702762
7,8,0.3172712256303157
8,53,0.32340888830370934
9,29,0.19157878971049436
11,60,0.13788172602653503
12,18,0.24870727082147664
14,57,0.15948782861232758
15,72,0.6794375699145682
15,80,0.45960070558528526
16,19,0.5712620995050082
16,50,0.4152279786566206
16,66,0.5281480639848902
17,19,0.6487453491090633
17,43,0.2285468707616799
17,68,0.5733702691306324
17,89,0.3206190766558557
18,37,0.4952849325594219
18,47,0.29084555138421636
18,97,0.47075945980761125
19,20,0.5997505647921397
19,21,0.4977484919391757
20,59,0.4863128094227921
22,38,0.31047198813833277
22,23,0.29952322422427696
23,27,0.1564351554463047
23,54,0.24616876211744587
24,36,0.20603065513494787
25,94,0.39202820345250416
26,38,0.241343905956495
28,85,0.24039465174946004
29,85,0.2652327790703131
30,73,0.419448348713248
31,37,0.42515147415034815
32,71,0.3179877530950923
33,34,0.48786225799449856
35,76,0.21197018249410857
36,86,0.23927277632848673
37,38,0.6714439234225911
37,52,0.2408779411625511
37,61,0.4045033976578783
37,98,0.43673535139441405
38,42,0.3159610784623267
39,67,0.5440437366872717
40,93,0.6306831196317981
41,76,0.27715628210533805
44,48,0.21860123492339129
45,82,0.13980819284915924
46,68,0.24653975875387585
48,51,0.5236794788331652
49,92,0.2911401536527084
53,93,0.4719044542040107
55,57,0.17118756473064423
55,81,0.13592401146888733
56,80,0.22451724754328128
57,62,0.20150357484817505
57,65,0.17081360518932343
58,90,0.5350022397411511
62,68,0.41524437645549944
63,64,0.40932449536437016
64,68,0.4793048423703641
66,74,0.4668552826913164
66,75,0.3841979283895472
66,86,0.5021855691506594
67,69,0.55386631452844
67,71,0.5502237940349306
69,70,0.32132629743020036
73,93,0.5976277732101056
73,94,0.5334628063583831
77,78,0.21985441084387988
78,82,0.14620079100131989
79,80,0.42772583255564756
80,88,0.32968844469944436
83,84,0.3602724782749923
87,90,0.3913497927965096
90,92,0.6709610823987568
91,93,0.5552259597330733
92,99,0.5017904391595285
93,96,0.5670942921696946
95,100,0.49393843711467256
