source,target,weight
0,51,0.2852707543557608
1,60,0.19595169841182752
2,8,0.41528686182018193
3,63,0.32826653263051253
4,11,0.3123013634998043
4,20,0.3096677758669685
5,84,0.21860170869042836
6,63,0.2963579260757946
7,46,0.1901400820897527
8,90,0.7683620750067709
8,82,0.7481481616489751
9,46,0.2268351096990748
10,67,0.26418918485097
11,92,0.35785958662931566
11,22,0.31170215068422424
11,102,0.311187702975829
12,38,0.16135358810424805
13,46,0.4107027626514249
13,41,0.3658015427971075
14,19,0.9834073450380434
15,88,0.41220177231934596
16,63,0.33530261929976773
17,18,0.867321100236478
19,25,1.0
19,27,0.5416110537685643
21,85,0.29113968483955716
21,30,0.1607925146818161
23,97,0.15616559453039605
24,59,0.33381830174148347
24,91,0.2597266410154808
26,41,0.341373512944364
26,71,0.1503993719816208
28,35,0.23397351801395416
28,48,0.21433398127555847
29,53,0.2410481116562671
31,53,0.6542644564171591
31,87,0.2780822803305623
32,61,0.635871623865311
32,39,0.11105462144177199
32,74,0.22261085344930814
33,50,0.6398971203915886
34,79,0.20498250465434653
35,97,0.23569728643855845
36,40,0.3724432437182906
37,40,0.3690694404517898
38,101,0.27925887545009775
42,103,0.33777975414514594
43,66,0.11633086781592922
44,79,0.17241353019985423
45,46,0.2557591802971036
47,54,0.17365256857893874
49,97,0.34005362619058177
51,55,0.6726696428264147
51,58,0.6016514831000055
51,65,0.6582126725644035
51,68,0.32917852177306656
52,53,0.6492953783463788
53,55,0.721626826933985
53,56,0.3428832630820423
53,57,0.6572460055330093
54,66,0.4773148342188721
58,94,0.14656529061852808
59,63,0.6766568423630295
59,61,0.6631112390826064
59,88,0.4718330215102491
60,100,0.24421600686641853
62,103,0.1948525954588592
64,65,0.5715638685740316
67,89,0.1580670436351414
69,70,0.24361698902737977
72,75,0.2927569647940627
72,73,0.23203107502199977
75,77,0.36805864696660373
76,77,0.7299678408002239
77,78,0.4524225470512737
77,81,0.5543543523743362
77,95,0.2485420294983284
80,81,0.4234771806638017
83,84,0.4925243779780589
84,86,0.28486953637683565
92,99,0.40497099112294965
92,93,0.3464400542616103
92,100,0.36396894211941777
95,96,0.2193568829418118
98,99,0.4266678308005828
100,103,0.34165121751710603
