source,target,weight
0,121,0.1393311619758606
1,160,0.2255293533925486
2,7,0.3093303748786892
2,100,0.2799978170523359
2,150,0.24739797474090833
3,163,0.21197645269166288
4,35,1.0000000596046448
5,165,0.2488484026143253
5,107,0.15512150526046753
6,37,0.5127049048071229
6,139,0.43493507172828666
6,166,0.34253659339250514
7,31,0.3268519468880973
8,206,0.19540093625795762
9,127,0.16800791025161743
10,18,0.31968696660385143
11,189,0.36474263110256844
11,14,0.30651754728728253
11,16,0.32349506451573007
11,20,0.3482161706459976
11,21,0.24790575871088005
12,133,0.30726329716981393
13,161,0.3380241928127724
15,116,0.1366609806551762
16,17,0.3149268455520964
19,195,0.15911671556636925
22,206,0.18237453488035935
22,29,0.17809773651473024
23,50,0.42489058796457113
24,210,0.3137658209786548
25,49,0.4495026596488074
26,145,0.46780234055285325
27,31,0.4878107391847325
27,88,0.3453579949824298
28,39,0.35176387301708467
30,34,0.3650892371564012
32,50,0.4098222637793848
32,60,0.40275696817294626
32,62,0.31142875269698145
33,71,0.2690398416521611
34,39,0.41831401222977094
35,127,0.38568782806396484
35,188,1.0000000596046448
36,142,0.41129014181709667
36,192,0.22963778808571395
38,40,0.47659528003189805
39,42,0.3982225703786196
39,56,0.385673637195288
40,99,0.42753943098323133
40,131,0.2335040872412073
41,71,0.19809533158289244
43,58,0.13966496551491367
44,159,0.2481205900574628
45,92,0.19672703254000085
46,193,0.3609237931935765
47,64,0.32681058002805413
48,91,0.20016248037917542
49,76,0.4635044621146519
50,65,0.5845186360694145
50,72,0.4226194024718849
50,216,0.3538004580233877
51,217,0.19880782129450697
52,54,1.0000000596046446
52,133,0.3074509308478267
53,219,0.3813420319645242
55,76,0.31328854034580816
57,127,0.2981090252936969
58,141,0.21878661393085908
59,76,0.3568981469067629
60,66,0.3501055978299523
61,189,0.35286924396452524
63,77,0.46352535897210567
67,79,0.44729708120339845
67,69,0.32403361169993006
67,70,0.2962268477403237
67,71,0.41121279141685685
67,80,0.2823423829163402
67,118,0.4454101061926712
68,75,0.533355530465494
71,73,0.20497973060213495
74,216,0.25850371587676146
76,82,0.3730209417655802
76,128,0.222262773209024
78,84,0.17257465344175107
79,119,0.44387351032093963
81,164,0.39472086386317107
81,173,0.317242478296485
83,191,0.19819425086994635
84,98,0.26879814631159316
84,209,0.12706727521852884
85,191,0.2875321098744116
86,158,0.20502196658093955
87,95,0.5424431824767763
89,135,0.3217372491680972
89,90,0.2451774059442901
89,122,0.26360196363378946
91,92,0.34581592867463035
92,118,0.3972528526530489
93,207,0.2857231769568025
94,174,0.2795308905158723
95,211,0.2853583048320298
96,127,0.3801906261485156
96,97,0.3155382170342436
99,212,0.2483870507875962
100,179,0.1999981905711746
101,184,0.38463669490401786
102,169,0.21928394252059907
103,108,0.34151432512095314
104,132,0.4342489718366524
104,125,0.4183533769483678
105,110,0.3631580461257177
106,124,0.4510384562158112
106,109,0.44483579467610856
106,112,0.3826219387266293
108,117,0.44397007491346285
110,123,0.3825215753514592
110,116,0.25596610846105794
111,124,0.41383870352585095
111,115,0.3511525514851014
113,117,0.30649388079179113
114,187,0.3007474824791269
115,130,0.3190086433288136
118,120,0.38392591891788896
121,146,0.46191122042889476
123,124,0.4433328989686719
126,221,0.22029273263934135
129,153,0.13033411358149302
132,134,0.33178526196378366
135,137,0.4174709992378202
135,151,0.32756652065158204
136,138,0.30124366426823435
140,219,0.584045287674849
140,141,0.24471419086736565
143,218,0.4379794974458645
144,145,0.43403194989590355
144,148,0.14595943689346313
144,182,0.28588556298591955
147,200,0.22479023387881464
149,225,0.40108389683691603
150,167,0.1907922735000741
151,152,0.3153259031159358
151,201,0.21964562216800168
153,154,0.5404988656378774
155,165,0.37965631551249135
156,177,0.19884344304910562
157,164,0.419197436861537
158,216,0.28257357305574493
159,162,0.14154639650760736
160,165,0.3259027893667984
163,208,1.0
164,204,0.2560532153931079
168,193,0.37044629439275434
169,170,0.41783224144548115
170,215,0.25761015363508927
171,193,0.5258830030169817
171,176,0.4912335066011545
172,197,0.42928121252137186
172,187,0.30910745478389834
173,198,0.2750293284087418
173,206,0.20902614537782355
174,193,0.3688386264895817
174,213,0.24674294826764703
175,176,0.46577074283654496
175,185,0.44813593500607657
176,177,0.43030016404136345
178,180,0.5642661642412943
180,193,0.5444644552087554
180,197,0.46280926056362437
181,193,0.49445029701667076
183,184,0.563488796118494
186,218,0.30611183785572427
189,193,0.5293548634663663
189,195,0.374876719562733
189,207,0.4295187191143979
190,194,0.32229353478189526
193,199,0.3388422851714413
194,217,0.3279262817327951
196,224,0.6083826851032407
197,217,0.43119263356737264
199,202,0.2898795516324406
200,222,0.3658913211427713
203,205,0.4320412456325239
213,214,0.2189452781504879
220,223,0.29327252517482927
