source,target,weight
0,66,0.32331131558077586
1,32,0.474991260604695
1,140,0.2950237636571442
2,716,0.4334383000412417
3,743,0.6210247676407994
3,8330,0.4371472600445131
3,9582,0.3854587401605636
4,116,0.5642340117314416
5,5013,0.3313711327794823
5,737,0.31097805437699333
6,1443,0.48798895989068547
6,592,0.4615862152173661
7,6761,0.40276200400598183
8,29,0.7855891615872533
8,3594,0.3841177540991003
9,256,0.5073163024635942
10,1518,0.44650846809117184
11,769,0.316030575544882
12,7835,0.5245187453681571
13,14,0.668866694298101
13,38,0.378730572074736
13,846,0.3850352003104713
14,16,0.6157157103010201
14,6001,0.4641650503539632
15,886,0.5189876077643184
15,529,0.4200726410602321
15,6509,0.293175809471748
17,2060,0.4437709005716011
18,2177,0.4142446605370204
18,2512,0.30936644229086163
19,9009,0.5605056292735752
19,5906,0.5169046660078997
19,8277,0.41890337236513786
20,2100,0.4740051382303282
21,3107,0.45982020748014685
22,4057,1.0
22,6418,1.0
22,9530,1.0
22,9868,1.0
23,7116,0.36601553871865333
24,2923,0.328502762454745
25,6934,0.5419298740752942
25,5015,0.3893186489898837
26,7508,0.37468623617217367
26,6607,0.3334210258814362
27,3987,0.3006645182290261
28,9928,0.40152256103303385
29,1796,0.36800753330986546
29,2020,0.5456901218682755
29,2508,0.4521270418313807
29,2788,0.5112878391757869
29,5132,0.31813645362854004
29,5335,0.46023578798440046
29,5615,0.39265688556891654
29,5641,0.6548771790091232
29,5710,0.4144447682916095
29,5762,0.5907820315558407
29,5935,0.5776338469232136
29,6212,0.41085942935181247
29,6243,0.4878862525256561
29,6962,0.426923549614792
29,7051,0.6202547789396455
29,8445,0.30688575853017364
29,8561,0.3766365500167792
29,9283,0.46107677766095423
29,9324,0.6197700818870154
30,6989,0.30991046405002376
31,564,0.6535728219375223
31,575,0.3704043174011145
32,144,0.46095504291946066
32,568,0.37533131748436804
32,1566,0.41170091375725437
32,1578,0.35656648874282837
33,3634,0.6516961638536762
34,758,0.2780671547311076
35,626,0.5831367009603969
36,1178,0.40612536335993393
37,411,0.31970073049424574
37,440,0.27464201566435986
38,154,0.3525844253836038
39,8885,0.22197127421866053
40,746,0.8455698272575193
40,6036,0.31548570739478105
41,6273,0.38293294253107474
41,4518,0.3218333144105337
42,43,0.8247452656377855
43,7588,0.3912436702472932
43,9138,0.3419297566828896
44,6843,0.26834700036110803
45,4814,0.37606477081825135
46,1443,0.5402944046971325
47,3492,0.2849839167802145
48,6233,0.59725116143868
49,7551,0.6106136928446075
49,1435,0.33101651418443984
50,109,0.31485287152485397
51,471,0.35561054944992065
51,2650,0.25121527910232544
52,121,0.465261558442776
53,4761,0.37277444513310304
54,4708,0.4241378790122428
54,574,0.4153862222371594
55,2266,0.28065331083704137
56,9308,0.3502531307797082
57,4057,1.0
58,1676,0.6256636708481433
59,207,0.6651563256851207
59,215,0.3240932831696123
60,9860,0.5692964009282151
61,144,0.37634653050309586
61,7771,0.293159526834882
62,6266,0.4454359116058809
63,7905,0.4369617251535937
63,9139,0.3638417509875518
64,611,0.7110354052085752
65,1930,0.683265059922116
66,7666,0.3534629877224361
67,7847,0.43028479265919495
68,2415,0.4868245496896841
68,3135,0.21247920393943787
69,4334,0.28525838529625724
70,7475,0.39314696909769187
71,8729,0.32662018839033946
72,637,1.0
72,1596,1.0
72,1920,1.0
72,2245,1.0
72,4378,1.0
72,4384,1.0
72,4387,1.0
72,4969,1.0
72,4976,1.0
72,5294,1.0
72,5621,1.0
72,5746,1.0
72,6744,1.0
72,8639,1.0
72,9850,1.0
72,9852,1.0
72,9853,1.0
72,9855,1.0
72,9856,1.0
72,9863,1.0
73,1504,0.43097749199360713
73,424,0.3445978556984317
73,635,0.28410585302545344
74,8527,0.2788867173740393
75,361,0.40641024800184433
76,266,0.41908082018228193
76,7890,0.2771791746344628
77,9326,0.21713149164053086
78,2746,0.20318841934204102
79,578,0.36785173416137695
80,4057,1.0
81,6457,0.39713745494382124
82,5618,0.3800835012234356
83,613,0.5515408120377099
84,372,0.548885889191017
84,9359,0.4684718334695927
85,9135,0.2706300747537138
86,5888,0.43478220233253223
87,1703,0.35621451527792014
88,8382,0.4160962080599426
88,3148,0.3518518097489606
89,253,0.36639071010335844
90,8162,0.5590550132725253
90,363,0.48072408715652337
90,1436,0.47721996810002104
90,1810,0.47972587667603417
90,2476,0.3009573365900712
90,2660,0.36805516843151354
90,3304,0.3733112644051497
90,9587,0.32805161573167624
90,9686,0.38948097160912
91,506,1.0000000596046448
91,176,0.4147257884018641
91,307,0.4518041928202057
91,839,0.4559116338172855
92,305,0.2942911269053055
93,1528,0.35580630786399003
93,3188,0.34186885295622427
94,4057,1.0
95,7475,0.31251401991277417
96,7073,0.4096416401383477
97,4300,1.0000000596046448
97,3407,0.6209023155983646
97,4689,1.0000000596046448
97,5129,0.33528671978480484
97,6085,0.4487449396893537
97,7582,0.7780034144675582
97,7941,0.5249311642652958
97,9023,1.0000000596046448
98,1443,0.4799055368410603
98,3570,0.42476307383355116
99,338,0.4098542000777139
99,5263,0.40471139269084877
