source,target,weight
0,2078,0.20992689476681559
1,7534,0.21969428273645425
2,4414,0.5264230740526314
3,7954,0.31988437510249057
4,27,0.390253027532713
5,7982,0.2828950802940623
6,3607,0.4469725892419862
7,4459,0.4141259808131301
8,3938,0.33928458289008456
8,6083,0.2706045261028788
9,35,0.3613668438143922
10,3954,0.3870676907342046
10,984,0.32203885306191143
11,2993,0.2808273700857534
12,4682,0.2557252911635748
13,5427,0.3671561844933947
13,3691,0.32309016356149295
14,2214,0.34090605485643943
15,784,0.39017382848712673
15,31,0.28721317594672047
15,7623,0.3006181456351094
16,7503,0.44891314134777127
17,5321,0.38528773516704395
17,2194,0.28031167151874237
17,2494,0.3191275804716734
18,7803,0.36672326478520334
19,1018,0.2911841159881817
20,3817,0.44812057115669635
20,3207,0.32684825016273544
21,110,0.2782028379465435
21,3650,0.23119643331785633
22,6990,0.35903626436426217
22,2502,0.3479802545219628
23,260,0.4937548615495301
23,9701,0.30864022007456837
24,5184,0.42172074490497613
24,382,0.38583718117781884
25,6387,0.3523046289181191
26,5731,0.20924638047871824
28,58,0.32976418420397124
29,71,0.4320447116332006
30,8507,0.29377374426390745
32,3826,0.31474602011363784
33,5034,0.3286062609584292
34,7985,0.3480351575656079
35,41,0.45424053945454723
35,80,0.3611577784417611
36,524,0.2650528794178911
37,8092,0.40784000506951157
37,500,0.37993223367466905
37,3622,0.290779875567437
38,546,0.36532440755983275
39,7274,0.4281251616200737
39,9314,0.4246872931932393
40,4913,0.42658851115052177
40,5223,0.4232681001181054
40,5351,0.41650364475043816
42,6819,0.4574009969413053
42,1723,0.34949281725206166
43,7926,0.39510734616171544
43,5291,0.37683520960647965
44,87,0.9277998551805517
44,7649,0.4390096924535686
45,5394,0.3991318871064556
45,332,0.347055479502561
45,4133,0.3321435876496481
45,4622,0.2942012819643224
45,6622,0.3094495652428483
46,405,0.40949006562504414
47,5321,0.30699555589560773
48,481,0.44161792649139175
48,504,0.4390109611345013
49,597,0.3274125939137423
50,7465,0.35325051455651846
51,3933,0.2694648706292905
51,8225,0.25091801183222573
52,9215,0.23107710532604628
53,1571,0.2944521446725752
53,57,0.28839795733977436
54,243,0.48660262216155326
54,7884,0.30945426938165976
55,3671,0.42875068968463703
56,3656,0.31326212241929985
58,516,0.5434571814882743
58,181,0.3914577019016433
58,300,0.4652887829916463
59,160,0.4904642324641933
60,110,0.400950469931782
61,1125,0.3970363783410027
