source,target,weight
0,8990,0.3982870970415697
1,1026,0.4830208397658611
2,8686,0.30588008246823717
3,85,0.3471974286132017
4,3438,0.3873147903194022
5,3406,0.42259396002545546
5,8357,0.2854301420292662
6,36,0.48222543887742886
7,6875,0.3470831214317145
8,3384,0.3599573107083255
9,3217,0.4609657181135002
9,1721,0.4415318699084124
9,6572,0.35596460909207117
9,6624,0.4516525408553079
10,754,1.0000000596046448
10,61,0.4169120142346435
10,3242,1.0000000596046448
10,3941,1.0000000596046448
10,4108,1.0000000596046448
10,7114,0.5386080657739407
10,7607,1.0000000596046448
11,9928,0.6807481937119447
12,2994,0.3726407180337755
13,57,0.3403186501658086
14,4819,0.35027524304267443
15,1439,0.2839324331710101
15,1666,0.281532152623042
16,4206,0.30232592120238394
17,1026,0.4626321037485861
17,38,0.3653666768271882
17,9701,0.447223709762287
17,9772,0.4446804583310713
17,9976,0.38802724473711014
18,184,0.3187441094551329
18,904,0.309046576661037
19,41,0.4316064487703791
20,8194,0.21606243076276743
21,6509,0.23697646974000727
22,65,0.35501840858030514
23,5730,0.31450507375871095
24,1299,0.25121331214904785
25,428,0.5067274828647861
26,59,0.35728628249270933
27,113,0.41591177751361286
28,1210,0.4481390653389594
28,34,0.3856405697803842
29,89,0.3782661132398075
30,1026,0.5394285212306029
30,64,0.4756409330666845
30,8219,0.3522780916444336
30,8355,0.40886719476031896
30,9903,0.44048555312581883
31,288,0.36548353268904826
32,6927,0.2687266916372292
33,6827,0.40249916946341874
35,876,0.3766996914781847
35,1015,0.3691595090323858
37,4495,0.38471820028940196
37,152,0.33711912748876455
38,2396,0.27114229846060417
39,3112,0.5030990366191963
40,9389,0.6423117190771346
40,1712,0.4014849323089309
41,56,0.33297009296713015
42,6382,0.44079652746532094
42,6450,0.4296599518349724
43,3643,0.4110979503541361
44,777,0.3203607729357299
45,870,0.2712972193841623
46,5173,0.3463482064407514
47,3643,0.4724206386244806
48,1188,0.4959076861532105
49,57,0.34933214010828917
50,6715,0.32143031908552605
51,2975,0.3002447006918254
52,9327,0.3536505885793456
52,1081,0.34101852027224955
53,6566,0.37661969737542106
54,9810,0.32537970178068154
55,1926,0.61153105906894
55,3732,0.42370200766198285
55,3814,0.31171674359314794
55,6155,0.21628151228822287
57,118,0.5664588277032834
57,79,0.44129915756740423
57,288,0.37075906719670293
57,6543,0.31190356222470755
57,6850,0.39223484089511157
58,5914,0.5687583633590387
58,59,0.4137709259242844
58,70,0.4173619470547085
58,6949,0.4186834047171056
58,8004,0.46965996375385777
58,8509,0.3946427687045335
58,8537,0.5264048894072343
58,8820,0.49540104690138576
60,7018,0.49433283059535316
62,9321,0.4837285910036538
62,8057,0.46394465093929427
63,6671,0.35997618472081366
65,1504,0.35523290140091074
65,191,0.3463417876087985
66,202,0.5832418378288058
66,5369,0.2933983952966413
67,963,0.28575608598066604
68,1981,0.39496354400565625
69,165,0.9999998807907106
69,236,0.9999998807907106
69,251,0.9999998807907106
69,253,0.9999998807907106
69,294,0.9999998807907106
69,310,0.9999998807907106
69,353,0.9999998807907106
69,420,0.9999998807907106
69,584,0.9999998807907106
69,830,0.9999998807907106
69,1031,0.9999998807907106
69,1132,0.9999998807907106
69,1264,0.9999998807907106
69,1297,0.9999998807907106
69,1567,0.9999998807907106
69,1581,0.9999998807907106
69,1584,0.9999998807907106
69,1906,0.9999998807907106
71,1911,0.35497812840202675
72,159,0.28723148302271717
73,6847,0.3698883535570945
74,3438,0.43094909313246865
75,8876,0.45063619878107314
75,1998,0.304422180971369
75,8401,0.29892360997298656
76,77,0.33232857361543244
77,168,0.3335603455082209
77,5022,0.3300653019693408
78,108,0.5888434976491321
78,9380,0.32262373048031184
80,597,0.2921468532547718
80,145,0.2638367465822597
81,1011,0.29694014188191264
82,1894,0.5369636166856937
82,378,0.43167921036395107
83,6496,0.30859904478300343
84,7748,0.45585832056118564
85,641,0.46462689708493177
86,510,0.37659936049537157
87,8697,0.33740817188225103
88,1083,0.7412168984996559
89,8686,0.38312543132022703
90,6540,0.8197946872148071
91,2260,0.35634656150969585
92,3413,0.25961537472100243
93,9413,0.3909449682161764
94,8680,0.3329753912536282
95,4952,0.436360294848556
96,6440,0.26236522161634385
97,115,0.4131807174549926
98,9903,0.3797980353404727
99,256,0.4621659912040746
100,3418,0.32254794302799217
100,498,0.31102740521052635
101,106,0.42968433745216983
102,5195,0.4119179190033357
103,148,0.623354755169528
104,7081,0.46888170051657685
104,285,0.4049339687108499
104,2847,0.4111859104508223
104,4855,0.3532004095510126
104,6656,0.3321246497578185
104,7010,0.3150787520858203
105,264,0.5767915108446795
105,832,0.35104003833605113
105,5931,0.28070972093588886
106,6382,0.49047017339616206
106,6402,0.43395618651909384
107,212,0.5139126068001041
107,9696,0.4316997189111939
108,126,0.62468516010638
109,114,0.2704959662925844
110,8194,0.30185783741385397
111,117,0.3057667050240999
112,179,0.3699479626178929
112,7671,0.3142926798941675
113,257,0.42973344030782956
113,3344,0.24151614287019563
114,164,0.3875327529641206
114,210,0.37232036755196696
115,290,0.35451356206782975
116,309,0.377803944058228
117,161,0.37090969339133395
119,491,0.2941195147357841
120,161,0.3845075551673041
121,9080,0.4040811750896362
122,6007,0.5249588416818777
123,148,0.27091484401078025
124,6662,0.3642011057172431
125,9455,0.36985807349223043
125,7572,0.3109626812758569
126,1626,0.3740456288721264
127,168,0.43302406034855717
127,167,0.40356246519377403
128,3262,0.38250722628583245
128,1607,0.269005046299426
128,2173,0.2677968823573172
129,2903,0.2514023044901477
130,1582,0.354096567378336
130,237,0.2925578248408407
131,535,0.31437873635960145
132,192,0.37259453843276813
132,5300,0.31804705441114667
133,3355,0.3774363676047032
134,435,0.6172803980608674
135,4723,1.0000001192092896
135,412,0.7244794225121864
135,702,1.0
135,1798,0.2669047094241763
135,2470,1.0
135,2742,1.0
135,5886,0.46985668859267227
135,5926,1.0
135,6697,1.0
135,7294,0.3822102050181878
135,7360,0.33282345373528
135,7469,0.46490588907508185
135,7526,1.0
135,8259,0.3054668377279963
135,8346,1.0
135,8604,1.0
135,8845,0.36154608861750104
135,9623,1.0
136,7005,0.25937122106552124
136,5892,0.19885197281837463
137,8126,0.40087184742416226
138,4237,0.3566897941006642
138,155,0.30766699313405144
138,3281,0.33110830199400654
139,7081,0.37868593880948664
140,8866,0.37074668693586527
141,309,0.31858241606099524
142,144,0.3970998085434484
143,144,0.2846392917318151
146,245,0.438873357662592
147,6195,0.40565156700668636
148,4331,0.324917308817513
149,4782,0.28194989884258115
150,5212,0.48180015271113863
150,1720,0.34300450717319975
151,5820,0.3690084826241048
153,275,0.3393689829978564
154,7425,0.5165877789376982
156,8042,0.3160836163591154
157,9479,0.3219654722847824
158,1576,0.3386485915560457
159,1321,0.5273260924092493
159,172,0.4643612296466407
159,188,0.39447719517701957
159,194,0.4499244846651233
160,562,0.31623860256938013
161,266,0.34987007265796943
161,3841,0.2342992276152973
162,9285,0.3185074247764015
163,9180,0.3372324402681909
166,222,0.26660552159399764
169,7968,0.41107510673720843
170,5284,0.3453660795021336
171,2058,1.0000001192092896
171,1174,0.4197848176235156
171,1215,0.8612787326965282
171,4977,1.0000001192092896
171,7005,0.2719832956790924
171,7139,0.6289857643986807
171,8572,0.6998919278976969
172,7265,0.33816114104995487
173,9047,0.33858291058470913
174,3350,0.33105091583964597
175,6535,0.45995122287921764
