source,target,weight
0,401,0.4217396453479786
1,373,0.2796166807929116
2,263,0.30508536088063376
3,404,0.32445190482997044
4,195,0.3837857766809407
5,205,0.20513110666989212
6,200,0.27816901905947894
6,241,0.24906503744596087
7,134,0.4269439574826116
8,181,0.3221699075285256
9,66,0.30982008872054234
10,233,0.36341942525717574
10,270,0.3210337103625981
11,59,0.33270932050320806
12,261,1.0000000596046448
13,78,0.3402426678972583
13,409,0.21206144388151238
14,90,1.0000001788139343
14,257,0.552032622161456
14,322,0.5412322605281552
15,61,0.32719895703644747
15,244,0.24850796807768477
16,100,1.0000001192092884
16,128,0.988803944203802
16,381,0.9888113649820766
17,32,0.3984417110837889
18,47,0.2810590470416859
19,265,0.26931639200977614
19,33,0.24616955562720821
20,117,0.2036212980747223
21,98,0.2932270135379587
22,213,0.2029267694735244
23,40,0.5150761343579056
24,64,0.25602818255806514
25,59,0.3985697397834186
26,401,0.2885777149383266
27,29,0.4709393948696023
28,86,0.24892049158663226
29,88,0.47442645029749453
30,197,0.41809396240643104
31,345,0.9784671648209319
34,61,0.18303980480569948
35,314,0.32226027245661965
36,405,0.5178657517970128
36,104,0.18616140846356036
37,120,0.588205416743838
37,50,0.4663716247355312
37,126,0.3906720224543783
37,164,0.35523250090755176
37,407,0.4102873389251299
38,69,0.2648536198823544
39,155,0.26948144638306903
40,86,0.27669094840696706
41,127,0.2460958811951923
42,67,0.5560613274456242
42,76,0.5433700718555887
42,388,0.2615273773071445
43,361,0.29429105622511176
44,67,0.4170156116044702
45,249,0.3965604469788162
45,211,0.3203732960391814
45,301,0.2154049683667298
45,343,0.2380310513429681
46,197,0.44249915518693705
47,65,0.33619790552266204
48,58,0.4854153342499419
48,69,0.410567440767893
49,233,0.3053853804063317
50,97,0.2556431369520669
51,98,0.2653078800954892
52,76,0.3788365749862762
53,172,0.29519000841923154
54,58,0.5315711491813311
54,56,0.41692411371345006
54,60,0.48594370570713735
54,64,0.5206300585089667
55,320,0.24466445071678414
57,69,0.35575707369082366
57,319,0.34814850160421895
59,147,0.3128092221747176
60,124,0.34812860510386584
62,299,0.4118201414449008
63,70,0.34833626845318716
63,121,0.23354515267277615
65,70,0.45475807921837974
66,76,0.31561720858810105
68,250,0.3069725177906588
68,326,0.24877473382277268
71,287,0.43085697560894376
72,281,0.3076239973190813
73,286,0.2804909947167615
74,130,0.34112875286177646
75,149,0.33944371705523446
76,312,0.23007070518703934
77,330,0.208841472864151
78,129,0.24284857421675834
79,197,0.4798394444959809
79,370,0.3216673145109452
80,102,0.34131259677268133
81,248,0.4208730931663761
81,286,0.3654060051012276
82,247,0.23715965252339724
83,93,0.28125855326652527
83,258,0.21049566566944122
84,102,0.34581927413785735
85,273,0.18757801876494218
86,148,0.1594158613186012
86,413,0.2355341989525528
87,188,0.3376575381385927
88,281,0.30812719276874234
89,197,0.4150544703819134
89,91,0.40247737611866174
89,358,0.3552572190590719
92,206,0.3411633487045216
93,376,0.19497279316176186
94,166,0.13642368671506677
95,113,0.4797794224325833
95,122,0.4282798646848893
95,136,0.43557269671470955
96,118,0.29528180790077363
99,170,0.31225876141187314
101,406,0.38104348851352976
102,210,0.3141513832477602
103,315,0.3203362690776278
103,237,0.25025040579036517
105,107,0.5022138273931327
105,205,0.2540214895383859
106,108,0.5477349326494423
107,109,0.4556876663309415
107,263,0.3654900865568752
107,314,0.38615717671032246
109,371,0.1391017884016037
110,224,0.346019309327935
110,285,0.2515058486617597
111,408,0.3705893507546538
112,303,0.3005973677293222
114,217,0.2935085610420808
115,116,0.28779642850636644
116,248,0.3631711523258641
119,191,0.36010562445489447
123,211,0.2868190407752991
124,169,0.17381303057434128
125,354,0.18742594612908628
127,315,0.30573090066972997
128,345,0.9887606485550627
131,243,0.4759286403490957
132,133,0.4031348651644309
135,214,0.30862290200729087
135,190,0.2269449680602908
137,138,0.4230662574345252
138,142,0.38012252075203695
139,146,0.3561213132724752
140,248,0.20400865993324238
141,248,0.2737206381574068
142,245,0.23224500141189885
143,248,0.21089145276354015
144,201,0.19532355889093841
145,243,0.3036293003512069
147,238,0.23925764085482118
150,208,0.5094940457485926
151,152,0.9999999999999988
153,320,0.20451303326771308
154,195,0.536680532148655
155,225,0.33157389130404646
156,250,0.40289107348485276
157,166,0.268799547506522
158,179,0.4600714670242655
158,165,0.4214559427307653
159,303,0.1909848160852925
160,262,0.45182883347138225
160,294,0.4095825391606731
161,170,0.28656711627268927
162,168,0.4637689460551226
162,213,0.44737561906054835
162,309,0.2678244371517943
163,213,0.2737347674874923
166,335,0.2746357071855494
166,167,0.15625443126751215
170,302,0.3409829652380702
170,185,0.25712201977807164
171,335,0.3140669281233064
171,209,0.2379108614193452
172,188,0.4128600795470824
173,189,0.4558254668686613
174,247,0.9999999403953552
174,221,0.17991948127746582
174,242,0.16694363951683044
174,283,0.36674749851226807
175,403,0.40437981646177806
176,250,0.3976666967731694
176,182,0.15741147100925446
176,337,0.2656169958848102
177,178,1.0
180,391,0.18686699867248535
181,189,0.3683114500986463
183,387,0.15730667114257812
184,406,0.4673585601755142
186,193,0.40680104287936447
187,196,0.2988425544781647
188,214,0.4450457288016746
189,255,0.30517294691498187
191,215,0.336195754074355
191,240,0.3242314245310052
191,412,0.3262677421622816
192,206,0.33013615771102445
194,268,0.18500060340954264
196,223,0.3990611443273149
196,254,0.2255399525165558
197,222,0.387285700849761
197,327,0.2590290904045105
197,379,0.19346479655067614
197,414,0.23439577221870422
198,206,0.3441035197004517
198,355,0.21469630901015074
199,232,0.5358095296071422
199,224,0.37155205734768204
199,230,0.35706016408625746
200,201,0.4168416195278234
202,251,0.2005104422569275
203,235,0.25453231401749454
203,204,0.2071385681079183
207,258,0.18393734097480774
208,269,0.24833910134981912
212,214,0.38289111675311494
212,313,0.34555451667712395
215,226,0.29093246797602274
215,367,0.30379733853211843
216,367,0.2661448477066435
217,361,0.40416797376001157
218,239,0.3642180926404288
218,330,0.21421174357420478
219,387,0.18434429168701172
220,228,0.4340463583507499
225,354,0.3850150770833138
227,239,0.4379292096835585
228,231,0.37636696122784175
228,253,0.3626033002391916
229,341,0.3993187923316594
230,235,0.2945620225255782
233,307,0.37327211456630743
234,239,0.3563607754191961
236,316,0.43032384260865214
240,384,0.1752859354019165
246,370,0.18020979379021246
