source,target,weight
0,48,0.16503607825725103
1,103,0.11949633061885834
1,50,0.08091554045677185
2,42,0.37807039551342503
3,38,0.4454019046946436
4,32,0.34105299686658214
5,6,0.3595127036306334
6,79,0.39244847925259835
7,47,0.4229121077146839
7,64,0.38584299532408267
7,66,0.41584139303276385
8,100,0.2296440262162056
9,60,0.20367870148405204
10,71,0.4277360033149744
10,82,0.25789128335380035
11,60,0.33767864750450743
12,17,0.3678313434780174
12,58,0.34803944045241403
13,76,0.20233391581388901
14,55,0.45632518522359183
15,22,0.41399890497284486
16,20,0.47568634891815725
16,21,0.2910807542128781
16,80,0.17843466286390286
17,34,0.45495719968887793
17,30,0.310929148928338
18,45,0.34517718606675113
18,23,0.18430058664444926
18,53,0.12613073791745194
18,70,0.26413553333112777
18,76,0.3405316932701757
19,90,0.41093341378371034
20,34,0.47683480503628894
22,81,0.4422485233842118
24,86,0.3227030167832589
25,93,0.41887520567636316
26,57,0.3648498660126225
27,55,0.24565895772505592
28,32,0.22764610224801166
29,40,0.3679603237994916
31,57,0.424386250808157
32,79,0.4865221658885217
32,61,0.3048981619082285
33,90,0.3472211450879809
34,92,0.5449056716124068
34,57,0.49398645003430364
35,93,0.3578623485380338
36,51,0.38013492574362234
37,57,0.45302544093361224
39,58,0.23909647370444836
40,105,0.4687748184921382
40,43,0.3633055447740622
40,68,0.21124161855303836
41,58,0.30264967391624387
44,60,0.3478166108266629
44,69,0.2878521639132516
44,88,0.33055077402126637
45,93,0.3973928402713526
46,71,0.4924994906400446
46,89,0.389560966237965
48,58,0.2646952577674851
49,71,0.4356504066370065
52,62,0.37025614317834304
54,63,0.33957327137760296
55,56,0.37664066596252965
56,99,0.34644514498823964
57,65,0.44610662598620177
57,83,0.22631414918447082
57,95,0.4030875634986121
57,104,0.4199742330338025
58,85,0.29115693741448967
59,92,0.39989722907160263
60,91,0.4405857170137955
63,94,0.5136273492060195
63,96,0.37800751678801925
66,67,0.3415268716181784
67,77,0.3164432806903745
70,87,0.15097700632371824
71,94,0.5047620863801014
72,102,0.31688069260583684
73,86,0.3286289630032929
74,84,0.3187604963863924
75,103,0.27316381800299144
78,79,0.3995518583409005
90,92,0.49989788227983595
97,101,0.125788215596743
98,105,0.40385853235862573
98,100,0.33657325949979205
