source,target,weight
0,2,0.6265636809500292
0,5,0.3980275025524313
1,19,0.6354796254990257
1,16,0.6128948112352115
2,29,0.28148165242201184
3,32,0.49063687609270557
3,515,0.25088492193401407
4,612,0.4876182496295847
4,41,0.38637607296243404
4,423,0.42933566869385764
6,455,0.3656036253857777
6,464,0.2330069567505716
7,612,0.4111564406876543
8,71,0.3518146424306264
9,18,0.4792778697097646
9,13,0.21663474406134092
10,53,0.30715185656880417
11,422,0.3813324439003379
12,15,0.82978639319653
12,611,0.2825607466085318
14,396,0.39639116982074923
16,247,0.3744596026547744
17,196,0.2732070915218817
18,394,0.2823465507020032
20,250,0.23891106956563612
21,430,0.3967666753141069
21,486,0.2894226589872877
22,131,0.39120376525898914
23,424,0.5546553108528098
24,299,0.39452981855985586
24,369,0.3352401192275672
24,618,0.3564958395195349
25,540,0.3743396248154023
26,99,0.429290963040845
27,221,0.5221794883721151
27,254,0.392767798451312
27,532,0.2855014206806265
28,328,0.33027623360146713
30,293,0.2614263692069502
31,479,0.3273073063277149
32,563,0.2982694374735072
33,545,0.22255790011882023
34,73,0.4513803296441395
34,142,0.4162721529264445
35,501,0.24821597367871054
36,37,0.43917310084453814
37,323,0.5839698494419545
37,48,0.4396085121680795
38,39,0.6694823745262056
38,213,0.34522564590230015
40,202,0.4005259185257187
42,575,0.2686602292014372
43,167,0.36052553289093886
44,545,0.3442987608185032
45,211,0.6920703051366495
45,159,0.41616416048612803
45,516,0.4319845421592228
45,538,0.3954134665399291
46,443,0.37962808177089397
47,181,0.2939900572704313
49,459,0.43747288302769816
50,172,0.36941831195497593
51,98,0.3505536177580575
52,386,0.3713745244979551
53,88,0.4355152894585186
53,138,0.3751453807009436
53,475,0.3400168319025462
54,443,0.3640743810810839
54,55,0.35417632762927476
56,82,0.3243628922538981
57,612,0.48537261262694087
57,531,0.35239356741893985
58,159,0.33754944428916933
58,249,0.29435006807908093
59,573,0.3635348188462299
59,607,0.21089112544903
60,546,0.34370974512190566
60,196,0.3309378645804271
61,456,0.3586491677831069
61,81,0.29295145585919685
61,245,0.2538349930960875
62,481,0.3660581654743348
63,76,0.2741141803908307
64,612,0.34813802794607884
65,73,0.4270218028540312
65,136,0.34435967480350055
66,302,0.2171010866058249
67,68,0.39735347916033176
67,279,0.23400993404694398
69,221,0.7229860923557418
69,243,0.25366280403564273
70,170,0.22277901784439658
72,174,1.0000000596046448
72,101,0.847466437087137
72,487,0.877076176867563
74,132,0.4888615691362258
74,105,0.40035763334494634
75,506,0.4120099866696734
75,319,0.38430422150380605
76,477,0.30734790974554527
77,80,0.3277692720318987
78,593,0.3660993267528947
79,92,0.33960389156289944
80,82,0.36703771302689897
83,167,0.5087845444743173
83,116,0.44068798475836823
83,182,0.4492688327485523
83,253,0.36018369156405805
84,288,0.15317821502685547
85,211,0.3957247918291915
86,87,0.8567570011902774
86,153,0.34766546212710553
88,119,0.577784316985375
88,430,0.4510530411256412
89,90,0.9322336773270615
91,459,0.3312145076819368
92,225,0.2161046233921569
93,359,0.29055086978547584
94,271,0.27722853576862855
95,292,0.20282050903002996
96,213,0.2584644652828567
97,480,0.34572276864629486
100,506,0.6778432360474252
102,196,0.26036354636988956
103,259,0.3635331573453534
104,119,0.40751091436663933
106,505,0.41047954864755865
107,456,0.4320952520382865
107,568,0.3439929831689034
108,109,0.9380289453135855
110,505,0.4472566676355831
110,488,0.3703001964221033
111,139,0.36665648635116727
112,505,0.4625572403574677
113,209,0.9999999701976775
113,199,0.382845124129841
113,265,0.9317765233698596
114,210,0.5416150764605613
115,406,0.3173744760014353
117,459,0.42683588203619416
118,167,0.41360453942288467
118,141,0.27115942893553924
119,177,0.5561081094986013
119,567,0.30320773260741574
119,594,0.3914560638751883
120,335,0.41257808696195997
120,140,0.23903533396958931
121,429,0.9964112745702385
121,472,0.40439093403846293
122,354,0.805895650972217
122,123,0.7739661231718533
122,145,0.6334398347954275
122,157,0.7519568662337089
122,462,0.35774976262128955
124,275,0.7933713270769696
124,431,0.6868335659925665
125,331,0.3784158572535742
125,151,0.3605920240323106
126,139,0.22486724148128096
127,513,0.3215082906800565
128,139,0.3666263683499818
129,165,0.694139051990913
130,133,0.5159035094369075
130,248,0.42215406397336785
130,451,0.29733633855455616
131,172,0.904597424530782
131,156,0.3960583144547246
131,295,0.42737213636779064
132,168,0.4705717399520928
134,275,0.9150857815779063
134,137,0.8257835472183118
135,275,0.9825590933619034
135,452,0.36774469853897
137,339,0.7390130801194212
137,347,0.8106547600288092
139,193,0.35345996102842214
142,376,0.3586472046472973
143,461,0.48981627584784965
143,171,0.45168060772820273
143,278,0.41391969196161577
144,595,0.35012646145446835
146,149,0.7499155858713034
147,151,0.22710930471117272
148,448,0.20682874691976233
149,523,0.4344735158628018
150,168,0.4101777680365536
151,473,0.29732107759523585
152,177,0.47341560765053325
154,372,0.3645344201467595
155,171,0.4048366943155925
155,178,0.28284435435738997
158,201,0.4008785568337213
158,219,0.39030601097145823
160,339,0.5437889248996994
162,463,0.729701625080381
163,176,0.35369752355699857
164,169,0.3690318873697378
165,428,0.7413440397627828
166,312,0.2531819076376524
166,522,0.21586903525799822
167,211,0.5256135846945281
167,201,0.5149470774778078
167,446,0.37050175423625525
167,519,0.42897993049843
168,173,0.3934187153660782
169,422,0.391357426190574
170,443,0.33321626706620344
172,187,0.42979297005756384
172,194,0.5523174788629797
172,203,0.5241314932926214
172,469,0.4950252823121303
173,161,0.3663115627171863
175,545,0.45858100686042225
175,232,0.34993528053322753
177,180,0.5345368462914227
177,307,0.5078736547785083
177,324,0.515435997953128
177,372,0.437878641272906
177,466,0.35474541735231424
177,482,0.3659452857359411
179,212,0.41936318198372236
180,205,0.4251328060802607
180,384,0.3906847718271682
183,544,0.23484234354157352
183,185,0.20275013539655518
184,284,0.25767802137591567
186,612,0.27946728797109965
188,189,0.9363568361715895
190,191,0.8032540576862643
192,217,0.5130291520362777
192,212,0.4365503359405226
195,210,0.67750605604313
195,217,0.6574029019040387
195,303,0.43781625869582824
196,379,0.23943063572189405
197,206,0.45050074828605824
198,336,0.40063012002259585
200,469,0.44411002287691537
201,215,0.5058358792998199
202,336,0.4654020933251015
204,537,0.4017699763912801
207,495,1.0000000596046448
207,208,0.9999999701976776
208,449,0.7153045000330607
210,450,0.3298204752141346
211,337,0.3892509911081199
211,435,0.5292304274869419
211,437,0.436537431223992
211,443,0.4704559644881645
211,458,0.39247164573903026
211,459,0.5467040378722393
214,215,0.4478538196746523
216,418,0.46735708266110354
216,528,0.44619961505825634
218,431,0.27520602912884634
220,457,0.19349763605431813
222,520,0.9557360704739349
223,224,0.6066246604627619
223,289,0.2979675779782769
224,470,0.688148168514425
226,516,0.38201945968743134
226,471,0.3501401249180741
227,235,0.46161918912039224
228,521,0.2100899170899733
229,524,0.4847683621668737
230,231,0.4225061889583036
230,403,0.39402733307785176
231,234,0.3826183257452048
233,242,0.34877108023937275
234,261,0.32203326027270784
236,529,0.27624913054293937
237,241,0.3840995717268641
238,543,0.3155966152510087
238,239,0.31086431900043815
240,443,0.3860450445281651
240,575,0.30433744517703154
244,516,0.35770551342573453
244,344,0.32612392020040226
246,262,0.2740904773661964
248,378,0.3264347572448324
251,263,0.503655503750893
251,302,0.28180013056270925
251,306,0.40081148439200537
252,396,0.28886277006381395
252,375,0.18271184563773343
253,610,0.3102703860108149
255,563,0.2879607315045399
256,257,1.0000001192092896
256,340,0.29104328034034765
256,436,0.38761403240736203
256,442,0.3489113181980125
258,298,0.38818843728119856
259,320,0.28253208570525895
260,443,0.43992378173679947
263,300,0.6049414608159837
264,300,0.3143726694253758
266,270,0.5097198509742296
266,338,0.3057639837035582
267,344,0.3140480202557589
267,402,0.22586932097638138
268,484,0.24070876973104563
269,407,0.4139000332771198
271,286,0.5457440554730606
271,287,0.46010392911264253
272,312,0.3693922284673648
273,514,0.3004219786524053
273,291,0.2975668497248991
274,415,0.2910977768473986
274,292,0.21140457928985268
275,334,0.5048195780546403
276,462,0.1686583703830763
277,445,0.26380000940801024
277,454,0.2320157487384373
278,345,0.4095420873570194
280,341,0.4663776918649972
280,400,0.4109385893788391
281,538,0.19856919004181312
282,354,0.6856300289509188
282,570,0.5691889613816326
283,410,0.181275089241471
285,564,0.188531031611651
288,601,0.16369205112669383
290,528,0.29157401755030443
293,415,0.41829982358373696
294,467,0.7104712186711823
296,297,0.21128001809120178
297,580,0.26724050830153245
299,517,0.3855505835639913
299,535,0.34332056233532227
300,447,0.3474052190800314
301,325,0.4209883626198166
304,475,0.19994471246235218
305,514,0.24577423646091728
306,332,0.1550818532705307
306,393,0.3887460702447417
308,539,0.25269409862023107
309,453,0.3903034659881629
310,445,0.26766824200613093
311,393,0.3214962252821856
312,343,0.4119485486526021
313,514,0.3147861744443631
314,381,0.318123896109185
315,316,0.7579586707815624
315,317,0.740015963261977
315,321,0.28227323250204983
318,470,0.74553368862636
322,330,0.31790508191388644
322,414,0.2985957791579267
322,586,0.2790402496749063
324,328,0.5102091834419265
325,326,0.9999999403953552
325,444,0.44300567435854166
325,617,0.34600198725221026
327,329,0.32365930866022635
328,597,0.3549769491931095
330,335,0.6513612888594871
331,507,0.4710530592906933
333,409,0.354313334460445
334,585,0.3288193442792407
335,346,0.4010351277623291
336,347,0.4659994390329532
341,418,0.5000134634258669
342,419,0.9999999403953552
342,420,0.9999999403953552
342,427,0.9999999403953552
347,438,0.48390031431201447
347,508,0.8101786880552376
348,349,0.4406185255671294
350,508,0.3759308373249085
350,357,0.3049234758505716
351,362,0.3798259633405632
352,366,0.3596168097397494
352,417,0.18587478788249479
353,358,0.26145372552233925
355,431,0.26909327271441763
356,363,0.28708351794775816
358,359,0.3287229437974293
360,363,0.34878137279450316
