source,target,weight
0,6,0.29476190284553955
1,6,0.5439222117300904
1,2,0.41359972269274803
1,3,0.4334945604493234
1,8,0.2834260008924724
1,14,0.25585913710472474
1,17,0.45319279244309174
1,22,0.18508223595191092
1,38,0.4964520125610665
1,43,0.2889388748726741
2,7,0.28601676014323746
2,37,0.2329277575141571
4,5,0.9621574936100518
6,10,0.26904772844538405
6,16,0.2945340820038719
6,34,0.2917129443684027
6,40,0.3408370139728856
6,48,0.27957233180546953
9,15,0.22622182965278625
10,36,0.25534715968350835
11,57,0.2263033563669086
12,52,0.20628419518470764
13,38,0.304543042827525
15,38,0.39438673011517417
15,25,0.33524091193921796
18,19,0.272000253200531
20,26,0.1803840815188062
21,51,0.48493514262936244
23,51,0.53708435985222
23,26,0.18869322885513518
24,48,0.2781560235286983
24,28,0.22658758490028572
26,27,0.1361239105463028
29,32,0.20914155416130067
29,53,0.19881968727178218
30,41,0.3395091730210295
30,33,0.11973008110069841
31,57,0.30157196521759033
32,45,0.3172978785679779
35,47,0.27486962835965545
38,39,0.33808861475000473
40,46,0.3096288133563763
41,57,0.3640521514189021
41,54,0.2732769625438025
42,44,0.20641869853521744
44,45,0.475130578942762
46,50,0.18377131281087214
48,49,0.0955611652168068
55,56,0.27971276425881847
