source,target,weight
0,13,0.4750086013582676
1,8,0.2523448694800631
2,5,0.2520343440703795
3,6,0.31284967440545325
4,9,0.1965092475240918
5,49,0.25744096518711407
7,55,1.0
8,12,0.27201831994389786
9,11,0.1977768638345394
10,32,0.2792196440557452
11,223,0.23966094285599465
12,31,0.27363407708097576
13,208,0.28975270535277653
14,150,0.17412304237235698
15,218,0.19649496771870933
16,245,0.23087474990090856
16,236,0.19690110763235047
17,55,1.0
18,55,1.0
19,107,0.24157652016626457
20,231,0.2012728156490489
21,233,0.3620558264798479
21,70,0.21973682811749307
22,55,1.0
23,55,1.0
24,55,1.0
25,51,0.2469483939743839
25,58,0.22641420579542035
26,55,1.0
27,55,1.0
28,55,1.0
29,55,1.0
30,55,1.0
31,32,0.5154636983869474
31,62,0.33106867660998895
33,55,1.0
34,55,1.0
35,55,1.0
36,74,0.34958151927706
36,87,0.21629684689810488
36,89,0.20303099700990135
37,55,1.0
38,55,1.0
39,55,1.0
40,55,1.0
41,237,0.19825203716754913
42,55,1.0
43,74,0.3530176754252344
44,55,1.0
45,55,1.0
46,55,1.0
47,52,0.30325468692187896
48,53,0.43909616776143834
48,50,0.41123538075576116
49,52,0.3374825821313427
50,52,0.38549389397555994
52,60,0.295768178656139
54,55,1.0
55,57,1.0000001192092896
55,56,1.0
55,59,1.0000001192092896
55,66,1.0000001192092896
55,68,1.0000001192092896
55,69,1.0000001192092896
55,71,1.0000001192092896
55,72,1.0000001192092896
55,73,1.0000001192092896
55,75,1.0000001192092896
55,76,1.0000001192092896
55,77,1.0000001192092896
55,78,1.0000001192092896
55,79,1.0000001192092896
55,88,1.0000001192092896
55,91,1.0
55,93,1.0000001192092896
55,94,1.0000001192092896
55,95,1.0000001192092896
55,96,1.0000001192092896
55,97,1.0
55,98,1.0
55,99,1.0
55,170,1.0
55,216,1.0
55,254,1.0
59,80,1.0000001192092896
59,81,1.0000001192092896
59,82,1.0000001192092896
59,83,1.0000001192092896
59,84,1.0000001192092896
59,85,1.0000001192092896
59,86,1.0000001192092896
59,241,1.0000001192092896
59,246,1.0000001192092896
59,249,1.0000001192092896
59,250,1.0000001192092896
59,252,1.0000001192092896
59,255,1.0000001192092896
61,120,0.26855128476697593
61,63,0.2603909899557539
64,188,0.2824281007082119
65,228,0.28210887552326086
74,92,0.3193586438855526
90,234,0.23665380354660676
92,197,0.24243383789882228
100,231,0.24433853681770665
101,226,0.5416232486465514
101,105,0.24913121022214668
101,171,0.3736352705681112
102,174,0.2212863737193588
103,130,0.22991763061781245
104,242,0.2421849396176891
104,159,0.18895015120506287
106,128,0.2756775385905809
106,243,0.1894732475955123
107,193,0.6819727202133329
108,118,0.23733666392978386
108,185,0.20043032410080341
109,123,0.31261279313757667
109,146,0.2443968202031379
109,179,0.23895808921266184
109,204,0.19868302299756974
110,151,0.3072607157972818
111,118,0.3106507039552915
112,138,0.29708079924723674
112,235,0.22656485561512696
113,132,0.4131077832997203
113,130,0.3501437293250599
114,218,0.36078341290952043
114,136,0.31853784590232087
115,143,0.475139138660469
115,187,0.3476321284643745
115,206,0.15784667432308197
116,118,0.23194845050939744
117,237,0.15280279517173767
118,125,0.33006113034009454
118,230,0.2958252969960582
119,196,0.2985306417128751
121,133,0.3832975832059703
121,156,0.2668393539469894
121,184,0.34828045873217517
122,201,0.26703458303339245
123,160,0.497992854045783
123,153,0.29244595346541735
124,192,0.27458611524959814
125,164,0.2571553691903229
126,195,0.2982284892615766
126,144,0.21199244085865887
126,232,0.2819836550581315
127,242,0.223319146276381
128,138,0.3691400538476596
128,149,0.35973264154778023
129,190,0.2965865956202811
130,186,0.14256688630013417
131,202,0.3051227818729289
133,173,0.19824134374857091
133,176,0.2434142611446551
133,251,0.284868861931994
134,229,0.35889653834034996
135,67,0.22209147524678108
135,139,0.3714181939413446
135,202,0.3233251938128902
136,211,0.19177971417575168
137,138,0.31352423309477956
137,158,0.29395510315069084
138,150,0.2942865730532792
140,239,0.34037368724882217
140,141,0.24466265449810082
142,150,0.26843988157521576
143,174,0.32604228528671064
143,195,0.3329338535408513
145,198,0.33213238837306386
145,181,0.2779955463375885
147,148,0.9999999403953552
149,162,0.3195641978790874
149,180,0.2685549720467732
152,160,0.4213340667963581
154,205,0.3676329898976951
154,224,0.27508814086377
154,248,0.36597349472049656
155,157,0.3363137579235267
161,223,0.33682203011827
161,234,0.31366878437474655
163,237,0.3259165087134506
163,166,0.23666401530744488
165,193,0.2979543305251852
167,168,1.0
167,172,1.0
169,190,0.428192285200145
171,191,0.2847789861574558
175,178,0.26362149576445865
177,189,0.2773756280314137
177,212,0.21979530244064507
178,238,0.13292875185335506
182,217,0.9543314278125763
183,231,0.2633604550438159
185,215,0.1669036030824494
188,222,0.32024986205924955
192,253,0.33851790765980994
193,194,1.0000000596046448
193,220,1.0000000596046448
196,253,0.31134489411232386
199,233,0.3966639097825123
199,210,0.3277239390501683
200,207,0.20001059809374006
203,225,0.3930060539120055
203,209,0.32131000814357524
205,229,0.3702252296400468
207,229,0.2583603256983825
213,214,1.0000000596046448
217,247,0.49420389509188045
218,219,0.9785530270332672
221,231,0.29140381911879204
222,227,0.2466951829881271
223,228,0.2989561942988944
231,239,0.42896217977993
231,240,0.2215320169165152
233,245,0.5226776558677414
233,244,0.3607126245671743
242,247,0.3043547527211311
