source,target,weight
0,1,0.6169318829421905
1,3542,0.6468910943254185
1,570,0.3912572396717722
1,3350,0.512853345178278
1,3544,0.6163118128137184
2,1440,0.5879029534034935
2,107,0.27419117817575067
2,1430,0.392041688015774
2,3229,0.4281454241219964
2,3309,0.4124749875609012
3,3532,0.5122227388716941
3,3519,0.49778763676475346
4,1447,0.4718894855892086
4,3218,0.2804874709625242
5,6,1.0000001192092896
5,12,1.0000001192092896
5,24,1.0000001192092896
5,44,1.0000001192092896
5,64,1.0000001192092896
5,71,1.0000001192092896
5,115,1.0000001192092896
5,165,1.0000001192092896
5,199,1.0000001192092896
5,200,1.0000001192092896
5,229,1.0000001192092896
5,230,1.0000001192092896
5,301,1.0000001192092896
5,306,1.0000001192092896
5,318,1.0000001192092896
5,329,1.0000001192092896
5,330,1.0000001192092896
5,331,1.0000001192092896
5,335,1.0000001192092896
5,342,1.0000001192092896
5,354,1.0000001192092896
5,355,1.0000001192092896
5,371,1.0000001192092896
5,372,1.0000001192092896
5,398,1.0000001192092896
5,411,1.0000001192092896
5,417,1.0000001192092896
5,444,1.0000001192092896
5,448,1.0000001192092896
5,452,1.0000001192092896
5,464,1.0000001192092896
5,466,1.0000001192092896
5,468,1.0000001192092896
5,478,1.0000001192092896
5,482,1.0000001192092896
5,483,1.0000001192092896
5,484,1.0000001192092896
5,488,1.0000001192092896
5,526,1.0000001192092896
5,527,1.0000001192092896
5,536,1.0000001192092896
5,544,1.0000001192092896
5,551,1.0000001192092896
5,585,1.0000001192092896
5,591,1.0000001192092896
5,596,1.0000001192092896
5,598,1.0000001192092896
5,599,1.0000001192092896
5,613,1.0000001192092896
5,614,1.0000001192092896
5,617,1.0000001192092896
5,650,1.0000001192092896
5,662,1.0000001192092896
5,663,1.0000001192092896
5,664,1.0000001192092896
5,674,1.0000001192092896
5,685,1.0000001192092896
5,968,1.0000001192092896
5,1049,1.0000001192092896
5,1063,1.0000001192092896
5,1071,1.0000001192092896
5,1072,1.0000001192092896
5,1080,1.0000001192092896
5,1094,1.0000001192092896
5,1102,1.0000001192092896
5,1106,1.0000001192092896
5,1109,1.0000001192092896
5,1115,1.0000001192092896
5,1128,1.0000001192092896
5,1133,1.0000001192092896
5,1135,1.0000001192092896
5,1136,1.0000001192092896
5,1140,1.0000001192092896
5,1146,1.0000001192092896
5,1156,1.0000001192092896
5,1162,1.0000001192092896
5,1166,1.0000001192092896
5,1172,1.0000001192092896
5,1175,1.0000001192092896
5,1176,1.0000001192092896
5,1182,1.0000001192092896
5,1194,1.0000001192092896
5,1196,1.0000001192092896
5,1204,1.0000001192092896
5,1208,1.0000001192092896
5,1217,1.0000001192092896
5,1229,1.0000001192092896
5,1241,1.0000001192092896
5,1243,1.0000001192092896
5,1258,1.0000001192092896
5,1269,1.0000001192092896
5,1270,1.0000001192092896
5,1279,1.0000001192092896
5,1281,1.0000001192092896
5,1304,1.0000001192092896
5,1327,1.0000001192092896
5,1354,1.0000001192092896
5,1418,1.0000001192092896
5,1424,1.0000001192092896
5,1479,1.0000001192092896
5,1480,1.0000001192092896
5,1498,1.0000001192092896
5,1527,1.0000001192092896
5,1535,1.0000001192092896
5,1573,1.0000001192092896
5,1574,1.0000001192092896
5,1582,1.0000001192092896
5,1584,1.0000001192092896
5,1590,1.0000001192092896
5,1591,1.0000001192092896
5,1619,1.0000001192092896
5,1628,1.0000001192092896
5,1632,1.0000001192092896
5,1641,1.0000001192092896
5,1652,1.0000001192092896
5,1653,1.0000001192092896
5,1658,1.0000001192092896
5,1670,1.0000001192092896
5,1678,1.0000001192092896
5,1694,1.0000001192092896
5,1696,0.3482642344861455
5,1710,1.0000001192092896
5,1720,1.0000001192092896
5,1721,1.0000001192092896
5,1772,1.0000001192092896
5,1775,1.0000001192092896
5,1874,1.0000001192092896
5,1987,1.0000001192092896
5,1999,1.0000001192092896
5,2014,1.0000001192092896
5,2023,1.0000001192092896
5,2025,1.0000001192092896
5,2031,1.0000001192092896
5,2032,1.0000001192092896
5,2039,1.0000001192092896
5,2045,1.0000001192092896
5,2046,1.0000001192092896
5,2049,1.0000001192092896
