source,target,weight
0,82,0.24636806569501932
1,71,0.18148657595796952
2,29,0.338201981023262
2,6,0.31425869316137856
2,27,0.285355380151082
3,61,0.16352379188728533
4,84,0.2264838960834099
5,12,0.244349975443437
6,15,0.24612117864028035
7,12,0.2782769698413896
8,18,0.4222045135034639
8,10,0.21860015094781515
8,12,0.3952483141671645
9,64,0.3173627730219949
9,50,0.19970917843236097
11,13,0.3342943592327452
11,42,0.32051260141828897
11,47,0.15781395044855173
14,66,0.21347286197392884
14,49,0.19447264982476942
15,37,0.20570595952185836
16,78,0.3134523130009647
16,21,0.1699873900201868
17,95,0.23523898833830634
17,65,0.16001974367113178
18,53,0.19435665011405945
19,29,0.3764677687377724
19,24,0.1578845065072566
20,79,0.18889640502647081
22,64,0.23047084019191189
23,40,0.29329994464946335
25,26,0.2717246903085498
26,32,0.27373239912915265
28,48,0.13708756864070892
29,86,0.2648847673543979
30,46,0.1796848747278588
31,44,0.28546529474942506
32,33,0.35169815284280737
32,88,0.1384838968515396
34,97,0.22173247613464914
35,38,0.25288334111667243
36,92,0.20626943718906532
38,98,0.18025071937808437
39,41,0.3855979353415753
39,58,0.31477855115557696
40,41,0.29856357444209414
42,85,0.28161246033210635
43,51,0.20256911331334077
44,56,0.3118019669611761
44,62,0.11852870881557465
45,96,0.18887099623680115
45,90,0.16086088120937347
48,59,0.5445039746018332
49,93,0.19169664571871148
52,57,0.2939287275828616
54,64,0.30144425635069794
56,55,0.353206270488282
60,61,0.27384880331313555
63,70,0.2134510249682905
63,68,0.20398189992615026
64,72,0.49798345035858815
66,67,0.4610131523453991
67,69,0.25348956488091645
71,97,0.1901620775461197
72,89,0.2845721324350323
73,77,0.4488605530241998
74,76,0.5033637891891356
75,77,0.5454605987003558
77,81,0.6235421458148604
77,79,0.5576536032931184
77,80,0.5734609284509931
79,83,0.5402768241990472
80,82,0.5325350614880089
86,94,0.18009981513023376
87,96,0.1446259617805481
91,92,0.3991167916473989
