source,target,weight
0,30,0.34686310261025066
1,2,0.30472127619259437
3,10,0.3176835200273227
4,23,0.32090562818109153
5,62,0.2891617430452648
6,30,0.17630674267732405
6,8,0.17431353247401887
7,26,0.29921710661942336
8,50,0.11019893784024615
9,55,0.2778025587140305
11,18,0.12116073071956635
12,19,0.31699378494820407
13,42,0.2635415196418762
14,42,0.13199157190283994
15,23,0.4360248477941814
15,16,0.4187238458572432
15,51,0.1604904412275734
16,18,0.1668659883385118
17,60,0.3030898903638326
21,28,0.42381699344011653
22,40,0.2808353520168382
24,38,0.4364463834309875
25,63,0.2189185601235276
26,34,0.10642538170867022
27,46,0.39700102103757884
28,47,0.32002405592884176
28,48,0.257681527949118
29,31,0.2444630130943501
31,32,0.3687118352961122
32,33,0.9971547627097919
35,61,0.2723849016002542
36,39,0.575496257562854
37,41,0.7526889655277516
37,38,0.5948473734914776
39,54,0.13610316812992096
40,41,0.9220839993707228
43,64,0.2765937481774693
44,55,0.27351556460915394
45,20,0.2829312053231264
45,63,0.3125273785906279
49,63,0.3591519705900383
49,56,0.2873128374044363
52,53,0.20264670749362512
53,64,0.26253096910772755
57,58,0.42116799922524184
59,61,0.35227097238302657
60,63,0.49467107721384307
60,64,0.46882748116250156
61,63,0.5601394238314501
62,64,0.39672230934739705
