source,target,weight
0,4,1.0000000000000002
1,5,1.0
1,11,0.9706999064289963
1,15,1.0
1,17,1.0
1,21,1.0
1,28,1.0
1,30,1.0
1,32,1.0
1,35,1.0
1,43,0.49375832627023886
1,47,1.0
1,49,1.0
1,51,1.0
1,54,1.0
1,70,1.0
1,74,0.8282423260366146
1,80,1.0
1,85,1.0
1,92,1.0
1,96,1.0
2,77,0.24818607123826641
3,77,0.33461377454310687
3,61,0.12756140530109406
4,6,1.000000059604645
4,8,1.000000059604645
4,10,1.0000000000000002
4,14,1.0000000000000002
4,16,1.0000000000000002
4,20,1.0000000000000002
4,22,1.0000000000000002
4,27,1.0000000000000002
4,29,1.0000000000000002
4,31,1.0000000000000002
4,34,1.0000000000000002
4,36,1.0000000000000002
4,42,1.0000000000000002
4,46,1.0000000000000002
4,48,1.0000000000000002
4,50,1.0000000000000002
4,53,1.0000000000000002
4,57,1.0000000000000002
4,67,1.0000000000000002
4,69,1.0000000000000002
4,73,1.0000000000000002
4,79,1.0000000000000002
4,84,1.000000059604645
4,91,1.000000059604645
4,95,1.0000000000000002
7,68,0.5165634061787427
7,37,0.42845113966030035
9,77,0.42691576921992713
9,39,0.269886391991442
12,89,0.3512753156549455
13,81,0.15825923128074018
18,33,0.5305233040981296
18,52,0.4365886931057877
19,38,0.28771172214723306
23,25,0.40504307553051805
24,71,0.44244803148743794
26,58,0.20385306460846386
33,55,0.4765114347455646
37,38,0.42349897748312926
38,58,0.381523399192607
40,89,0.3480397995802766
41,93,0.22491795309369458
41,94,0.19258031249046326
43,44,0.3047959829631439
45,59,0.1909932780183714
55,56,0.336681251778932
55,75,0.30803599778076235
59,89,0.3290679317160189
60,63,1.0000001788139343
60,64,1.0000001788139343
60,66,0.5742225013732638
62,66,0.4397519334779918
65,90,0.20158557258613627
71,83,0.976962149143219
71,82,0.5567042596705902
72,89,0.27878588148816585
76,88,0.338051651929309
77,78,0.3754205056694343
77,81,0.32892446723878477
78,98,0.22269492999128826
83,86,0.48903896041004746
83,88,0.9543313682079315
86,93,0.3452529716101865
86,97,0.36051176005058627
87,89,0.5709552914064823
97,99,0.3058567091369566
