source,target,weight
0,93,0.20165597673258712
1,87,0.2650241125805133
2,38,0.16146489369957545
3,66,0.18429377155119378
3,68,0.12346524561698292
4,23,0.2052165996196187
5,40,0.29890590725473704
5,77,0.2801645185055516
6,10,0.18457549679143104
7,31,0.2069329023361206
8,86,0.23911410990597387
9,23,0.3144579249733241
10,12,0.2916485412530594
10,46,0.28721071865186987
11,14,0.4501903064514149
12,13,0.4614885507702679
15,34,0.13021987676620483
16,35,0.3109052972713644
17,18,0.25650197198077423
18,23,0.3290590880518915
19,66,0.2626883790317442
19,43,0.17676568368517062
20,66,0.241684783613501
21,87,0.556991089197145
21,37,0.5161659439799552
22,93,0.3341969641908587
22,28,0.1785045456835247
22,70,0.25370578248053594
24,25,0.1517317295074463
26,103,0.6520564880061068
27,82,0.8975293119145664
29,32,0.5060489874382371
29,30,0.23066405063712425
31,64,0.14055643590715297
32,65,0.42164994443985054
33,36,0.3700513171114411
34,94,0.23701073260377373
35,36,0.3722884023198427
38,49,0.3133181392587963
38,55,0.19937052653789275
38,84,0.15960458394325117
39,49,0.3586180789154082
41,45,0.32295026421111983
42,103,0.3565744815248931
42,79,0.15101357180204422
44,66,0.23281225124444763
47,85,0.1187259637451008
48,82,0.8092047752958728
48,63,0.6668390990812232
49,95,0.5797678819240981
50,71,0.7661075962967914
51,53,0.3147581671624571
51,66,0.27292108581234825
52,53,0.27896022630970607
53,65,0.3331391595052655
54,71,0.6145381048462479
56,59,0.31926214461065605
57,93,0.3369469066769015
57,61,0.2528358752206894
58,82,0.8553035283914443
58,92,0.3757759329599382
58,102,0.40821631497069527
59,73,0.29120112808229454
60,95,0.777638036770995
62,71,0.5105760435512138
67,87,0.4808860256229368
69,71,0.7938871400590863
71,82,0.8257056073073938
72,75,0.8114387658988299
74,94,0.20001452325810373
75,87,0.7703859287986055
76,78,0.9575563621745158
77,99,0.2400149974981464
78,82,0.972764077465448
79,80,0.1258231761957264
81,95,0.23897248518530442
83,85,0.4097359165361416
86,90,0.42884864231240405
86,89,0.3187856752502328
88,91,0.27176466360785834
96,98,0.9999998807907104
96,103,0.9643922914129219
97,100,0.2243066484147544
100,102,0.3076991016907416
100,101,0.271032243154212
