source,target,weight
0,4,0.16870988078113866
1,22,0.2994189932285642
1,110,0.28319339477751504
2,9,0.22510340260307068
3,18,0.3310083865988057
3,4,0.2602846015849547
3,95,0.140070378780365
5,90,0.3182853713663989
5,61,0.22962157229816776
6,63,0.20551319838719828
7,8,0.3156181540158072
8,9,0.33470539888265743
10,100,0.33359054204207866
10,11,0.19316128100559607
10,101,0.23258810330305785
10,103,0.23552690774348467
12,29,0.2040627854902719
13,72,0.13406215497219168
14,15,0.3722780495771302
14,68,0.15311131636380834
16,28,0.25474039740105975
16,63,0.23439922119067894
17,18,0.41313328279999734
18,27,0.3848819756218951
18,106,0.17302474284321132
19,60,0.3849097156512971
19,24,0.3744560849681008
20,28,0.2949766944474175
21,22,0.252819486957899
23,25,0.1999342441558838
23,55,0.16800788044929504
24,47,0.25549227114984996
24,69,0.34384610237235425
24,82,0.28510870428192253
26,87,0.27667534371891445
27,71,0.20825198816582047
30,64,0.312193492459648
30,34,0.28744935673099326
31,36,0.13302678760316827
32,58,0.2702771700947504
33,34,0.16528908843210427
35,92,0.3728446890896743
35,37,0.3284396674418799
35,46,0.2618505171091684
35,84,0.2480219935681112
35,114,0.2528103608349833
36,107,0.25314252456180564
37,74,0.2888553565444354
37,104,0.18402789897025668
38,109,0.1927361082985205
39,92,0.2991379103376
39,72,0.20512694337974258
40,89,0.2424473950686712
40,109,0.21139695214633825
41,90,0.1813388276967105
42,84,0.19673624118296057
43,98,0.3408932607574836
43,105,0.22051310268681532
44,98,0.38235080982673364
45,98,0.22909130043513842
48,86,0.18539421104951098
49,87,0.2681182516137812
50,108,0.24123177098549864
51,55,0.14628955721855164
52,53,0.3670113949410941
53,54,0.3730506678763956
56,101,0.18426069969536144
57,62,0.29045934045024036
59,86,0.41505578578697205
60,87,0.3739698332178464
60,108,0.319901865553717
62,86,0.33360558207224505
65,66,0.1587430382540407
66,76,0.17399217068589146
66,94,0.13146033883094788
67,102,0.23449708162465382
69,85,0.25210496796760556
70,77,0.30275753688399076
73,85,0.16907706245286425
75,81,0.2591095340202696
76,77,0.25208269420185786
78,83,0.29338001764982
78,88,0.12152113918823612
78,96,0.201575183670017
79,80,0.3546318381609641
80,81,0.38507856137060237
82,113,0.1640127721744295
87,100,0.3545129981263126
89,99,0.1287374496459961
90,92,0.33161308205661166
91,93,0.2262710805987257
97,98,0.36928265344540157
110,111,0.20846860167555015
110,112,0.23103296208881888
