source,target,weight
0,31,1.0000000596046448
0,34,0.24313786596628129
0,38,1.0000000596046448
0,123,0.9558640180125137
1,2,0.5340935510719718
1,6,0.5071082695297406
2,3,0.5362069503348709
2,7,0.47797828265812653
4,22,0.5105312177700811
4,13,0.3986915200846171
5,23,0.2746257355999906
8,20,0.43111091484252506
9,82,0.285597747233471
10,35,0.28539008577030855
11,18,0.5619587421972136
12,25,0.15772672759408243
14,28,0.42860125787935344
15,17,0.5154730045964473
15,36,0.48365685689665266
15,82,0.47043447740190414
16,24,0.4917280304535273
17,18,0.7593870972640862
18,19,0.7386593661797676
18,97,0.5238934223787971
19,22,0.5895910838263642
19,25,0.6900555326091227
19,96,0.4911933008245283
19,102,0.43978621878821006
20,23,0.7194642379864798
20,33,0.5202479888525414
21,26,0.5435345847355966
22,35,0.29920938132278296
24,28,0.5678407178372189
24,88,0.41976851427889705
27,28,0.5605492218476498
28,119,0.47495297022527844
29,30,0.48160016400817174
32,54,0.9999998807907104
33,37,0.5127469598069818
35,86,0.170545266778602
36,121,0.4645916744368592
39,40,0.7829834665128234
39,41,0.4747897279390533
40,43,0.7073136232005868
41,47,0.3853316928789162
42,48,0.43049633119095965
43,62,0.5617893116892911
44,59,0.4589677683882822
44,51,0.3883353404134749
45,46,0.44981914588432526
48,53,0.5134914707759478
49,59,0.4597823778890465
50,60,0.4860042303888135
52,55,0.43740107639651155
55,59,0.439654308462313
56,59,0.5823078407050105
56,57,0.532280764887207
56,58,0.5747320345182564
60,61,0.539022670520876
63,65,0.5124292351208918
64,65,0.5448171355455367
65,66,0.48545280256714995
66,77,0.3563733395375109
67,68,0.2935496096719891
67,90,0.1100777216696991
69,72,0.36866112382271965
70,71,0.3671837380360536
72,108,0.417568730312859
73,105,0.29204153570924746
74,76,0.5059010145519175
75,76,0.512429386804903
78,91,1.0
79,105,0.31439247471053755
79,126,0.16292202843448045
80,84,0.29805777905751335
81,84,0.262882936779817
82,87,0.43724461957334815
83,119,0.37059298039053945
85,97,0.49014771660973555
85,95,0.3011756244499001
85,125,0.3031747717418952
87,89,0.29067565903797293
92,93,0.18605002760887146
93,95,0.2742364480494225
94,114,0.14070898294448853
96,106,0.47921092212574135
97,103,0.4972558378096512
98,107,0.5748346536190587
98,100,0.4616841083036468
99,101,1.0000000596046448
104,106,0.40436889985404645
105,106,0.37225740545406316
109,110,0.6228148444866244
109,115,0.3530649858642808
111,113,0.38600247659083564
112,113,0.3482569145735399
113,117,0.539185719517437
114,118,0.2430427034838783
115,116,0.3507612991501396
117,124,0.43392497942732633
119,120,0.42482357378065033
121,122,0.40995119035633043
