source,target,weight
0,136,0.3149893528417478
0,41,0.20074048130609104
1,123,0.4682695428584235
2,618,0.36759960037957495
3,748,0.49072640145752905
3,568,0.4238775882199597
3,744,0.45503895407795625
4,301,0.37674600729533764
5,400,0.21700000820531817
6,39,0.32812780111012685
7,532,0.13720737397670746
8,626,0.38988742379208613
9,31,0.4032336982655599
10,15,0.22834069307293484
11,626,0.4080424269732722
12,73,0.41600216679672564
12,32,0.24754222598244885
12,410,0.3062417313530408
13,338,0.4473963932456647
14,735,0.3942210507659616
14,147,0.29839514122061916
15,131,0.24151057871658255
16,591,0.4428498377151885
17,767,0.4332920879297275
18,136,0.3828007028777745
18,111,0.37901111712570096
19,45,0.3247254381297842
20,751,0.3047777016824153
20,669,0.2940753469461469
21,747,0.3059501849312617
22,23,1.0000001192092896
22,24,1.0000001192092896
22,25,1.0000001192092896
22,26,1.0000001192092896
22,27,1.0000001192092896
22,30,1.0000001192092896
22,77,0.3662830429689631
22,178,1.0000001192092896
22,472,0.414836907497811
22,659,0.37089380191425175
28,397,0.3490274515278087
29,96,0.3844295422523092
33,166,0.76975743406041
33,37,0.7558065921594087
33,72,0.6664076604884636
33,447,0.36961379967514263
33,639,0.5574560591382278
34,680,0.37705163398538305
35,93,0.4551487351967598
36,197,0.21703300765696315
37,141,0.6637843269267021
38,678,0.3623296810334222
38,355,0.17283558692804873
40,76,1.0
40,186,1.0
40,216,1.0
40,290,1.0
40,291,1.0
40,358,1.0
40,427,1.0
40,428,1.0
40,429,1.0
40,432,1.0
40,434,1.0
40,435,1.0
40,443,1.0
40,444,1.0
40,445,1.0
40,446,1.0
40,473,1.0
40,708,1.0
40,709,1.0
40,710,1.0
40,711,1.0
42,126,0.5575943351853482
42,197,0.2548537701211414
42,350,0.5457870892471692
42,751,0.5417724037622182
43,136,0.42775602597761114
43,470,0.41633888072240754
44,121,0.4518778033514261
44,53,0.34311704023571377
44,82,0.24636690056188326
44,143,0.27263498753705584
45,48,1.0
45,597,0.5138236868927113
45,695,0.5018737290358966
46,49,1.0000000000000002
46,51,1.0000000000000002
46,113,1.0000000000000002
46,115,1.0000000000000002
46,152,1.0000000000000002
46,157,1.0000000000000002
46,218,1.0000000000000002
47,177,0.3878303646800626
47,572,0.2629267592882798
50,114,0.5098583573841224
50,539,0.3796177188397623
50,556,0.36040371698149415
52,559,0.4068059943774597
52,241,0.30655883137915535
54,163,0.23521870680169332
55,474,0.37549130439481343
56,126,0.42788102746379075
56,58,0.2827569620602783
57,63,0.49596670191938574
58,269,0.25165716382505454
59,243,0.21178743943571288
60,364,0.1927723431987762
61,557,0.31775298342846814
61,700,0.2906072506812917
62,591,0.6026775983263225
62,441,0.3551928400993347
63,139,0.3586764388430811
64,593,0.26760587269233876
65,126,0.48825847778344617
65,503,0.23098171831042652
66,223,0.4369663612190833
67,126,0.43402549696118226
68,712,0.4432297457636728
69,311,0.273215840720618
70,552,0.47845957863683053
71,255,0.27219700031650645
73,321,0.42309355974232404
73,80,0.2809302440888366
74,253,0.3385298896058425
74,570,0.3231364519140242
75,234,0.5969759745748742
75,138,0.48166790005289134
75,613,0.41234045008288345
78,750,0.25031675324203495
78,573,0.2107066974911205
79,114,0.4603371618107326
80,154,0.26623905356238786
81,363,0.22222025706193316
83,547,0.4073137808827242
84,305,0.348901292202122
84,100,0.2675309943162796
84,463,0.24220998585224152
85,206,0.4426794154243497
85,92,0.40060289760236834
86,480,0.30076684861469916
86,612,0.24804341793060303
87,90,0.4060429849842353
88,126,0.5457538477505225
88,162,0.3533214867259913
89,215,0.5133410814311812
90,140,0.4686965431235319
91,570,0.23783830856231514
93,442,0.9999999403953552
93,561,0.9999999403953552
93,564,0.29098715592307334
93,565,0.9999999403953552
93,569,0.9999999403953552
93,579,0.9999999403953552
93,584,0.9999999403953552
93,587,0.9999999403953552
93,588,0.9173902869224548
93,741,0.9999999403953552
94,403,0.46824071772993753
94,136,0.43252362121949794
94,170,0.31360039387060795
94,233,0.34080089253159274
95,126,0.4796954520386584
96,450,0.38891954381543403
96,342,0.2382805391060501
96,480,0.3169399875854803
97,250,0.4174809723646779
98,196,0.3286652113686682
98,533,0.21386237110770864
99,184,0.4181941385164121
101,297,0.3431714915599439
102,267,0.4450480513442166
103,761,0.3122340350470783
104,244,0.3342942659562882
104,160,0.31261406671132436
105,165,0.2856436138272839
106,679,0.4180338021663472
107,147,0.26885199971352386
108,243,0.4702616712424966
109,672,0.35699924580666625
110,137,0.347830600600412
110,208,0.3051110524553152
112,219,0.6099861204202429
112,156,0.4674506542522391
112,359,0.5218673423899716
114,217,0.6997460115916079
114,403,0.5949935241174795
116,540,0.3290548264979783
117,403,0.5035197342977076
118,458,0.2236447369766893
119,538,0.4156069631089628
120,258,0.40279945685004914
122,674,0.4362724319527867
124,245,0.5522379583271142
124,263,0.36076164346794665
125,594,0.38713610644596047
126,145,0.676848139034184
126,140,0.653875225651918
126,203,0.45031444257262976
126,426,0.3708796368589573
126,635,0.4119362126031408
126,739,0.4154911531370069
127,374,0.5351270531605571
128,164,0.4305995935694313
129,316,0.2535944432855816
130,455,0.22182859978648545
132,400,0.28918020942600525
133,650,0.822374552488327
134,553,0.24666008950703106
135,659,0.2808034529259559
135,471,0.26215515701208403
138,646,0.39717727661655183
140,226,0.4633245524895023
140,734,0.3983212452825631
142,723,0.41321852009049376
144,315,0.18237049231818817
146,165,0.4197735258740336
148,200,0.39315355856992
149,705,0.4295882510698284
149,476,0.3134179430879585
150,264,0.4472618462596821
151,403,0.4442729256219631
153,636,0.3063189765212233
154,294,0.23112778891990007
155,403,0.4246906889704837
158,761,0.29264702682682564
159,650,0.2679235955862719
159,456,0.2322603936217132
160,251,0.20999996511105176
161,401,0.3559830577643984
163,470,0.40210732374758557
165,168,0.4387062107604476
165,593,0.40063382156629446
166,196,0.4101270967904569
166,297,0.36900569711854736
166,704,0.38007654655925605
166,752,0.43828976835992894
167,608,0.44303320239878974
167,222,0.3172601606541938
169,751,0.47840000746247874
171,369,0.4255748113433737
172,547,0.3423513652801401
173,559,0.21917444256548807
174,749,0.2973715376064242
174,592,0.21788745168022738
175,269,0.2204672672154726
176,250,0.4659871486276951
177,179,0.4362928244581096
180,189,0.460427343760555
180,202,0.40764792413040585
180,239,0.3902728714164454
180,508,0.3712021611129419
180,636,0.39147932571167704
181,403,0.29464698913290077
181,389,0.2873634580747729
182,403,0.4441826205907364
183,222,0.2674594706141314
185,574,0.3593502611157532
187,563,0.3841300597063844
188,299,0.403648438763608
190,538,0.38827312962793825
191,403,0.4982666614301616
191,206,0.4635714426849173
191,243,0.4800127134147867
191,275,0.44627548791497795
192,723,0.48715775704214176
193,246,1.0
193,247,1.0
193,248,1.0
193,256,1.0
193,482,1.0
193,483,1.0
193,497,1.0
193,524,1.0
193,544,0.23806708294846257
194,250,0.5107258886134401
195,230,0.435433157186623
198,693,0.40104753826429107
199,495,0.3447515469887309
199,763,0.22311082792573428
200,368,1.0000000596046448
200,322,0.28448739647865295
200,431,1.0000000596046448
200,477,0.30307050176685907
200,523,0.355611448031622
200,525,0.3683475176635021
201,325,0.3748362060811402
201,320,0.2695800395650868
204,430,0.38901887962171144
205,403,0.5343436049069749
205,279,0.5046805907955421
205,430,0.4299930769122602
205,458,0.431520437757126
205,553,0.48151080008018915
205,720,0.39416786584340924
206,347,0.24237440466821672
207,557,0.3858044695894246
207,272,0.2789517662774089
209,274,0.46432323068109127
210,753,0.32543387216116976
211,212,1.0000000596046448
213,597,0.3563237141741048
214,526,0.2896230319378264
217,219,0.6531630720250234
220,360,1.0000001192092898
221,576,0.29517728492709344
223,692,0.48119520663202886
224,664,0.2453305380345145
225,595,0.2338596250189664
226,623,0.39245803115963795
