source,target,weight
0,26,0.3039932011807255
1,27,0.14672062874552985
1,32,0.09963370859622955
2,30,0.19296885052219293
2,36,0.1530173650904784
3,23,0.3085424432025291
4,6,0.27732396035818857
5,6,0.14416008789442636
6,30,0.2847882511714014
8,7,0.45087983883046856
9,14,0.41618838821778065
9,10,0.4124406005238085
9,38,0.3372346434048123
10,16,0.14064452465408467
11,42,0.3857943017422162
12,22,0.14043097263686039
13,42,0.2569877748173828
15,17,0.338972716791733
17,29,0.3640523050380793
17,27,0.1878311174681622
17,33,0.326178219564469
17,39,0.2096201007689917
18,24,0.32862670707812197
19,29,0.40909810453336554
19,21,0.37940928271142565
19,28,0.3094043540979134
20,22,0.3074842223301051
21,22,0.3138491767202907
25,37,0.39006548289512066
29,30,0.5359664848748574
29,31,0.3707296038128053
34,35,0.15169228806021462
35,43,0.3765890361421375
37,40,0.31763695031355227
41,43,0.2014758676098599
