source,target,weight
0,6501,0.21851990854928746
1,408,0.40579714713861037
2,20,0.5040625548602686
3,240,0.49478332698156724
4,5783,0.46768436901382376
5,6687,0.3362506628746395
6,73,0.46372760590563855
7,4074,1.0000000000000002
7,7095,0.9999999105930331
7,7115,0.9999999105930331
7,7151,0.9999999105930331
7,7262,0.9999999105930331
7,7274,0.9999999105930331
7,7524,0.9999999105930331
7,7525,0.9999999105930331
7,7562,0.9999999105930331
7,7583,0.9999999105930331
7,7638,1.0000000000000002
7,9661,0.7617990505866632
8,3292,0.4052553430590925
9,9979,0.460848247292155
10,9891,0.38950908849230004
11,7787,0.2958126157741563
12,1118,0.4462651260163346
13,1491,0.35657761304423086
14,353,0.44865663730388045
14,3471,0.36422399613167944
14,5094,0.3478419987447736
14,8316,0.4338970975475043
15,414,0.418775142492578
15,1090,0.30336764552269413
16,323,1.0000000000000002
16,642,1.0000000000000002
16,1607,1.0000000000000002
16,2244,1.0000000000000002
16,2557,1.0000000000000002
16,4714,1.0000000000000002
16,4717,1.0000000000000002
16,4725,1.0000000000000002
16,5636,1.0000000000000002
16,5637,1.0000000000000002
16,7954,1.0000000000000002
16,8173,1.0000000000000002
16,8492,1.0000000000000002
16,8659,1.0000000000000002
16,9136,1.0000000000000002
16,9585,1.0000000000000002
17,462,0.29137210888651127
18,2068,0.422031207536342
19,8902,0.43702623366564275
19,2382,0.3838343524910028
20,913,0.3955389488062342
21,33,0.5126772980228972
22,215,0.3669878809167372
22,7594,0.3050485302994182
23,1413,0.47024855217086703
24,2282,0.4182815235798074
25,1368,0.4053792270147867
26,265,1.0
26,713,1.0
26,871,1.0
26,1122,1.0
26,1129,1.0
26,1134,1.0
26,1138,1.0
26,1765,1.0
26,2151,1.0
26,2265,1.0
26,2642,1.0
26,2656,1.0
26,2658,1.0
26,2660,1.0
26,2800,1.0
26,2945,1.0
26,3578,1.0
26,3591,1.0
26,3814,1.0
26,4038,1.0
26,4042,1.0
26,4178,1.0
26,4688,1.0
26,4744,1.0
26,4790,1.0
26,5217,1.0
26,5487,1.0
26,5628,1.0
26,5727,1.0
26,5901,1.0
26,6230,1.0
26,6644,1.0
26,6910,1.0
26,6920,1.0
26,6925,1.0
26,7559,1.0
26,7626,1.0
26,7641,1.0
26,7647,1.0
26,7669,1.0
26,8264,1.0
26,8374,1.0
26,8680,1.0
26,9158,1.0
26,9888,1.0
27,1442,0.3617689901648493
28,3402,1.0
28,2139,0.6846364005813996
28,3426,0.4821429306532109
29,8027,0.43524392847512106
30,476,0.4727315749657325
30,6155,0.41934916966248614
31,3137,0.3619545707613736
31,6642,0.35942463253318946
32,34,0.4936938731299265
32,40,0.32467391378112903
35,722,0.3310512002646143
36,149,0.3484767309259506
37,3425,0.4464714993505654
38,150,0.47198300044689073
38,230,0.40765416680717725
39,8027,0.5049845211148107
41,57,0.4296337090382881
