source,target,weight
0,591,0.3715060412554947
1,325,0.6168727693210063
1,421,0.3902997160258721
1,699,0.3759932034736187
1,1120,0.48873323363584886
2,1016,0.2451327229771016
3,96,0.48826926631303325
3,131,0.382934645649082
3,986,0.2524761168401453
4,464,0.39548424731049525
5,409,0.5096438282871892
5,342,0.43638679951580267
5,721,0.425072826544166
5,798,0.45214203630880895
6,1035,0.3646776224839163
7,54,0.4687318314919337
7,25,0.2868433847441602
8,1071,0.5413495118039601
8,892,0.43416105035720337
9,301,0.8218388927568848
9,309,0.47112131158737136
9,326,0.5130507273510198
9,341,0.5100271467685767
9,440,0.6947432275372825
9,460,0.376079166307497
9,1209,0.5102279131342927
10,946,0.3915254439754965
11,104,0.28768186662824186
12,18,0.42590678708538504
12,332,0.29664279449784237
12,561,0.4107126044477869
13,94,0.5173641626923272
14,1074,0.32487235607625875
15,1110,0.38722623876012197
15,1040,0.2696371219934517
16,1227,0.4235912684772602
17,1088,0.5699974121588645
17,494,0.42663258063697895
18,453,0.4561491023191272
18,1101,0.4540734387513303
19,233,0.24157199665187862
20,383,0.4722200021492009
21,400,0.4577735696317453
22,58,0.47064222435527187
23,836,0.442749821259694
23,358,0.4110345528647925
24,26,0.3320802867348795
24,222,0.31512506471741036
26,1017,0.4380256347194483
26,620,0.27381662308312665
26,661,0.4064811384479283
26,818,0.38096167379303975
27,32,0.9149955708178823
28,412,0.4740997571326653
29,1035,0.4319196176838067
30,1019,0.3225581387365445
30,279,0.3052535484156818
30,774,0.32252670582582177
31,47,0.30642617819806867
32,331,0.8508659981401452
32,1066,0.22410019390859834
33,529,0.32820759534925514
33,574,0.30190788454548007
34,1056,0.4439755507514938
35,114,0.48028997319980465
36,1225,0.3944521525534179
37,244,0.5207785037270468
38,210,0.44517968069289765
39,1041,0.532669095782838
40,51,0.3964693000795916
41,115,0.3433465152049307
42,147,0.3993068139802688
43,446,0.45632763739581883
44,244,0.5280259624197655
45,335,0.5093746924842442
45,219,0.38980615756800563
46,1176,0.43410067013769127
48,97,0.4413054543844125
49,590,0.4534232371996696
49,1036,0.3085816813071664
50,383,0.3853492392333511
50,658,0.2993664573031336
52,74,0.5512569163695289
52,224,0.4274789503006064
52,1053,0.39651517790940694
53,180,0.4742814597129561
53,1069,0.40578640621093476
54,79,0.48765341240975757
54,935,0.26400326173893324
55,128,0.36801890755135674
55,68,0.36719634367641574
56,1101,0.36300646500898076
57,1100,0.40189982684748415
59,368,0.24678608495922272
59,1195,0.23078300742195007
60,476,0.44806378628916566
60,933,0.3603335823903535
61,920,0.5011178060689749
61,995,0.35195393944439074
62,301,0.5763028421145209
62,784,0.5266161970118308
63,770,0.3778139538796421
64,890,0.37822215586886904
64,839,0.3521230694819301
65,412,0.6190270471559118
66,738,0.4146484465798008
67,711,0.377157916540713
68,916,0.24135820413520778
69,1091,0.33063434074996
