source,target,weight
0,14,0.25384687765602154
1,12,0.24509657863075637
2,45,0.43217042038338693
2,14,0.3062242960218185
2,35,0.18403649176363074
3,32,0.41605918744794157
4,6,0.48973762747205785
5,20,0.3284766282672384
5,7,0.3252099901267198
7,11,0.24821176127005706
8,15,0.2825985948095554
8,13,0.2442202274720697
9,25,0.1591685831448692
10,12,0.1746480927505527
10,38,0.08401966094970703
12,43,0.3071185609577948
12,19,0.09983866174902584
12,31,0.26921192349805134
14,26,0.18580846326047049
15,16,0.30357561595801286
17,33,0.2221508841359741
18,21,0.28271011402217155
21,47,0.3315309444931139
22,27,0.9999998807907104
22,29,0.9999998807907104
22,36,0.15360507369041443
22,46,0.24300866715852593
23,30,0.19927717162761432
24,33,0.3715823707612068
25,45,0.3413053190439209
28,32,0.3899069118148017
30,47,0.3428818822176267
34,37,0.24704617261886597
37,48,0.08991818130016327
39,40,0.33330409154377405
40,41,0.407477046015666
42,43,0.47478268731997814
43,44,0.3760883247909502
45,47,0.5396977871494222
