source,target,weight
0,19,0.3246280767224459
1,790,0.3361173839456948
2,81,0.42483684042712955
3,1041,0.20703484149453294
4,17,0.4386957391556355
4,594,0.25503568067200366
5,122,0.3701089069879775
5,18,0.36424265527169014
5,408,0.18010199069976807
6,46,0.35358432679856777
6,663,0.20710314834001678
7,1013,0.237638578810366
8,207,0.2640703745881222
9,89,0.4048044135292561
10,1025,0.3856601650573243
11,216,0.3132480954759832
12,33,0.3922466967632552
12,545,0.24824410676956177
13,554,0.21260629846640974
14,20,0.3403291926417117
15,71,0.3423318601569975
16,85,0.4730773069925327
16,52,0.3448581897738792
16,216,0.3423949324404479
18,131,0.3347744279887017
21,356,0.21275748312473297
22,31,0.46091655052649827
22,113,0.4122456799122338
23,683,0.3936286247941756
23,916,0.23979458212852478
24,113,0.37959977917525806
25,508,0.23714713070665316
26,71,0.35366440088747236
27,682,0.27692059861164187
28,71,0.40134063891880933
28,88,0.2964182857169762
28,130,0.33590493317757886
29,137,0.44769757816411365
30,90,0.4745190489811141
30,160,0.36918898816184564
31,271,0.5109623584413597
32,44,0.5506412786884206
32,546,0.30340203305167746
33,71,0.40121827734529447
34,346,0.33894425947792495
35,352,0.25358423590660095
36,43,0.4308295044571295
37,752,0.44312997145754107
38,101,0.38496359275558956
38,305,0.1988913444327786
39,97,0.5843576966638878
40,433,0.2687058448791504
41,50,0.46324365094914477
41,63,0.41934096945528704
42,470,0.47063340192042447
42,276,0.3779350284751488
43,49,0.3733040157987288
45,758,0.19851198695223787
47,53,0.38880052242993907
48,85,0.2397657521700799
51,303,0.20673487820182623
53,59,0.3879864432320882
54,344,0.49153845156340276
54,139,0.4164708578806731
55,66,0.5873061917993883
56,82,0.34417660793773097
57,160,0.273144559781758
58,276,0.2558049204703208
60,66,0.5497104354005775
60,553,0.38034223729237426
61,730,0.30253611467876473
62,68,0.22330773703892706
64,429,0.2182810972587429
65,590,0.3055867522028446
67,85,0.3539447862623857
67,68,0.22931969278292252
67,296,0.2711778727890856
69,234,0.3280455812835413
70,522,0.37868637441068753
71,89,0.44295227753924354
71,941,0.2211151923419902
72,93,0.4441693029195731
72,325,0.4414754797665149
73,420,0.23258281990855206
74,420,0.38886290471618623
74,235,0.3757864303309657
75,99,0.27060289038000407
76,313,0.2006660325291544
77,352,0.2404226744821112
78,668,0.5431913555964317
78,80,0.4851634925834769
78,109,0.44893458833814065
78,461,0.3025569354170775
78,621,0.4002209635967586
78,645,0.3114707923024756
78,908,0.3777509721310285
78,942,0.42599017325696953
79,175,0.2761347026150487
80,479,0.20873356695432943
81,94,0.39560595544628724
83,1025,0.22481968998908997
84,307,0.15798942744731903
84,797,0.14709889888763428
85,104,0.25582192389826447
85,539,0.2936508277199085
86,99,0.40295151344660807
87,460,0.20889192819595337
89,227,0.43548302618224477
90,679,0.2573965119845776
91,382,0.31340334997635066
91,103,0.24669804986040858
92,283,0.27942121585098423
92,603,0.23879909146610734
93,110,0.4348888606639829
95,553,0.3161565172775763
96,285,0.2806606104921361
98,105,0.4886371929807772
100,169,0.2884914743540399
101,102,0.32126340253151375
102,193,0.2831950041153444
106,449,0.2196694016456604
106,128,0.166887104511261
107,591,0.23072049215856671
108,907,0.3546337106298232
109,335,0.3613362490079563
111,338,0.3480812407360444
112,230,0.3789902463627992
114,407,0.28943211326085183
114,584,0.21049326600453908
115,553,0.37974403225424747
116,123,0.266904621114308
116,187,0.26440879619606195
117,404,0.25594306718724985
117,468,0.2523162934023496
118,625,0.33781975220291427
119,983,0.21050365962463188
120,450,0.24767040532838325
121,137,0.44638326365050696
122,821,0.4600574712616369
122,324,0.28406951325660923
122,418,0.2583224310916934
123,582,0.2543003675672702
123,688,0.25969044304917394
124,259,0.25634533985578417
125,328,0.25776003497332056
126,183,0.2522633701370875
127,703,0.5024714051507396
127,303,0.24337590679815232
129,281,0.27394986126183185
130,214,0.22324564105745046
131,233,0.3306066127845024
132,342,0.3244270640780291
133,350,0.24349940030270031
134,418,0.19257222826356696
135,615,0.2933347740851646
136,298,0.23246141410910034
137,576,0.42235266038194774
137,850,0.2702741698175397
138,669,0.32098746151859936
140,207,0.25948796726930223
140,145,0.2255891054654076
141,1049,0.28445404756744275
142,812,0.18887934301189332
143,196,0.37250108991777353
143,158,0.3670434122020129
143,284,0.32404524679965846
143,1043,0.23123614501457368
144,311,0.47367552308441485
146,208,0.37420794148396475
147,225,0.5771117236190068
147,971,0.4045821526690782
148,278,0.40811122579153614
