source,target,weight
0,29,0.4343740134493198
0,1,0.37474443799099255
0,35,0.32173448699500606
0,38,0.3147429516989301
2,29,0.2907537947852785
3,39,0.18325264751911163
4,19,0.26934979649141977
4,8,0.23246592186005033
5,37,0.3095615902417213
6,7,0.455225348520967
7,33,0.30711377557481895
9,10,0.24159693717956543
9,43,0.22355701304735642
10,23,0.3614875133781681
10,25,0.35480913882228055
10,46,0.12744455192616203
11,17,0.26696375853623283
12,28,0.384596459705407
13,26,0.3576166900805127
13,22,0.3556874226194202
13,41,0.1936198621088067
13,44,0.35318767184148286
14,44,0.2573886337796365
16,29,0.4161672664656079
18,15,0.3579196887319154
19,15,0.4369575547704526
19,40,0.26499680848784773
20,21,0.3039912324050137
21,15,0.44645292034435785
21,29,0.4919295430011455
22,31,0.2908667126112334
22,32,0.1748191422948329
23,27,0.41628640436532427
23,34,0.10134333372116089
24,39,0.14573349058628082
25,36,0.1699008609559956
30,40,0.24683619367745063
35,45,0.12893153094173948
42,47,0.7279010729652243
47,48,0.7305062131744223
